"income","gender","age","party","trump_approval","education","robots","climate_change","transformers","science_is_honest","vaccines_are_safe","books","ghosts","fed_sci_budget","earth_sun","wise_unwise"
5,"Female",62,"Democrat","Strongly disapprove","College degree","Likely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",6,"No","Too Low","FALSE","Wise and Unhappy"
84,"Male",62,"Republican","Somewhat disapprove","College degree","Likely","Real and Caused by People",1,"Somewhat Agree","Strongly Agree",6,"No","Too Low","FALSE","Unwise and happy"
104,"Male",46,"Independent","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",24,"No","Too Low","TRUE","Wise and Unhappy"
8,"Female",60,"Democrat","Strongly disapprove","Some college","Likely","Real and Caused by People",5,"Strongly Agree","Strongly Agree",0,"Yes","Too Low","FALSE","Unwise and happy"
23,"Female",62,"Democrat","Neither approve nor disapprove","High school","Likely","Real but not Caused by People",1,"Strongly Disagree","Strongly Agree",40,"No","Too High","TRUE","Unwise and happy"
55,"Female",40,"Republican","Somewhat Approve","College degree","Unlikely","Not Real At All",0,"Somewhat Disagree","Strongly Agree",15,"No","Too High","FALSE","Wise and Unhappy"
80,"Female",48,"Independent","Strongly disapprove","College degree","Unlikely","Real and Caused by People",2,"Strongly Agree","Strongly Agree",5,"Yes","Too Low","TRUE","Unwise and happy"
194,"Female",54,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",4,"Strongly Agree","Strongly Agree",4,"Yes","Too Low","TRUE","Unwise and happy"
82,"Male",62,"Republican","Strongly Approve","College degree","Unlikely","Not Real At All",0,"Somewhat Agree","Somewhat Agree",0,"No","About Right","TRUE","Unwise and happy"
22,"Female",50,"Democrat","Neither approve nor disapprove","High school","Likely","Real and Caused by People",1,"Somewhat Agree","Somewhat Agree",6,"Yes","Too Low","TRUE","Unwise and happy"
54,"Female",59,"Democrat","Somewhat Approve","Some college","Unlikely","Real and Caused by People",1,"Somewhat Agree","Somewhat Disagree",25,"Yes","Too Low","TRUE","Wise and Unhappy"
79,"Female",30,"Independent","Strongly Approve","College degree","Unlikely","Not Real At All",1,"Strongly Agree","Strongly Agree",5,"Yes","Too Low","TRUE","Unwise and happy"
5,"Female",60,"Democrat","Somewhat disapprove","Some college","Likely","Real and Caused by People",3,"Strongly Agree","Somewhat Agree",2,"No","Too Low","FALSE","Unwise and happy"
60,"Male",70,"Democrat","Strongly disapprove","College degree","Unlikely","Real but not Caused by People",5,"Somewhat Agree","Strongly Agree",6,"No","About Right","TRUE","Wise and Unhappy"
39,"Male",19,"Independent","Somewhat Approve","High school","Unlikely","Real and Caused by People",2,"Somewhat Agree","Somewhat Agree",3,"Yes","Too Low","TRUE","Unwise and happy"
58,"Male",61,"Independent","Somewhat Approve","College degree","Likely","Real but not Caused by People",0,"Somewhat Agree","Somewhat Agree",0,"Yes","About Right","FALSE","Wise and Unhappy"
54,"Female",57,"Democrat","Somewhat disapprove","High school","Likely","Not Real At All",0,"Somewhat Agree","Strongly Agree",0,"No","About Right","TRUE","Wise and Unhappy"
73,"Male",36,"Democrat","Neither approve nor disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",12,"No","About Right","FALSE","Wise and Unhappy"
26,"Female",63,"Democrat","Somewhat disapprove","High school","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",5,"Yes","Too Low","TRUE","Wise and Unhappy"
48,"Female",63,"Republican","Strongly Approve","College degree","Unlikely","Not Real At All",0,"Somewhat Agree","Strongly Agree",30,"No","About Right","TRUE","Unwise and happy"
61,"Female",55,"Independent","Strongly disapprove","High school","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",1,"No","About Right","TRUE","Unwise and happy"
67,"Female",56,"Republican","Somewhat Approve","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Somewhat Agree",1,"Yes","Too Low","FALSE","Wise and Unhappy"
58,"Male",54,"Democrat","Somewhat Approve","High school","Unlikely","Real and Caused by People",0,"Somewhat Agree","Somewhat Agree",0,"Yes","About Right","FALSE","Unwise and happy"
91,"Female",50,"Independent","Strongly disapprove","College degree","Unlikely","Real but not Caused by People",0,"Somewhat Agree","Strongly Agree",30,"Yes","Too High","TRUE","Unwise and happy"
104,"Male",65,"Independent","Somewhat disapprove","Graduate degree","Unlikely","Real but not Caused by People",5,"Somewhat Agree","Strongly Agree",10,"No","Too Low","TRUE","Unwise and happy"
101,"Female",73,"Democrat","Strongly disapprove","College degree","Likely","Real but not Caused by People",2,"Strongly Agree","Somewhat Agree",200,"Yes","Too Low","TRUE","Wise and Unhappy"
132,"Male",44,"Independent","Strongly disapprove","Some college","Likely","Real but not Caused by People",3,"Somewhat Agree","Strongly Agree",6,"No","About Right","FALSE","Wise and Unhappy"
68,"Male",65,"Republican","Strongly Approve","Graduate degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",7,"No","Too Low","FALSE","Unwise and happy"
44,"Female",25,"Independent","Strongly disapprove","Some college","Unlikely","Real and Caused by People",4,"Somewhat Disagree","Somewhat Disagree",124,"Yes","About Right","TRUE","Unwise and happy"
125,"Male",53,"Republican","Strongly disapprove","College degree","Unlikely","Real but not Caused by People",0,"Somewhat Disagree","Somewhat Agree",1,"No","Too High","TRUE","Unwise and happy"
144,"Male",30,"Independent","Neither approve nor disapprove","College degree","Unlikely","Real and Caused by People",0,"Somewhat Disagree","Strongly Disagree",15,"No","About Right","TRUE","Wise and Unhappy"
38,"Male",73,"Independent","Strongly Approve","Some college","Unlikely","Not Real At All",0,"Strongly Disagree","Strongly Agree",8,"No","About Right","FALSE","Unwise and happy"
135,"Female",56,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",10,"No","Too Low","TRUE","Wise and Unhappy"
148,"Female",54,"Independent","Strongly Approve","Graduate degree","Unlikely","Real but not Caused by People",0,"Somewhat Disagree","Strongly Agree",5,"No","Too High","TRUE","Unwise and happy"
20,"Female",60,"Republican","Somewhat disapprove","Other","Likely","Real but not Caused by People",2,"Somewhat Agree","Somewhat Agree",0,"Yes","About Right","TRUE","Wise and Unhappy"
100,"Female",19,"Independent","Somewhat disapprove","Some college","Unlikely","Real and Caused by People",1,"Strongly Agree","Somewhat Disagree",5,"Yes","Too Low","TRUE","Wise and Unhappy"
121,"Other",35,"Democrat","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",50,"Yes","Too Low","TRUE","Wise and Unhappy"
74,"Female",31,"Republican","Somewhat Approve","College degree","Unlikely","Real but not Caused by People",1,"Strongly Disagree","Somewhat Agree",10,"No","Too High","TRUE","Unwise and happy"
91,"Female",31,"Independent","Neither approve nor disapprove","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",5,"Yes","Too Low","FALSE","Unwise and happy"
48,"Male",62,"Independent","Somewhat disapprove","High school","Unlikely","Real and Caused by People",3,"Somewhat Agree","Somewhat Agree",1,"Yes","Too High","TRUE","Wise and Unhappy"
58,"Male",75,"Republican","Strongly Approve","High school","Likely","Real but not Caused by People",1,"Somewhat Agree","Somewhat Agree",20,"No","About Right","TRUE","Wise and Unhappy"
97,"Female",66,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",30,"No","About Right","FALSE","Wise and Unhappy"
106,"Male",58,"Independent","Somewhat disapprove","Graduate degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Somewhat Disagree",4,"No","About Right","FALSE","Unwise and happy"
44,"Female",47,"Democrat","Strongly disapprove","Some college","Unlikely","Real and Caused by People",4,"Somewhat Agree","Somewhat Agree",20,"Yes","Too Low","TRUE","Unwise and happy"
74,"Male",18,"Republican","Strongly Approve","High school","Unlikely","Not Real At All",2,"Somewhat Agree","Strongly Agree",4,"Yes","About Right","FALSE","Unwise and happy"
92,"Male",34,"Republican","Strongly Approve","High school","Likely","Not Real At All",5,"Strongly Disagree","Strongly Disagree",1,"Yes","Too High","TRUE","Wise and Unhappy"
57,"Female",63,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",4,"Somewhat Agree","Strongly Agree",6,"No","About Right","TRUE","Wise and Unhappy"
70,"Male",28,"Republican","Strongly Approve","Some college","Unlikely","Real and Caused by People",2,"Somewhat Agree","Somewhat Agree",0,"No","About Right","TRUE","Unwise and happy"
101,"Male",36,"Democrat","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",2,"Strongly Agree","Somewhat Agree",8,"Yes","Too Low","FALSE","Wise and Unhappy"
83,"Male",32,"Independent","Somewhat Approve","High school","Unlikely","Real and Caused by People",4,"Somewhat Agree","Strongly Agree",18,"No","About Right","TRUE","Wise and Unhappy"
67,"Male",55,"Independent","Somewhat Approve","Some college","Unlikely","Real and Caused by People",1,"Somewhat Agree","Somewhat Disagree",0,"Yes","About Right","TRUE","Unwise and happy"
132,"Male",72,"Republican","Strongly Approve","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Somewhat Agree",6,"Yes","About Right","TRUE","Wise and Unhappy"
109,"Male",31,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",2,"Strongly Agree","Strongly Agree",20,"No","Too Low","FALSE","Wise and Unhappy"
68,"Female",41,"Democrat","Strongly disapprove","High school","Unlikely","Real and Caused by People",2,"Somewhat Agree","Somewhat Disagree",0,"No","Too Low","TRUE","Unwise and happy"
106,"Male",48,"Republican","Strongly Approve","High school","Unlikely","Not Real At All",2,"Somewhat Agree","Somewhat Agree",2,"Yes","About Right","TRUE","Unwise and happy"
164,"Female",86,"Independent","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",2,"No","Too Low","TRUE","Unwise and happy"
124,"Female",53,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",50,"No","Too Low","FALSE","Wise and Unhappy"
30,"Female",74,"Independent","Somewhat Approve","High school","Likely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",50,"No","About Right","TRUE","Unwise and happy"
52,"Female",33,"Republican","Strongly Approve","College degree","Unlikely","Not Real At All",2,"Strongly Disagree","Strongly Agree",1000,"Yes","Too High","TRUE","Unwise and happy"
41,"Female",78,"Republican","Somewhat Approve","Some college","Likely","Not Real At All",0,"Somewhat Agree","Somewhat Agree",0,"No","About Right","TRUE","Unwise and happy"
106,"Male",45,"Republican","Strongly Approve","College degree","Unlikely","Not Real At All",2,"Somewhat Agree","Somewhat Agree",20,"No","Too Low","FALSE","Unwise and happy"
21,"Male",41,"Democrat","Somewhat Approve","High school","Likely","Real and Caused by People",0,"Somewhat Disagree","Somewhat Agree",1,"No","About Right","FALSE","Unwise and happy"
107,"Male",76,"Independent","Strongly disapprove","College degree","Likely","Real and Caused by People",2,"Strongly Agree","Strongly Agree",3,"No","Too Low","FALSE","Wise and Unhappy"
53,"Female",65,"Republican","Strongly Approve","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",3,"No","About Right","TRUE","Wise and Unhappy"
26,"Male",48,"Independent","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",2,"Strongly Agree","Somewhat Agree",15,"Yes","Too Low","FALSE","Unwise and happy"
126,"Male",46,"Independent","Neither approve nor disapprove","Some college","Unlikely","Real but not Caused by People",3,"Strongly Agree","Strongly Agree",1,"No","Too Low","FALSE","Wise and Unhappy"
179,"Male",50,"Republican","Strongly Approve","Graduate degree","Unlikely","Not Real At All",5,"Strongly Disagree","Strongly Agree",10,"No","Too Low","FALSE","Unwise and happy"
122,"Female",48,"Republican","Strongly Approve","College degree","Unlikely","Not Real At All",2,"Somewhat Disagree","Somewhat Agree",20,"No","Too High","FALSE","Unwise and happy"
113,"Female",54,"Independent","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",65,"Yes","Too Low","FALSE","Wise and Unhappy"
140,"Male",21,"Independent","Somewhat disapprove","Some college","Unlikely","Real and Caused by People",3,"Somewhat Agree","Somewhat Agree",3,"No","Too Low","TRUE","Unwise and happy"
207,"Female",48,"Independent","Somewhat disapprove","Graduate degree","Unlikely","Real and Caused by People",1,"Somewhat Disagree","Strongly Agree",150,"No","About Right","FALSE","Unwise and happy"
182,"Female",42,"Independent","Somewhat disapprove","Graduate degree","Unlikely","Real and Caused by People",1,"Somewhat Agree","Strongly Agree",12,"Yes","Too Low","FALSE","Wise and Unhappy"
128,"Female",50,"Independent","Strongly Approve","Some college","Likely","Real and Caused by People",3,"Somewhat Agree","Strongly Agree",5,"Yes","Too Low","FALSE","Wise and Unhappy"
71,"Female",40,"Independent","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",60,"No","Too Low","FALSE","Wise and Unhappy"
70,"Male",52,"Republican","Strongly Approve","Some college","Unlikely","Not Real At All",0,"Strongly Disagree","Somewhat Agree",0,"No","About Right","FALSE","Wise and Unhappy"
144,"Male",37,"Independent","Strongly disapprove","College degree","Unlikely","Real and Caused by People",2,"Strongly Agree","Strongly Agree",15,"No","Too Low","FALSE","Wise and Unhappy"
179,"Female",45,"Independent","Somewhat disapprove","College degree","Likely","Real and Caused by People",2,"Somewhat Agree","Strongly Agree",1,"Yes","Too Low","FALSE","Unwise and happy"
71,"Female",27,"Democrat","Neither approve nor disapprove","High school","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",3,"No","About Right","TRUE","Unwise and happy"
121,"Female",43,"Independent","Strongly disapprove","Some college","Unlikely","Real and Caused by People",0,"Strongly Agree","Somewhat Agree",12,"Yes","Too Low","FALSE","Wise and Unhappy"
124,"Male",28,"Republican","Neither approve nor disapprove","Graduate degree","Unlikely","Real but not Caused by People",1,"Somewhat Agree","Strongly Agree",16,"No","Too Low","TRUE","Wise and Unhappy"
93,"Female",80,"Democrat","Strongly disapprove","College degree","Likely","Not Real At All",3,"Strongly Agree","Strongly Agree",25,"No","About Right","TRUE","Unwise and happy"
150,"Male",68,"Republican","Strongly Approve","Graduate degree","Unlikely","Real but not Caused by People",0,"Somewhat Disagree","Somewhat Agree",3,"No","Too High","FALSE","Unwise and happy"
73,"Male",36,"Independent","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",4,"Somewhat Agree","Somewhat Disagree",12,"No","Too Low","TRUE","Unwise and happy"
113,"Female",53,"Republican","Somewhat Approve","Graduate degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",35,"Yes","About Right","FALSE","Unwise and happy"
36,"Male",38,"Independent","Somewhat disapprove","Other","Unlikely","Real and Caused by People",2,"Somewhat Agree","Strongly Agree",10,"Yes","Too High","TRUE","Wise and Unhappy"
62,"Female",37,"Republican","Strongly Approve","College degree","Unlikely","Real but not Caused by People",1,"Strongly Disagree","Somewhat Disagree",10,"No","About Right","TRUE","Unwise and happy"
75,"Female",42,"Independent","Strongly disapprove","Some college","Unlikely","Real and Caused by People",4,"Strongly Agree","Strongly Agree",20,"Yes","Too Low","TRUE","Unwise and happy"
76,"Male",24,"Republican","Strongly Approve","Some college","Unlikely","Real and Caused by People",2,"Neither Agree nor Disagree","Neither Agree nor Disagree",12,"No","About Right","TRUE","Wise and Unhappy"
36,"Female",50,"Democrat","Strongly disapprove","College degree","Unlikely","Not Real At All",1,"Strongly Disagree","Strongly Agree",2,"Yes","Too Low","FALSE","Unwise and happy"
114,"Male",53,"Republican","Somewhat Approve","Graduate degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",7,"No","About Right","FALSE","Unwise and happy"
133,"Female",30,"Independent","Somewhat disapprove","Other","Unlikely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",20,"No","About Right","FALSE","Unwise and happy"
93,"Female",20,"Democrat","Strongly disapprove","Some college","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",10,"Yes","About Right","FALSE","Unwise and happy"
101,"Male",67,"Republican","Strongly Approve","Some college","Unlikely","Not Real At All",0,"Somewhat Agree","Strongly Agree",4,"No","About Right","TRUE","Wise and Unhappy"
77,"Male",18,"Republican","Strongly Approve","High school","Unlikely","Real but not Caused by People",1,"Somewhat Agree","Strongly Agree",3,"Yes","About Right","FALSE","Wise and Unhappy"
124,"Female",34,"Democrat","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",60,"No","Too Low","FALSE","Wise and Unhappy"
60,"Male",60,"Democrat","Somewhat disapprove","High school","Likely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",20,"No","About Right","TRUE","Unwise and happy"
140,"Male",25,"Independent","Somewhat Approve","Some college","Unlikely","Real and Caused by People",3,"Somewhat Agree","Somewhat Agree",5,"No","Too Low","FALSE","Wise and Unhappy"
51,"Male",56,"Republican","Strongly Approve","Graduate degree","Unlikely","Real but not Caused by People",2,"Strongly Disagree","Somewhat Disagree",4,"Yes","Too High","FALSE","Wise and Unhappy"
51,"Male",50,"Republican","Strongly Approve","High school","Unlikely","Not Real At All",0,"Strongly Disagree","Somewhat Agree",1,"No","Too High","FALSE","Unwise and happy"
96,"Female",61,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",2,"Strongly Agree","Strongly Agree",2,"Yes","Too Low","TRUE","Wise and Unhappy"
70,"Female",34,"Independent","Somewhat Approve","Some college","Unlikely","Real and Caused by People",3,"Strongly Agree","Strongly Agree",0,"Yes","Too Low","TRUE","Wise and Unhappy"
70,"Female",55,"Republican","Strongly Approve","Graduate degree","Unlikely","Not Real At All",0,"Somewhat Disagree","Somewhat Agree",5,"No","Too High","FALSE","Wise and Unhappy"
85,"Male",25,"Independent","Strongly Approve","High school","Likely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",0,"Yes","About Right","TRUE","Wise and Unhappy"
96,"Female",19,"Democrat","Strongly disapprove","Some college","Unlikely","Real and Caused by People",2,"Somewhat Agree","Strongly Agree",2,"Yes","About Right","TRUE","Unwise and happy"
69,"Male",70,"Independent","Somewhat Approve","Some college","Unlikely","Not Real At All",1,"Strongly Disagree","Strongly Agree",1,"No","Too High","TRUE","Wise and Unhappy"
161,"Male",28,"Independent","Somewhat disapprove","Some college","Likely","Real and Caused by People",0,"Somewhat Agree","Somewhat Agree",1,"Yes","About Right","TRUE","Unwise and happy"
87,"Male",35,"Independent","Somewhat Approve","Graduate degree","Unlikely","Real but not Caused by People",1,"Somewhat Agree","Strongly Agree",10,"Yes","Too Low","FALSE","Unwise and happy"
142,"Other",27,"Independent","Strongly disapprove","College degree","Likely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",8,"No","Too High","FALSE","Unwise and happy"
76,"Female",48,"Independent","Strongly Approve","Some college","Unlikely","Not Real At All",0,"Somewhat Disagree","Somewhat Agree",40,"Yes","Too High","TRUE","Unwise and happy"
79,"Female",50,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",50,"Yes","Too Low","TRUE","Wise and Unhappy"
152,"Male",30,"Independent","Somewhat disapprove","Graduate degree","Unlikely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",50,"No","About Right","TRUE","Wise and Unhappy"
104,"Female",35,"Democrat","Strongly disapprove","Other","Unlikely","Real and Caused by People",5,"Strongly Agree","Strongly Agree",8,"Yes","Too Low","FALSE","Unwise and happy"
104,"Female",22,"Democrat","Somewhat disapprove","College degree","Unlikely","Real and Caused by People",4,"Strongly Agree","Strongly Agree",6,"Yes","About Right","TRUE","Unwise and happy"
121,"Female",40,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",20,"Yes","Too Low","TRUE","Unwise and happy"
32,"Female",70,"Republican","Strongly Approve","High school","Unlikely","Real but not Caused by People",0,"Somewhat Agree","Somewhat Agree",10,"No","Too High","TRUE","Unwise and happy"
104,"Male",46,"Independent","Strongly disapprove","College degree","Unlikely","Real and Caused by People",3,"Strongly Agree","Somewhat Agree",24,"Yes","Too Low","TRUE","Wise and Unhappy"
116,"Male",42,"Independent","Strongly disapprove","Some college","Unlikely","Real and Caused by People",1,"Somewhat Agree","Strongly Agree",6,"No","Too Low","TRUE","Wise and Unhappy"
106,"Male",36,"Republican","Strongly Approve","College degree","Unlikely","Real but not Caused by People",4,"Somewhat Agree","Neither Agree nor Disagree",15,"No","Too Low","FALSE","Unwise and happy"
77,"Female",66,"Republican","Strongly disapprove","College degree","Likely","Real and Caused by People",0,"Strongly Agree","Somewhat Agree",12,"No","Too Low","TRUE","Unwise and happy"
42,"Female",71,"Democrat","Strongly disapprove","Some college","Unlikely","Real and Caused by People",1,"Strongly Disagree","Somewhat Agree",100,"Yes","Too High","TRUE","Wise and Unhappy"
57,"Male",25,"Independent","Strongly disapprove","Graduate degree","Likely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",5,"No","Too High","TRUE","Unwise and happy"
91,"Male",69,"Republican","Strongly Approve","Some college","Unlikely","Real but not Caused by People",0,"Somewhat Agree","Strongly Agree",2,"No","About Right","TRUE","Unwise and happy"
42,"Female",29,"Independent","Strongly disapprove","College degree","Likely","Real and Caused by People",2,"Somewhat Agree","Strongly Agree",20,"No","Too Low","TRUE","Wise and Unhappy"
57,"Female",60,"Republican","Strongly Approve","College degree","Unlikely","Real and Caused by People",2,"Somewhat Agree","Somewhat Agree",15,"Yes","About Right","TRUE","Wise and Unhappy"
21,"Female",70,"Democrat","Strongly disapprove","College degree","Likely","Real and Caused by People",0,"Strongly Disagree","Somewhat Disagree",2,"No","About Right","FALSE","Unwise and happy"
101,"Male",45,"Independent","Somewhat Approve","College degree","Unlikely","Real but not Caused by People",2,"Somewhat Agree","Strongly Agree",2,"No","Too Low","TRUE","Unwise and happy"
152,"Male",30,"Republican","Neither approve nor disapprove","College degree","Unlikely","Real but not Caused by People",3,"Somewhat Agree","Strongly Agree",25,"No","Too High","TRUE","Unwise and happy"
35,"Male",63,"Republican","Strongly Approve","Graduate degree","Likely","Real but not Caused by People",1,"Strongly Disagree","Somewhat Agree",24,"No","About Right","FALSE","Wise and Unhappy"
109,"Male",51,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",3,"No","Too Low","TRUE","Wise and Unhappy"
87,"Male",56,"Republican","Strongly Approve","High school","Likely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",3,"No","About Right","TRUE","Unwise and happy"
79,"Female",62,"Democrat","Strongly disapprove","Graduate degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",5,"Yes","Too Low","FALSE","Unwise and happy"
73,"Female",46,"Democrat","Strongly disapprove","Some college","Unlikely","Real and Caused by People",0,"Strongly Agree","Somewhat Disagree",0,"Yes","Too Low","TRUE","Unwise and happy"
89,"Female",83,"Republican","Strongly Approve","High school","Unlikely","Not Real At All",0,"Strongly Disagree","Strongly Agree",12,"No","Too High","TRUE","Unwise and happy"
250,"Male",48,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",3,"Strongly Agree","Strongly Agree",3,"No","Too Low","FALSE","Unwise and happy"
93,"Female",54,"Independent","Strongly disapprove","Some college","Likely","Real and Caused by People",2,"Somewhat Agree","Strongly Agree",15,"Yes","Too Low","TRUE","Wise and Unhappy"
21,"Female",64,"Democrat","Strongly disapprove","College degree","Unlikely","Real but not Caused by People",3,"Strongly Agree","Strongly Agree",0,"No","About Right","FALSE","Wise and Unhappy"
80,"Female",62,"Republican","Strongly Approve","College degree","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",125,"No","Too Low","TRUE","Wise and Unhappy"
30,"Male",68,"Independent","Strongly disapprove","Some college","Unlikely","Real and Caused by People",0,"Somewhat Agree","Strongly Agree",4,"No","Too Low","TRUE","Wise and Unhappy"
73,"Male",40,"Democrat","Strongly disapprove","College degree","Unlikely","Real but not Caused by People",1,"Strongly Agree","Strongly Disagree",10,"No","Too Low","TRUE","Wise and Unhappy"
133,"Male",53,"Independent","Strongly disapprove","College degree","Unlikely","Real and Caused by People",1,"Strongly Agree","Strongly Agree",3,"No","Too Low","FALSE","Wise and Unhappy"
74,"Female",85,"Democrat","Strongly Approve","Graduate degree","Unlikely","Not Real At All",0,"Somewhat Agree","Somewhat Agree",5,"No","Too High","TRUE","Unwise and happy"
67,"Male",55,"Democrat","Somewhat Approve","Some college","Unlikely","Real but not Caused by People",2,"Somewhat Agree","Strongly Agree",0,"No","Too Low","TRUE","Unwise and happy"
109,"Female",52,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",3,"Yes","Too Low","FALSE","Unwise and happy"
74,"Male",68,"Republican","Strongly Approve","College degree","Unlikely","Real but not Caused by People",2,"Somewhat Disagree","Strongly Agree",5,"No","Too Low","FALSE","Unwise and happy"
112,"Female",59,"Democrat","Strongly disapprove","College degree","Unlikely","Real and Caused by People",0,"Strongly Agree","Strongly Agree",20,"No","Too Low","TRUE","Wise and Unhappy"
62,"Female",25,"Democrat","Strongly disapprove","High school","Likely","Real and Caused by People",3,"Strongly Agree","Somewhat Agree",50,"Yes","About Right","TRUE","Wise and Unhappy"
