"","track_id","track_name","track_artist","track_popularity","track_album_id","track_album_name","track_album_release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","latin_genre"
"11","3R6dPfF2yBO8mHySW1XDAa","Solo Dance","Martin Jensen",61,"7J6SYqcOQ705IYA0DUec38","Solo Dance","2016-11-04","Dance Pop Hits","37i9dQZF1DX6pH08wMhkaI","pop","dance pop",0.746,0.846,9,-2.432,1,0.048,0.0485,0,0.195,0.403,114.955,174933,FALSE
"12","4iLqG9SeJSnt0cSPICSjxv","Attention","Charlie Puth",23,"0t0NkQulrNkxw2oUZZHboA","Attention","2017-04-20","post teen pop","6rjxP7GQKoqqgoakzxl3PY","pop","post-teen pop",0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,211475,FALSE
"13","1vV2FBKYvu6sJDqzSCNgbI","Hablar de Ti","Gepe",65,"4n65tDbR2iIn5e9jgo9Zwv","Ciencia Exacta","2017-05-26","Paraíso Tropical","2v41efarffe6iY8qpMK5Gj","latin","tropical",0.592,0.487,9,-9.052,1,0.251,0.485,0,0.0768,0.638,170.285,205569,TRUE
"14","1xkLkSAOv1ALxKOHwZJRMn","Rise - TV Noise Ibiza Mix","Jonas Blue",46,"7FBBmpt0HqBelNH6CxVawR","Rise (Remixes)","2018-07-20","Pop EDM Remixes","4aUEH3uhbofktrFkXOOaKj","edm","pop edm",0.735,0.933,1,-2.619,1,0.0398,0.00219,1.15e-05,0.0331,0.529,125.062,219920,FALSE
"15","1TbmbDmwUDz2QwTWfzH9bR","Tide","Jonny Joel",34,"25BVKhMqNkKWYR7MXcgGz8","Happy Weekend","2019-12-16","Techno House 2020 👽 Best Collection 👻 Top DJ’s Electronic Music - Deep House - Trance - Tech House - Dance - Electro Pop","3QEYvCsVXZj8KuzE0bDmcI","edm","electro house",0.798,0.536,8,-14.79,1,0.0459,0.00372,0.793,0.0946,0.584,125.989,223347,FALSE
"16","6AfvfheW6VzyV1MNyZ9XXd","Rave (feat. Kris Kiss)","Steve Aoki",44,"2VpuZS3WC5PkI9DdnbVLjt","Rave (feat. Kris Kiss)","2019-06-28","EDM 2019","1T0ed6Mg0QIruHvcoWWIKy","edm","pop edm",0.628,0.98,5,-2.776,0,0.0766,0.0105,0.0687,0.444,0.464,128.093,205584,FALSE
"17","3sQfB3qhgsSTCdh55ai8zj","I Loved You Then","Luke & The Belleville Orchestra",35,"07gCnkt7iO3U2FiXNPaccL","Speakeasy","2019-09-10","Tastemakers Ball  -  EDM - POP and FUN","67cpuBAXjwibm3LG333Oaq","edm","pop edm",0.857,0.764,0,-6.211,1,0.246,0.122,0.000366,0.0847,0.891,119.99,183997,FALSE
"18","57wbOuofBE6Cb3mMPuQ24i","The Sweetest Sin","RÆVE",48,"2BROL0G9PYromVD9jXbZ8E","The Sweetest Sin","2015-04-26","Tropical House","37i9dQZF1DX0AMssoUKCz7","latin","tropical",0.686,0.799,0,-4.816,0,0.0284,0.203,0.0534,0.126,0.159,124.002,336774,TRUE
"19","5FMjWAi9pDmZcfnVpBZpDL","it's Friday","Vendredi",45,"5J2wLE32ooaRdhEZdLYdT1","it's Friday","2019-12-27","Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs","3xMQTDLOIGvj3lWH5e5x6F","edm","pop edm",0.791,0.877,9,-6.651,1,0.0442,0.0543,0.000136,0.328,0.666,120,132500,FALSE
"20","36sAHywEsh50kaM6CpENHp","(You Drive Me) Crazy","Britney Spears",2,"7e2tD25UffSO1019rrrRPe","Baby One More Time","1999-01-12","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.755,0.944,8,-3.936,1,0.0342,0.0599,0,0.332,0.962,104.006,198093,FALSE
