Income,Gender,Age,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,What is your marital status?,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",Do you believe in ghosts?,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be wise and unhappy, or unwise and happy?"
84000,Male,62,Republican,Somewhat disapprove,College degree,Divorced,Likely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,6,No,Too Low,FALSE,Unwise and happy
104000,Male,46,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,24,No,Too Low,TRUE,DK/REF
8000,Female,60,DK/REF,Strongly disapprove,Some college,Divorced,Likely,Real and Caused by People,5,Strongly Agree,Strongly Agree,0,Yes,Too Low,DK/REF,Unwise and happy
23000,Female,62,Democrat,Neither approve nor disapprove,High school,Married,Likely,Real but not Caused by People,1,Strongly Disagree,Strongly Agree,40,No,Too High,TRUE,Unwise and happy
55000,Female,40,Republican,Somewhat Approve,College degree,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,15,No,Too High,FALSE,Wise and Unhappy
80000,Female,48,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,2,Strongly Agree,DK/REF,5,Yes,Too Low,TRUE,Unwise and happy
194000,Female,54,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,4,Yes,Too Low,TRUE,Unwise and happy
82000,Male,62,Republican,Strongly Approve,College degree,Married,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Agree,0,No,About Right,TRUE,Unwise and happy
22000,Female,50,Democrat,Neither approve nor disapprove,High school,Married,Likely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,6,Yes,Too Low,TRUE,Unwise and happy
54000,Female,59,Democrat,Somewhat Approve,Some college,Married,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Disagree,25,Yes,DK/REF,TRUE,Wise and Unhappy
79000,Female,30,Independent,Strongly Approve,College degree,Married,Unlikely,Not Real At All,1,Strongly Agree,Strongly Agree,5,Yes,DK/REF,DK/REF,Unwise and happy
5000,Female,60,Democrat,Somewhat disapprove,Some college,Single,Likely,Real and Caused by People,3,DK/REF,Somewhat Agree,2,No,DK/REF,FALSE,DK/REF
60000,Male,70,Democrat,Strongly disapprove,College degree,Single,Unlikely,Real but not Caused by People,5,Somewhat Agree,Strongly Agree,6,No,About Right,TRUE,DK/REF
39000,Male,19,Independent,Somewhat Approve,High school,In a relationship,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,3,Yes,Too Low,TRUE,Unwise and happy
58000,Male,61,Independent,Somewhat Approve,College degree,Separated,Likely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,0,Yes,About Right,FALSE,DK/REF
54000,Female,57,Democrat,Somewhat disapprove,High school,Married,Likely,Not Real At All,0,Somewhat Agree,Strongly Agree,0,No,About Right,TRUE,Wise and Unhappy
73000,Male,36,DK/REF,Neither approve nor disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,12,No,About Right,FALSE,DK/REF
26000,Female,63,Democrat,Somewhat disapprove,High school,Widowed,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,Yes,Too Low,TRUE,Wise and Unhappy
48000,Female,63,Republican,DK/REF,College degree,Married,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,30,No,DK/REF,TRUE,Unwise and happy
61000,Female,55,Independent,Strongly disapprove,High school,Separated,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,1,No,About Right,TRUE,Unwise and happy
67000,Female,56,Republican,Somewhat Approve,College degree,Single,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,1,Yes,Too Low,FALSE,Wise and Unhappy
58000,Male,54,DK/REF,Somewhat Approve,DK/REF,DK/REF,DK/REF,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,0,Yes,DK/REF,FALSE,Unwise and happy
,Female,50,Independent,Strongly disapprove,College degree,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,30,Yes,Too High,TRUE,Unwise and happy
,Male,65,Independent,Somewhat disapprove,Graduate degree,Married,DK/REF,Real but not Caused by People,5,Somewhat Agree,Strongly Agree,10,No,Too Low,TRUE,Unwise and happy
,Female,73,Democrat,DK/REF,College degree,Widowed,Likely,Real but not Caused by People,2,Strongly Agree,Somewhat Agree,200,Yes,Too Low,TRUE,Wise and Unhappy
,Male,44,Independent,Strongly disapprove,Some college,Married,Likely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,6,No,About Right,FALSE,Wise and Unhappy
,Male,65,Republican,Strongly Approve,Graduate degree,In a relationship,DK/REF,Real and Caused by People,0,Strongly Agree,Strongly Agree,7,No,Too Low,FALSE,Unwise and happy
,Female,25,Independent,DK/REF,Some college,Single,Unlikely,Real and Caused by People,4,Somewhat Disagree,Somewhat Disagree,124,Yes,About Right,TRUE,Unwise and happy
,Male,53,Republican,Strongly disapprove,College degree,Separated,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,1,No,Too High,TRUE,DK/REF
,Male,30,Independent,Neither approve nor disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Somewhat Disagree,Strongly Disagree,15,No,About Right,TRUE,Wise and Unhappy
,Male,73,Independent,Strongly Approve,Some college,Widowed,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,8,No,About Right,FALSE,Unwise and happy
,Female,56,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,No,Too Low,TRUE,Wise and Unhappy
,Female,54,Independent,Strongly Approve,Graduate degree,Married,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Agree,5,No,Too High,TRUE,Unwise and happy
,Female,60,DK/REF,Somewhat disapprove,Other,Separated,Likely,Real but not Caused by People,2,Somewhat Agree,Somewhat Agree,0,Yes,About Right,TRUE,Wise and Unhappy
,Female,19,Independent,Somewhat disapprove,Some college,Single,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Disagree,5,Yes,Too Low,TRUE,Wise and Unhappy
,Other,35,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,50,Yes,Too Low,TRUE,Wise and Unhappy
,Female,31,DK/REF,Somewhat Approve,College degree,Single,Unlikely,Real but not Caused by People,1,Strongly Disagree,Somewhat Agree,10,No,Too High,TRUE,DK/REF
,Female,31,Independent,Neither approve nor disapprove,College degree,Single,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,Yes,Too Low,FALSE,Unwise and happy
,Male,62,Independent,Somewhat disapprove,High school,Single,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,1,Yes,Too High,TRUE,Wise and Unhappy
,Male,75,Republican,Strongly Approve,High school,Married,Likely,Real but not Caused by People,,Somewhat Agree,Somewhat Agree,20,No,About Right,TRUE,Wise and Unhappy
,Female,66,Democrat,Strongly disapprove,College degree,Widowed,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,30,No,About Right,FALSE,Wise and Unhappy
,Male,58,Independent,Somewhat disapprove,Graduate degree,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Disagree,4,No,About Right,FALSE,Unwise and happy
,Female,47,DK/REF,Strongly disapprove,Some college,In a relationship,Unlikely,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,20,Yes,Too Low,TRUE,Unwise and happy
,Male,18,Republican,Strongly Approve,High school,Single,Unlikely,Not Real At All,2,Somewhat Agree,Strongly Agree,4,Yes,About Right,FALSE,Unwise and happy
,Male,34,Republican,Strongly Approve,High school,Widowed,Likely,Not Real At All,5,Strongly Disagree,Strongly Disagree,1,Yes,Too High,DK/REF,Wise and Unhappy
,Female,63,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,6,No,About Right,TRUE,Wise and Unhappy
,Male,28,Republican,Strongly Approve,Some college,In a relationship,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,0,No,About Right,TRUE,Unwise and happy
,Male,36,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,8,Yes,Too Low,FALSE,Wise and Unhappy
,Male,32,Independent,Somewhat Approve,High school,Single,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,18,No,About Right,TRUE,Wise and Unhappy
,Male,55,Independent,Somewhat Approve,Some college,Divorced,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Disagree,0,Yes,About Right,TRUE,Unwise and happy
,Male,72,Republican,Strongly Approve,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,6,Yes,About Right,TRUE,Wise and Unhappy
,Male,31,Democrat,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,20,No,Too Low,FALSE,Wise and Unhappy
,Female,41,Democrat,Strongly disapprove,High school,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Disagree,0,No,Too Low,TRUE,Unwise and happy
,Male,48,DK/REF,Strongly Approve,High school,In a relationship,Unlikely,Not Real At All,2,Somewhat Agree,Somewhat Agree,2,Yes,About Right,TRUE,Unwise and happy
,Female,86,Independent,Strongly disapprove,College degree,Married,Unlikely,DK/REF,,Somewhat Agree,Strongly Agree,2,No,DK/REF,TRUE,Unwise and happy
,Female,53,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,50,No,Too Low,DK/REF,Wise and Unhappy
30000,Female,74,Independent,DK/REF,High school,Divorced,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,50,No,About Right,TRUE,Unwise and happy
52000,Female,33,DK/REF,Strongly Approve,College degree,Married,Unlikely,Not Real At All,2,Strongly Disagree,Strongly Agree,1000,Yes,Too High,DK/REF,Unwise and happy
41000,Female,78,Republican,Somewhat Approve,Some college,Widowed,Likely,Not Real At All,0,Somewhat Agree,Somewhat Agree,0,No,About Right,TRUE,Unwise and happy
106000,Male,45,DK/REF,Strongly Approve,College degree,Married,Unlikely,Not Real At All,2,Somewhat Agree,Somewhat Agree,20,No,Too Low,FALSE,Unwise and happy
21000,Male,41,Democrat,Somewhat Approve,High school,Divorced,Likely,Real and Caused by People,0,Somewhat Disagree,Somewhat Agree,1,No,About Right,FALSE,Unwise and happy
107000,Male,76,Independent,Strongly disapprove,College degree,Married,Likely,Real and Caused by People,2,DK/REF,Strongly Agree,3,No,Too Low,FALSE,Wise and Unhappy
53000,Female,65,Republican,Strongly Approve,College degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,3,No,About Right,TRUE,Wise and Unhappy
26000,Male,48,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,15,Yes,Too Low,FALSE,Unwise and happy
126000,Male,46,Independent,Neither approve nor disapprove,Some college,Married,Unlikely,Real but not Caused by People,3,Strongly Agree,Strongly Agree,1,No,Too Low,FALSE,Wise and Unhappy
179000,Male,50,Republican,Strongly Approve,Graduate degree,Married,Unlikely,Not Real At All,5,Strongly Disagree,Strongly Agree,10,No,Too Low,FALSE,Unwise and happy
122000,Female,48,Republican,Strongly Approve,College degree,Married,Unlikely,Not Real At All,2,Somewhat Disagree,Somewhat Agree,20,No,Too High,FALSE,Unwise and happy
113000,Female,54,Independent,Strongly disapprove,Graduate degree,Divorced,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,65,Yes,Too Low,FALSE,Wise and Unhappy
140000,Male,21,Independent,Somewhat disapprove,Some college,Single,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,3,No,Too Low,TRUE,Unwise and happy
207000,Female,48,Independent,Somewhat disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,1,Somewhat Disagree,Strongly Agree,150,No,About Right,FALSE,Unwise and happy
182000,Female,42,Independent,Somewhat disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,12,Yes,Too Low,FALSE,Wise and Unhappy
128000,Female,50,Independent,Strongly Approve,Some college,Married,Likely,Real and Caused by People,3,DK/REF,Strongly Agree,5,Yes,DK/REF,FALSE,Wise and Unhappy
71000,Female,40,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,60,No,Too Low,FALSE,Wise and Unhappy
70000,Male,52,Republican,Strongly Approve,Some college,Married,Unlikely,DK/REF,0,Strongly Disagree,Somewhat Agree,0,No,DK/REF,FALSE,Wise and Unhappy
,Male,37,Independent,Strongly disapprove,College degree,Divorced,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,15,No,Too Low,FALSE,Wise and Unhappy
,Female,45,Independent,Somewhat disapprove,College degree,Married,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,1,Yes,Too Low,FALSE,Unwise and happy
,Female,27,DK/REF,Neither approve nor disapprove,High school,In a relationship,Unlikely,Real and Caused by People,,DK/REF,Strongly Agree,3,No,About Right,TRUE,Unwise and happy
,Female,43,Independent,Strongly disapprove,Some college,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,12,Yes,Too Low,FALSE,Wise and Unhappy
,Male,28,Republican,Neither approve nor disapprove,Graduate degree,Single,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,16,No,Too Low,TRUE,Wise and Unhappy
,Female,80,Democrat,Strongly disapprove,DK/REF,Separated,Likely,Not Real At All,,Strongly Agree,Strongly Agree,25,No,About Right,TRUE,Unwise and happy
,Male,68,Republican,Strongly Approve,Graduate degree,Married,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,3,No,Too High,FALSE,Unwise and happy
,Male,36,DK/REF,DK/REF,Graduate degree,Married,Unlikely,Real and Caused by People,4,Somewhat Agree,Somewhat Disagree,12,No,DK/REF,TRUE,Unwise and happy
,Female,53,Republican,Somewhat Approve,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,35,Yes,About Right,FALSE,Unwise and happy
,Male,38,DK/REF,Somewhat disapprove,Other,Married,Unlikely,DK/REF,,Somewhat Agree,Strongly Agree,10,Yes,Too High,DK/REF,Wise and Unhappy
,Female,37,Republican,Strongly Approve,College degree,Married,Unlikely,Real but not Caused by People,1,Strongly Disagree,Somewhat Disagree,10,No,About Right,TRUE,DK/REF
,Female,42,Independent,Strongly disapprove,Some college,Divorced,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,20,Yes,Too Low,DK/REF,Unwise and happy
,Male,24,DK/REF,Strongly Approve,Some college,Single,Unlikely,Real and Caused by People,2,Neither Agree nor Disagree,Neither Agree nor Disagree,,No,DK/REF,TRUE,DK/REF
,Female,50,Democrat,Strongly disapprove,College degree,Married,Unlikely,Not Real At All,,Strongly Disagree,Strongly Agree,2,Yes,Too Low,DK/REF,Unwise and happy
,Male,53,Republican,Somewhat Approve,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,7,No,About Right,FALSE,Unwise and happy
,Female,30,Independent,Somewhat disapprove,Other,In a relationship,Unlikely,DK/REF,1,Strongly Agree,Strongly Agree,20,No,About Right,FALSE,Unwise and happy
,Female,20,Democrat,Strongly disapprove,Some college,Single,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,10,Yes,About Right,FALSE,Unwise and happy
,Male,67,Republican,Strongly Approve,Some college,In a relationship,Unlikely,Not Real At All,0,Somewhat Agree,DK/REF,4,No,About Right,TRUE,Wise and Unhappy
77000,Male,18,Republican,Strongly Approve,High school,In a relationship,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,3,Yes,About Right,FALSE,Wise and Unhappy
,Female,34,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,60,No,Too Low,FALSE,Wise and Unhappy
,Male,60,Democrat,Somewhat disapprove,High school,Single,Likely,Real and Caused by People,1,Strongly Agree,Strongly Agree,20,No,About Right,TRUE,Unwise and happy
,Male,25,DK/REF,DK/REF,Some college,Married,Unlikely,Real and Caused by People,3,DK/REF,DK/REF,5,No,DK/REF,FALSE,DK/REF
,Male,56,Republican,Strongly Approve,Graduate degree,Married,Unlikely,Real but not Caused by People,2,Strongly Disagree,Somewhat Disagree,4,Yes,Too High,FALSE,Wise and Unhappy
,Male,50,Republican,Strongly Approve,High school,In a relationship,Unlikely,Not Real At All,0,Strongly Disagree,Somewhat Agree,1,No,Too High,FALSE,Unwise and happy
96000,Female,61,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,2,Yes,DK/REF,TRUE,Wise and Unhappy
,Female,34,Independent,Somewhat Approve,Some college,Divorced,DK/REF,Real and Caused by People,3,Strongly Agree,Strongly Agree,0,Yes,DK/REF,TRUE,Wise and Unhappy
,Female,55,Republican,Strongly Approve,Graduate degree,Widowed,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,5,No,DK/REF,FALSE,DK/REF
,Male,25,Independent,Strongly Approve,High school,Married,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,0,Yes,DK/REF,DK/REF,Wise and Unhappy
,Female,19,DK/REF,Strongly disapprove,Some college,Single,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,2,Yes,About Right,TRUE,Unwise and happy
,Male,70,Independent,Somewhat Approve,DK/REF,Married,Unlikely,Not Real At All,1,Strongly Disagree,DK/REF,1,No,Too High,TRUE,DK/REF
,Male,28,Independent,Somewhat disapprove,Some college,Married,Likely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,1,Yes,About Right,TRUE,Unwise and happy
,Male,35,Independent,Somewhat Approve,Graduate degree,Married,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,10,Yes,Too Low,FALSE,Unwise and happy
,Other,27,Independent,Strongly disapprove,College degree,In a relationship,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,8,No,Too High,FALSE,Unwise and happy
,Female,48,Independent,Strongly Approve,Some college,Single,Unlikely,Not Real At All,0,DK/REF,Somewhat Agree,,Yes,DK/REF,DK/REF,Unwise and happy
,Female,50,DK/REF,Strongly disapprove,College degree,In a relationship,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,50,Yes,Too Low,TRUE,Wise and Unhappy
,Male,30,Independent,Somewhat disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,50,No,About Right,TRUE,Wise and Unhappy
,Female,35,Democrat,Strongly disapprove,Other,Separated,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,8,Yes,Too Low,FALSE,Unwise and happy
,Female,22,Democrat,Somewhat disapprove,College degree,In a relationship,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,6,Yes,About Right,TRUE,Unwise and happy
,Female,40,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,Yes,Too Low,TRUE,Unwise and happy
,Female,70,DK/REF,Strongly Approve,High school,Widowed,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,10,No,Too High,TRUE,Unwise and happy
,Male,46,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,3,Strongly Agree,Somewhat Agree,24,Yes,Too Low,TRUE,Wise and Unhappy
,Male,42,Independent,Strongly disapprove,Some college,Divorced,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,6,No,DK/REF,TRUE,Wise and Unhappy
,Male,36,DK/REF,Strongly Approve,College degree,Married,Unlikely,Real but not Caused by People,4,Somewhat Agree,Neither Agree nor Disagree,15,DK/REF,Too Low,FALSE,Unwise and happy
,Female,66,DK/REF,DK/REF,College degree,Married,Likely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,,DK/REF,DK/REF,TRUE,DK/REF
,Female,71,Democrat,Strongly disapprove,Some college,Divorced,DK/REF,Real and Caused by People,,Strongly Disagree,Somewhat Agree,100,Yes,Too High,TRUE,Wise and Unhappy
,Male,25,Independent,DK/REF,Graduate degree,In a relationship,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,No,Too High,TRUE,Unwise and happy
,Male,69,Republican,Strongly Approve,Some college,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,2,No,About Right,DK/REF,Unwise and happy
,Female,29,Independent,DK/REF,College degree,Single,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,20,No,Too Low,TRUE,Wise and Unhappy
57000,Female,60,Republican,Strongly Approve,College degree,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,15,Yes,About Right,TRUE,Wise and Unhappy
,Female,70,Democrat,Strongly disapprove,College degree,Married,Likely,Real and Caused by People,0,Strongly Disagree,Somewhat Disagree,2,No,About Right,FALSE,Unwise and happy
101000,Male,45,Independent,Somewhat Approve,College degree,Married,Unlikely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,2,No,Too Low,TRUE,Unwise and happy
152000,Male,30,Republican,Neither approve nor disapprove,College degree,Married,Unlikely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,25,No,Too High,DK/REF,Unwise and happy
35000,Male,63,Republican,Strongly Approve,Graduate degree,Married,Likely,Real but not Caused by People,1,Strongly Disagree,Somewhat Agree,24,No,About Right,FALSE,Wise and Unhappy
109000,Male,51,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,Too Low,TRUE,Wise and Unhappy
87000,Male,56,Republican,Strongly Approve,High school,Married,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,About Right,DK/REF,Unwise and happy
79000,Female,62,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,Yes,Too Low,FALSE,Unwise and happy
73000,Female,46,Democrat,DK/REF,Some college,Married,Unlikely,DK/REF,0,Strongly Agree,Somewhat Disagree,0,Yes,DK/REF,TRUE,Unwise and happy
89000,Female,83,DK/REF,Strongly Approve,High school,Widowed,Unlikely,Not Real At All,0,DK/REF,DK/REF,12,No,DK/REF,TRUE,DK/REF
250000,Male,48,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,3,No,Too Low,FALSE,Unwise and happy
93000,Female,54,Independent,Strongly disapprove,Some college,Married,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,15,Yes,Too Low,DK/REF,DK/REF
21000,Female,64,Democrat,DK/REF,College degree,Single,Unlikely,Real but not Caused by People,3,Strongly Agree,Strongly Agree,0,No,About Right,DK/REF,DK/REF
80000,Female,62,Republican,Strongly Approve,College degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,125,No,Too Low,TRUE,Wise and Unhappy
30000,Male,68,DK/REF,Strongly disapprove,Some college,Widowed,DK/REF,DK/REF,0,DK/REF,DK/REF,,No,Too Low,TRUE,Wise and Unhappy
73000,Male,40,DK/REF,Strongly disapprove,College degree,Single,Unlikely,Real but not Caused by People,,Strongly Agree,Strongly Disagree,10,No,Too Low,TRUE,Wise and Unhappy
133000,Male,53,Independent,Strongly disapprove,College degree,Married,Unlikely,DK/REF,1,Strongly Agree,Strongly Agree,3,No,Too Low,FALSE,Wise and Unhappy
74000,Female,85,Democrat,DK/REF,Graduate degree,Widowed,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Agree,5,No,Too High,TRUE,Unwise and happy
67000,Male,55,Democrat,Somewhat Approve,Some college,Married,Unlikely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,0,No,Too Low,TRUE,Unwise and happy
,Female,52,Democrat,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,Yes,Too Low,FALSE,Unwise and happy
,Male,68,Republican,Strongly Approve,College degree,Married,Unlikely,Real but not Caused by People,2,DK/REF,Strongly Agree,5,No,Too Low,FALSE,Unwise and happy
