"PID","age","educ","income","vote","popul","TVnews"
"Independent",30,"HS",8,"Clinton",100,2
"Democrat",19,"HS",8,"Clinton",350,2
"Democrat",44,"HS",8,"Clinton",100,3
"Democrat",64,"HS",8,"Clinton",67,1
"Democrat",37,"College",8,"Clinton",30,5
"Independent",31,"College",9.5,"Dole",0,7
"Independent",88,"College",9.5,"Dole",0,0
"Republican",77,"College",9.5,"Dole",6,7
"Republican",30,"College",9.5,"Clinton",350,1
"Democrat",32,"College",9.5,"Clinton",400,1
"Republican",59,"HS",9.5,"Dole",15,7
"Independent",47,"College",9.5,"Clinton",0,0
"Democrat",22,"HS",9.5,"Clinton",3,2
"Independent",55,"HS",9.5,"Clinton",22,5
"Democrat",24,"HS",9.5,"Clinton",64,2
"Democrat",65,"HS",9.5,"Clinton",32,5
"Independent",24,"HS",9.5,"Clinton",390,7
"Independent",30,"HS",9.5,"Clinton",0,7
"Independent",73,"HS",9.5,"Clinton",0,7
"Democrat",73,"College",9.5,"Clinton",59,5
"Independent",91,"HS",9.5,"Clinton",0,6
"Democrat",71,"HS",9.5,"Clinton",35,7
"Independent",34,"College",9.5,"Dole",0,2
"Democrat",48,"HS",10.5,"Clinton",170,7
"Republican",42,"College",10.5,"Dole",12,1
"Democrat",72,"HS",10.5,"Clinton",40,4
"Republican",20,"College",10.5,"Dole",31,2
"Democrat",22,"College",10.5,"Clinton",31,7
"Democrat",24,"College",10.5,"Clinton",1600,1
"Independent",39,"College",10.5,"Clinton",1,1
"Republican",83,"College",10.5,"Dole",4,7
"Republican",39,"HS",10.5,"Dole",190,0
"Democrat",33,"College",10.5,"Clinton",53,3
"Democrat",53,"HS",10.5,"Dole",31,7
"Republican",82,"HS",10.5,"Dole",16,7
"Republican",82,"HS",10.5,"Dole",33,5
"Republican",47,"College",11.5,"Dole",0,3
"Independent",68,"HS",11.5,"Clinton",0,3
"Democrat",84,"College",11.5,"Clinton",0,7
"Republican",35,"College",11.5,"Dole",27,2
"Democrat",67,"HS",11.5,"Clinton",84,7
"Independent",33,"HS",11.5,"Dole",22,3
"Democrat",49,"College",11.5,"Clinton",0,3
"Democrat",91,"HS",11.5,"Clinton",3500,0
"Democrat",43,"HS",11.5,"Clinton",390,7
"Republican",65,"College",11.5,"Clinton",0,7
"Democrat",69,"HS",11.5,"Clinton",16,7
"Democrat",56,"College",12.5,"Clinton",200,0
"Democrat",24,"College",12.5,"Clinton",640,0
"Democrat",77,"HS",12.5,"Clinton",0,7
"Democrat",74,"HS",12.5,"Clinton",45,7
"Republican",25,"College",12.5,"Dole",12,0
"Independent",85,"HS",12.5,"Dole",20,7
"Independent",21,"HS",12.5,"Clinton",7300,5
"Democrat",24,"College",12.5,"Clinton",64,7
"Independent",73,"College",12.5,"Clinton",13,7
"Independent",37,"HS",12.5,"Clinton",190,0
"Independent",35,"College",12.5,"Clinton",9,4
"Democrat",47,"HS",12.5,"Clinton",0,7
"Republican",21,"HS",12.5,"Dole",170,2
"Democrat",55,"College",12.5,"Clinton",640,7
"Republican",30,"College",12.5,"Dole",9,4
"Independent",76,"College",12.5,"Dole",0,4
"Independent",36,"College",12.5,"Clinton",7300,5
"Democrat",38,"HS",13.5,"Clinton",2800,0
"Democrat",67,"HS",13.5,"Clinton",0,7
"Republican",70,"HS",13.5,"Dole",30,7
"Independent",78,"College",13.5,"Clinton",44,7
"Independent",27,"College",13.5,"Clinton",7300,1
"Democrat",51,"College",13.5,"Clinton",330,4
"Republican",33,"College",13.5,"Clinton",3,0
"Republican",80,"College",13.5,"Dole",51,2
"Democrat",79,"HS",13.5,"Clinton",29,5
"Independent",66,"HS",13.5,"Dole",630,2
"Democrat",32,"HS",14.5,"Clinton",170,0
"Democrat",70,"HS",14.5,"Clinton",33,7
"Independent",42,"HS",14.5,"Clinton",0,3
"Republican",73,"College",14.5,"Dole",9,5
"Democrat",87,"HS",14.5,"Clinton",22,4
"Democrat",30,"College",14.5,"Clinton",100,0
"Independent",52,"HS",14.5,"Clinton",2,2
"Democrat",62,"College",14.5,"Clinton",0,6
"Democrat",67,"HS",14.5,"Clinton",50,7
"Independent",37,"College",14.5,"Clinton",15,4
"Democrat",37,"College",14.5,"Clinton",3,4
"Democrat",64,"College",14.5,"Clinton",720,5
"Democrat",34,"HS",14.5,"Clinton",640,7
"Democrat",70,"HS",14.5,"Clinton",5,7
"Republican",31,"College",14.5,"Dole",24,2
"Democrat",29,"College",16,"Clinton",22,7
"Democrat",71,"HS",16,"Clinton",55,7
"Democrat",67,"HS",16,"Clinton",0,2
"Democrat",41,"College",16,"Clinton",1600,5
"Democrat",49,"College",16,"Clinton",170,6
"Democrat",42,"College",16,"Clinton",1000,7
"Democrat",78,"HS",16,"Clinton",63,0
"Democrat",24,"HS",16,"Clinton",110,0
"Democrat",29,"HS",16,"Clinton",16,7
"Republican",39,"College",16,"Dole",100,3
"Democrat",19,"College",16,"Clinton",7300,3
"Democrat",32,"College",16,"Clinton",22,2
"Republican",69,"HS",16,"Dole",71,3
"Republican",83,"HS",16,"Dole",900,4
"Independent",76,"HS",16,"Dole",35,7
"Democrat",62,"HS",16,"Clinton",2,7
"Democrat",47,"College",16,"Clinton",83,2
"Democrat",35,"HS",16,"Clinton",370,5
"Independent",23,"HS",16,"Clinton",12,0
"Democrat",79,"College",16,"Clinton",370,7
"Republican",64,"College",16,"Dole",100,7
"Republican",70,"College",16,"Dole",470,7
"Republican",87,"College",16,"Dole",22,7
"Democrat",28,"HS",18.5,"Clinton",2800,0
"Democrat",58,"HS",18.5,"Clinton",47,5
"Democrat",85,"HS",18.5,"Clinton",900,5
"Democrat",62,"HS",18.5,"Clinton",330,7
"Democrat",26,"College",18.5,"Clinton",84,0
"Republican",28,"HS",18.5,"Dole",0,0
"Republican",88,"HS",18.5,"Dole",33,3
"Democrat",57,"College",18.5,"Clinton",53,7
"Democrat",78,"HS",18.5,"Clinton",8,7
"Democrat",56,"HS",18.5,"Clinton",2,7
"Independent",46,"College",18.5,"Clinton",0,0
"Republican",20,"HS",18.5,"Dole",0,2
"Democrat",24,"College",18.5,"Clinton",0,0
"Independent",72,"College",18.5,"Clinton",0,7
"Democrat",51,"College",18.5,"Clinton",15,7
"Republican",34,"College",18.5,"Dole",900,0
"Democrat",21,"College",18.5,"Clinton",30,2
"Independent",74,"College",18.5,"Clinton",0,7
"Democrat",48,"HS",18.5,"Clinton",170,3
"Republican",28,"HS",18.5,"Clinton",900,2
"Republican",38,"HS",18.5,"Dole",0,6
"Democrat",70,"HS",18.5,"Clinton",1600,7
"Democrat",72,"HS",18.5,"Clinton",0,7
"Democrat",41,"HS",18.5,"Clinton",2800,0
"Democrat",50,"College",18.5,"Clinton",110,5
"Republican",73,"HS",18.5,"Dole",1,7
"Democrat",79,"College",18.5,"Clinton",3,5
"Republican",76,"HS",18.5,"Dole",0,4
"Republican",62,"College",18.5,"Dole",22,0
"Republican",30,"College",18.5,"Dole",63,3
"Republican",35,"College",18.5,"Dole",290,0
"Democrat",66,"College",18.5,"Clinton",2,7
"Democrat",35,"College",18.5,"Clinton",40,0
"Republican",57,"College",18.5,"Dole",67,0
"Republican",37,"College",18.5,"Dole",0,5
"Democrat",61,"HS",21,"Clinton",470,7
"Republican",56,"HS",21,"Dole",0,7
"Democrat",53,"HS",21,"Clinton",4,6
"Independent",24,"College",21,"Dole",20,0
"Republican",74,"HS",21,"Dole",2800,7
"Democrat",36,"HS",21,"Clinton",0,0
"Republican",30,"College",21,"Dole",1,0
"Democrat",55,"HS",21,"Clinton",640,0
"Independent",35,"College",21,"Clinton",170,3
"Democrat",26,"College",21,"Clinton",270,2
"Independent",25,"College",21,"Clinton",390,0
"Independent",27,"HS",21,"Clinton",16,2
"Republican",66,"HS",21,"Dole",11,7
"Independent",39,"HS",21,"Clinton",0,1
"Independent",58,"College",21,"Clinton",270,7
"Democrat",53,"HS",21,"Dole",170,2
"Democrat",76,"HS",21,"Clinton",900,7
"Democrat",51,"HS",21,"Clinton",270,7
"Democrat",70,"HS",21,"Clinton",0,7
"Republican",68,"College",21,"Dole",350,3
"Independent",32,"HS",21,"Dole",0,0
"Republican",55,"HS",21,"Clinton",6,0
"Democrat",52,"College",21,"Clinton",290,7
"Independent",73,"HS",21,"Dole",630,7
"Democrat",42,"HS",21,"Clinton",900,0
"Independent",23,"College",21,"Dole",31,2
"Democrat",30,"College",23.5,"Clinton",1600,5
"Democrat",68,"College",23.5,"Clinton",71,7
"Independent",68,"HS",23.5,"Clinton",200,7
"Independent",68,"College",23.5,"Clinton",0,0
"Democrat",38,"College",23.5,"Clinton",30,5
"Independent",74,"HS",23.5,"Clinton",10,1
"Democrat",59,"HS",23.5,"Clinton",0,7
"Independent",73,"HS",23.5,"Clinton",900,2
"Democrat",79,"HS",23.5,"Clinton",71,7
"Republican",28,"College",23.5,"Dole",22,3
"Republican",50,"HS",23.5,"Dole",0,7
"Democrat",36,"College",23.5,"Clinton",0,4
"Republican",50,"HS",23.5,"Dole",0,3
"Republican",61,"HS",23.5,"Dole",0,1
"Democrat",37,"College",23.5,"Clinton",7300,3
"Democrat",29,"College",23.5,"Clinton",83,0
"Democrat",39,"College",23.5,"Clinton",93,7
"Independent",83,"College",23.5,"Dole",0,7
"Independent",68,"College",23.5,"Dole",51,7
"Republican",25,"College",23.5,"Dole",31,2
"Democrat",41,"College",23.5,"Clinton",93,2
"Democrat",67,"HS",23.5,"Clinton",0,7
"Independent",36,"College",23.5,"Dole",0,3
"Independent",66,"College",23.5,"Dole",31,4
"Democrat",55,"College",23.5,"Clinton",900,1
"Independent",42,"College",23.5,"Clinton",0,4
"Republican",42,"HS",23.5,"Dole",2,7
"Democrat",36,"HS",23.5,"Clinton",110,3
"Independent",53,"College",23.5,"Dole",63,1
"Democrat",36,"College",23.5,"Clinton",900,0
"Independent",29,"College",23.5,"Clinton",31,3
"Democrat",31,"HS",23.5,"Clinton",510,1
"Democrat",43,"College",23.5,"Clinton",270,2
"Democrat",33,"College",23.5,"Clinton",9,3
"Democrat",63,"HS",23.5,"Clinton",3,1
"Independent",25,"College",23.5,"Clinton",29,1
"Democrat",72,"College",23.5,"Clinton",45,2
"Democrat",40,"College",23.5,"Clinton",83,5
"Independent",27,"College",23.5,"Clinton",22,7
"Independent",26,"College",27.5,"Clinton",15,3
"Republican",67,"HS",27.5,"Dole",110,7
"Democrat",21,"HS",27.5,"Clinton",8,0
"Republican",27,"College",27.5,"Dole",11,5
"Democrat",78,"College",27.5,"Dole",56,4
"Democrat",32,"HS",27.5,"Clinton",8,3
"Democrat",68,"College",27.5,"Clinton",100,5
"Republican",76,"College",27.5,"Clinton",900,7
"Democrat",33,"College",27.5,"Clinton",67,7
"Independent",38,"HS",27.5,"Dole",35,4
"Democrat",49,"College",27.5,"Clinton",35,3
"Republican",61,"College",27.5,"Dole",22,0
"Independent",57,"HS",27.5,"Dole",110,7
"Independent",20,"HS",27.5,"Clinton",12,0
"Independent",63,"College",27.5,"Dole",7300,7
"Independent",53,"HS",27.5,"Dole",0,0
"Republican",35,"College",27.5,"Dole",19,5
"Democrat",39,"HS",27.5,"Clinton",470,3
"Independent",48,"HS",27.5,"Dole",4,3
"Independent",62,"HS",27.5,"Dole",640,4
"Democrat",30,"College",27.5,"Clinton",640,2
"Republican",26,"College",27.5,"Dole",200,7
"Republican",74,"College",27.5,"Dole",0,7
"Independent",37,"College",27.5,"Clinton",29,4
"Democrat",43,"College",27.5,"Clinton",330,2
"Republican",68,"HS",27.5,"Dole",19,5
"Republican",73,"College",27.5,"Dole",1,7
"Republican",60,"College",27.5,"Dole",110,5
"Democrat",35,"HS",27.5,"Clinton",0,7
"Democrat",29,"College",27.5,"Clinton",350,4
"Democrat",25,"College",27.5,"Clinton",2,5
"Democrat",25,"College",27.5,"Clinton",0,7
"Democrat",70,"College",27.5,"Clinton",7,4
"Republican",41,"HS",27.5,"Dole",71,1
"Democrat",37,"College",27.5,"Clinton",53,0
"Republican",39,"College",27.5,"Dole",0,0
"Democrat",35,"College",27.5,"Clinton",2,6
"Democrat",62,"College",27.5,"Clinton",190,4
"Democrat",30,"College",27.5,"Clinton",31,0
"Democrat",74,"College",27.5,"Clinton",16,7
"Republican",47,"HS",27.5,"Clinton",22,7
"Democrat",43,"College",27.5,"Clinton",3,4
"Republican",64,"HS",27.5,"Dole",0,6
"Independent",75,"College",27.5,"Dole",0,7
"Democrat",27,"College",27.5,"Clinton",67,3
"Democrat",21,"HS",27.5,"Clinton",40,7
"Democrat",70,"HS",27.5,"Clinton",74,4
"Republican",67,"HS",27.5,"Dole",3,6
"Republican",82,"College",27.5,"Clinton",140,7
"Democrat",40,"College",27.5,"Clinton",14,0
"Republican",26,"College",27.5,"Dole",110,0
"Democrat",29,"College",27.5,"Clinton",35,3
"Independent",28,"College",27.5,"Clinton",0,1
"Republican",65,"HS",27.5,"Clinton",310,7
"Democrat",25,"HS",27.5,"Clinton",900,2
"Democrat",65,"HS",27.5,"Clinton",0,7
"Republican",38,"College",27.5,"Dole",11,4
"Republican",72,"College",27.5,"Dole",0,2
"Democrat",67,"HS",27.5,"Clinton",270,7
"Democrat",74,"HS",27.5,"Clinton",51,7
"Independent",71,"College",27.5,"Clinton",11,5
"Democrat",47,"HS",27.5,"Clinton",2,0
"Democrat",69,"HS",27.5,"Clinton",20,7
"Democrat",29,"College",27.5,"Clinton",31,3
"Republican",34,"HS",27.5,"Dole",2,0
"Democrat",43,"College",27.5,"Clinton",5,3
"Democrat",30,"HS",27.5,"Clinton",22,7
"Democrat",76,"HS",27.5,"Clinton",0,7
"Democrat",26,"College",32.5,"Clinton",27,0
"Independent",76,"College",32.5,"Clinton",7,7
"Democrat",42,"College",32.5,"Clinton",0,0
"Republican",33,"HS",32.5,"Dole",0,4
"Republican",25,"HS",32.5,"Dole",0,1
"Democrat",51,"College",32.5,"Clinton",2800,0
"Independent",57,"HS",32.5,"Dole",0,4
"Republican",21,"College",32.5,"Dole",22,1
"Republican",79,"College",32.5,"Dole",9,7
"Republican",35,"College",32.5,"Dole",0,1
"Independent",57,"College",32.5,"Dole",9,5
"Republican",32,"College",32.5,"Clinton",0,1
"Independent",51,"College",32.5,"Clinton",37,5
"Republican",62,"College",32.5,"Dole",23,0
"Republican",48,"College",32.5,"Dole",0,4
"Republican",39,"HS",32.5,"Dole",0,7
"Republican",26,"College",32.5,"Dole",0,5
"Democrat",38,"HS",32.5,"Dole",40,0
"Democrat",50,"College",32.5,"Clinton",0,5
"Independent",33,"HS",32.5,"Dole",9,2
"Independent",36,"HS",32.5,"Clinton",15,5
"Democrat",24,"College",32.5,"Clinton",640,5
"Democrat",25,"College",32.5,"Clinton",0,4
"Democrat",62,"HS",32.5,"Clinton",0,7
"Republican",33,"HS",32.5,"Dole",0,2
"Republican",53,"College",32.5,"Dole",0,7
"Republican",68,"College",32.5,"Dole",22,7
"Democrat",68,"HS",32.5,"Clinton",22,7
"Republican",38,"HS",32.5,"Dole",10,1
"Democrat",58,"HS",32.5,"Clinton",29,1
"Republican",34,"College",32.5,"Dole",170,7
"Democrat",58,"HS",32.5,"Clinton",4,2
"Democrat",35,"College",32.5,"Clinton",11,0
"Republican",42,"College",32.5,"Dole",31,3
"Democrat",54,"HS",32.5,"Clinton",0,7
"Republican",69,"HS",32.5,"Dole",0,7
"Democrat",35,"College",32.5,"Clinton",360,2
"Republican",66,"College",32.5,"Dole",0,7
"Democrat",58,"HS",32.5,"Clinton",900,2
"Democrat",41,"HS",32.5,"Clinton",51,5
"Independent",35,"College",32.5,"Clinton",0,2
"Democrat",40,"College",32.5,"Clinton",110,0
"Democrat",53,"HS",32.5,"Clinton",1,7
"Republican",67,"College",32.5,"Dole",8,5
"Democrat",32,"College",32.5,"Clinton",5,5
"Democrat",41,"College",32.5,"Clinton",87,4
"Democrat",43,"College",32.5,"Clinton",3,1
"Democrat",65,"HS",32.5,"Clinton",51,1
"Democrat",60,"College",32.5,"Clinton",350,7
"Democrat",77,"College",32.5,"Clinton",3,7
"Democrat",35,"College",32.5,"Clinton",630,0
"Democrat",48,"College",32.5,"Clinton",180,4
"Republican",52,"HS",32.5,"Dole",0,0
"Independent",43,"College",32.5,"Clinton",35,7
"Republican",43,"College",32.5,"Dole",0,7
"Republican",67,"College",32.5,"Dole",0,7
"Democrat",56,"HS",32.5,"Clinton",6,1
"Democrat",62,"College",32.5,"Clinton",7300,2
"Democrat",62,"HS",32.5,"Clinton",2,1
"Democrat",22,"College",32.5,"Clinton",35,3
"Democrat",21,"College",32.5,"Clinton",0,0
"Republican",34,"HS",32.5,"Dole",45,3
"Democrat",70,"HS",32.5,"Clinton",0,7
"Independent",50,"HS",32.5,"Clinton",5,1
"Republican",42,"College",32.5,"Dole",35,5
"Republican",73,"HS",32.5,"Dole",900,5
"Democrat",57,"College",32.5,"Clinton",35,2
"Republican",40,"College",32.5,"Dole",0,7
"Republican",58,"College",32.5,"Dole",0,2
"Democrat",62,"HS",32.5,"Clinton",11,7
"Democrat",44,"HS",37.5,"Clinton",40,1
"Republican",30,"College",37.5,"Clinton",0,3
"Democrat",76,"College",37.5,"Clinton",23,7
"Democrat",50,"College",37.5,"Clinton",270,3
"Republican",41,"College",37.5,"Dole",9,1
"Republican",77,"HS",37.5,"Dole",0,6
"Republican",35,"College",37.5,"Dole",0,3
"Independent",39,"College",37.5,"Clinton",0,7
"Independent",72,"HS",37.5,"Dole",2,0
"Republican",42,"College",37.5,"Dole",0,2
"Republican",85,"HS",37.5,"Dole",16,7
"Independent",79,"College",37.5,"Clinton",7300,0
"Democrat",39,"College",37.5,"Clinton",0,5
"Republican",58,"College",37.5,"Dole",23,4
"Republican",27,"College",37.5,"Dole",42,0
"Democrat",43,"College",37.5,"Clinton",2,4
"Democrat",58,"College",37.5,"Clinton",0,0
"Independent",28,"College",37.5,"Dole",42,7
"Republican",27,"College",37.5,"Clinton",470,2
"Independent",40,"HS",37.5,"Clinton",42,0
"Democrat",43,"College",37.5,"Clinton",0,5
"Republican",64,"HS",37.5,"Dole",40,7
"Democrat",39,"College",37.5,"Clinton",180,7
"Independent",76,"College",37.5,"Dole",110,7
"Democrat",64,"College",37.5,"Clinton",140,5
"Independent",28,"College",37.5,"Clinton",0,4
"Democrat",45,"HS",37.5,"Clinton",0,2
"Republican",22,"HS",37.5,"Dole",190,1
"Democrat",27,"College",37.5,"Clinton",35,1
"Democrat",31,"College",37.5,"Clinton",45,0
"Democrat",34,"College",37.5,"Clinton",170,1
"Democrat",30,"College",37.5,"Clinton",0,4
"Republican",64,"HS",37.5,"Dole",0,2
"Independent",36,"College",37.5,"Dole",35,0
"Independent",31,"HS",37.5,"Dole",5,7
"Republican",37,"HS",37.5,"Dole",350,1
"Democrat",48,"HS",37.5,"Clinton",4,0
"Independent",41,"HS",37.5,"Clinton",70,0
"Republican",25,"College",37.5,"Dole",8,2
"Republican",82,"HS",37.5,"Dole",12,5
"Independent",36,"College",37.5,"Dole",5,1
"Democrat",47,"HS",37.5,"Dole",0,7
"Democrat",67,"College",37.5,"Clinton",16,6
"Republican",24,"College",37.5,"Dole",0,0
"Republican",33,"College",37.5,"Dole",9,0
"Democrat",59,"College",37.5,"Dole",14,7
"Republican",71,"College",37.5,"Dole",22,7
"Republican",36,"HS",37.5,"Dole",0,7
"Democrat",41,"HS",37.5,"Clinton",1,3
"Republican",38,"College",37.5,"Dole",1600,5
"Republican",32,"HS",37.5,"Dole",7300,1
"Democrat",32,"College",37.5,"Clinton",19,0
"Democrat",75,"College",37.5,"Clinton",9,6
"Independent",52,"HS",37.5,"Dole",0,7
"Democrat",29,"College",37.5,"Clinton",1600,5
"Democrat",71,"HS",37.5,"Clinton",12,7
"Independent",33,"College",37.5,"Clinton",1,0
"Independent",67,"College",37.5,"Clinton",0,3
"Republican",49,"College",37.5,"Dole",0,2
"Democrat",31,"College",37.5,"Clinton",0,0
"Democrat",53,"HS",37.5,"Clinton",9,7
"Democrat",35,"College",37.5,"Clinton",0,3
"Republican",49,"College",42.5,"Dole",170,7
"Democrat",74,"HS",42.5,"Clinton",3,7
"Republican",29,"College",42.5,"Dole",14,0
"Democrat",27,"College",42.5,"Clinton",1,5
"Republican",70,"College",42.5,"Clinton",23,5
"Republican",43,"College",42.5,"Dole",0,0
"Independent",47,"College",42.5,"Clinton",1,5
"Democrat",42,"College",42.5,"Clinton",0,4
"Republican",41,"College",42.5,"Dole",9,0
"Republican",37,"College",42.5,"Dole",130,2
"Democrat",61,"HS",42.5,"Clinton",5,5
"Democrat",84,"College",42.5,"Clinton",4,7
"Democrat",46,"College",42.5,"Clinton",2800,7
"Republican",39,"College",42.5,"Clinton",4,0
"Democrat",53,"HS",42.5,"Clinton",6,7
"Republican",87,"College",42.5,"Dole",4,7
"Democrat",51,"HS",42.5,"Clinton",84,2
"Independent",37,"College",42.5,"Dole",0,0
"Independent",37,"College",42.5,"Dole",9,1
"Republican",40,"College",42.5,"Dole",290,0
"Independent",46,"College",42.5,"Clinton",0,3
"Independent",44,"HS",42.5,"Dole",9,7
"Democrat",37,"HS",42.5,"Clinton",0,2
"Independent",55,"College",42.5,"Clinton",0,7
"Democrat",40,"College",42.5,"Dole",22,0
"Democrat",42,"College",42.5,"Clinton",0,5
"Republican",40,"HS",42.5,"Dole",640,7
"Republican",32,"HS",42.5,"Dole",10,0
"Independent",58,"College",42.5,"Dole",4,5
"Independent",37,"HS",42.5,"Dole",0,2
"Republican",51,"HS",42.5,"Dole",640,4
"Republican",44,"College",42.5,"Clinton",110,5
"Democrat",23,"HS",42.5,"Clinton",0,2
"Republican",38,"HS",42.5,"Dole",0,2
"Democrat",42,"College",42.5,"Clinton",67,0
"Independent",60,"College",42.5,"Dole",520,7
"Democrat",34,"College",42.5,"Clinton",0,3
"Republican",49,"HS",42.5,"Dole",51,1
"Independent",40,"HS",42.5,"Dole",0,0
"Democrat",23,"College",42.5,"Clinton",2800,7
"Democrat",47,"HS",42.5,"Clinton",110,2
"Democrat",44,"College",42.5,"Clinton",7300,7
"Democrat",37,"College",42.5,"Dole",7300,5
"Republican",26,"College",42.5,"Dole",0,2
"Independent",51,"College",42.5,"Clinton",16,7
"Democrat",69,"HS",42.5,"Clinton",140,4
"Democrat",36,"College",42.5,"Clinton",54,2
"Independent",28,"College",42.5,"Clinton",2,2
"Republican",40,"College",47.5,"Dole",470,4
"Republican",45,"College",47.5,"Dole",0,1
"Republican",75,"College",47.5,"Dole",75,3
"Republican",32,"College",47.5,"Dole",11,2
"Democrat",27,"HS",47.5,"Clinton",0,0
"Independent",63,"College",47.5,"Dole",2800,6
"Republican",79,"College",47.5,"Dole",140,1
"Democrat",40,"College",47.5,"Clinton",9,7
"Democrat",57,"College",47.5,"Clinton",7300,2
"Democrat",44,"College",47.5,"Clinton",45,3
"Republican",78,"College",47.5,"Dole",1600,7
"Republican",58,"College",47.5,"Clinton",9,7
"Democrat",55,"HS",47.5,"Clinton",0,7
"Independent",25,"College",47.5,"Clinton",130,4
"Democrat",27,"College",47.5,"Clinton",9,0
"Independent",21,"HS",47.5,"Clinton",3500,3
"Republican",37,"College",47.5,"Dole",0,3
"Republican",31,"HS",47.5,"Dole",0,0
"Democrat",85,"College",47.5,"Clinton",35,7
"Republican",33,"HS",47.5,"Clinton",900,1
"Independent",63,"HS",47.5,"Dole",27,7
"Democrat",51,"HS",47.5,"Clinton",900,7
"Democrat",46,"HS",47.5,"Clinton",0,2
"Republican",26,"College",47.5,"Dole",64,2
"Democrat",57,"College",47.5,"Clinton",4,7
"Democrat",48,"HS",47.5,"Dole",0,3
"Republican",55,"HS",47.5,"Dole",0,2
"Democrat",37,"College",47.5,"Clinton",53,0
"Republican",39,"HS",47.5,"Dole",290,2
"Democrat",24,"HS",47.5,"Dole",15,2
"Republican",30,"College",47.5,"Dole",0,0
"Democrat",36,"College",47.5,"Clinton",35,0
"Independent",45,"HS",47.5,"Clinton",0,0
"Independent",29,"HS",47.5,"Clinton",470,1
"Republican",41,"College",47.5,"Dole",16,7
"Independent",28,"College",47.5,"Dole",40,1
"Democrat",35,"College",47.5,"Clinton",290,7
"Democrat",46,"College",47.5,"Clinton",4,7
"Democrat",55,"College",47.5,"Clinton",1,7
"Republican",65,"College",47.5,"Clinton",140,3
"Democrat",22,"College",47.5,"Clinton",110,1
"Democrat",41,"College",47.5,"Clinton",0,1
"Independent",43,"College",47.5,"Clinton",900,1
"Democrat",49,"College",47.5,"Clinton",0,2
"Independent",35,"College",47.5,"Dole",0,4
"Democrat",80,"HS",47.5,"Clinton",51,7
"Democrat",57,"College",47.5,"Clinton",71,2
"Democrat",48,"HS",47.5,"Clinton",900,4
"Independent",43,"College",47.5,"Clinton",83,4
"Democrat",34,"College",47.5,"Clinton",360,3
"Democrat",44,"College",47.5,"Clinton",180,7
"Independent",49,"College",55,"Dole",1,3
