"age_under_5","age_under_18","age_over_65","no_move_in_one_plus_year","foreign_born","foreign_spoken_at_home","hs_grad","bachelors","veterans","mean_work_travel","housing_units","home_ownership","housing_multi_unit","median_val_owner_occupied","households","persons_per_household","per_capita_income","median_household_income","poverty","private_nonfarm_establishments","private_nonfarm_employment","percent_change_private_nonfarm_employment","nonemployment_establishments","sales","sales_per_capita","accommodation_food_service","building_permits","fed_spending","area","density","growth"
6.8,24.9,17.4,89.6,3.4,7.7,85.8,12.2,2213,23.7,12917,82.8,6.3,139400,10065,2.43,21014,42927,14.9,550,4825,0.6,1589,160034,6664,15083,49,211084,944.98,26.3,1.8839124322153
5.8,22,13.9,84.7,16.6,24,86.2,31.5,33302,25.1,204572,62.4,18.8,524400,184033,2.52,32597,63274,10.3,13383,149366,-8.4,40063,6427191,13929,1005419,477,3117386,1575.85,307.1,5.22115078594191
7.1,23.9,9.9,79.6,8.9,11.1,88.9,35,74441,21,527186,57.3,34.5,155300,457799,2.44,26909,49087,17,27183,568889,-9.2,77924,19403588,17288,2596341,3119,14632589,532.19,2186.1,8.11714488565549
5.7,23.8,14.9,90.3,3.4,5.8,89.7,29.6,4344,34.4,20140,84.8,6.2,375700,17188,2.69,35964,81096,5.5,1403,11056,15.5,4445,618290,13203,103044,167,323456,371.91,128.5,15.1366165948366
7.7,27.1,15.1,86,13.9,40.3,67.6,13.9,1373,23.2,8794,68.4,9.2,69500,7036,2.66,18716,37094,20.3,388,4632,15.7,1137,179237,9252,17385,1,267606,1066.69,18.6,5.95244105619226
5.5,20.9,13.9,82.5,1.1,2.9,65.5,8.9,850,29,4120,69.9,8.9,64000,3334,2.52,15659,27607,27.7,121,1187,-25,493,25209,2678,1384,0,79980,303.01,32.9,14.2284569138277
6.3,24.2,15.6,87.7,0.6,4.1,75.7,9.4,426,30.9,3261,76.5,9.5,79800,2741,2.55,18452,40259,18.3,75,530,-27.9,468,27370,3956,762,2,80897,195.17,36.6,4.51296426068676
7.3,24.8,20.7,90,1.1,3.5,84.6,7.6,893,22.4,4407,75.2,7.6,77700,3534,2.49,18967,35000,15.1,222,2079,-4.8,684,143542,16382,11022,0,99114,722.5,12.4,1.19459640504633
6.8,25,12.7,86.1,3.1,4.2,78.3,13.3,903,35.9,6153,70.5,2.9,121800,4998,2.73,20263,42081,19.1,172,1611,-12.5,1106,33351,2442,3412,36,76898,368.17,37.8,17.7985611510791
5.8,24.1,13,85.6,5.9,8.3,88.4,33.1,2082,21,10711,72.8,12.1,180800,10001,2.45,28501,56537,11.3,552,6883,-17.1,2023,225208,9242,15725,50,139991,188.78,132.1,6.94093588355588
5.8,19.6,16,81.5,1.7,2.5,85.7,23,8727,19.9,46169,64.2,23.2,97500,40564,2.3,21907,34492,20.6,2584,47641,5.7,4634,1496115,15844,205158,124,1017239,281.02,342.8,-0.482770792886139
6.1,24.8,15,88.7,0.9,1.8,69.9,10,1209,28,7655,74.3,6.1,70600,5843,2.76,16523,29299,24.6,201,2314,-27.8,1001,86735,4794,3136,22,177021,643.94,24.5,-9.04187817258883
7.2,25.3,13.3,81.6,3,4.6,74.8,13.6,5163,28.2,26777,64.6,15.8,124400,23105,2.71,19607,41100,21.2,1186,16997,-11.9,4305,661569,10492,77353,118,443220,196.47,326.1,8.82743121127464
5.8,22.5,17.5,88.3,1.2,2.5,74.3,11,2283,23.3,11511,76.6,5.7,94600,9827,2.58,17880,33865,19.1,381,4895,-28.3,2026,195438,7828,16760,51,219996,376.67,68.6,10.5994350063852
4.9,34,12.4,85.5,2.8,8.7,82.3,29.8,127,16.6,841,71,9.6,86900,710,2.72,22504,51111,13.4,34,0,NA,184,16797,8118,2919,4,20356,1500.53,1.4,-6.48148148148148
5.3,20.1,16.9,84,2.5,6.4,91.8,30.4,1110,13.7,5273,64.7,7.8,169700,3918,2.26,21110,38264,15,363,2238,5.3,858,122910,13877,16054,13,86164,5541.62,1.7,0.475881462253948
7.4,25.4,8.8,78.2,13.5,17.4,88.3,40,54254,24.7,398510,62.6,30.3,185100,350392,2.48,31848,55294,12.5,27889,531089,6.5,70157,14114263,16306,2550518,2672,4560780,523.84,1755.5,24.3765957539353
8.2,28,8.1,81,25,41.7,77.6,27.7,190111,27.5,1598698,57.8,36,131700,1372163,2.85,26788,51444,16.8,91082,1809432,10.3,329426,51899053,13276,7874724,15039,29940175,1703.48,2402.4,16.9062414553206
5.1,20.4,16.8,85,2,3.6,91.2,26.3,1583,16.9,8721,75.5,13.5,147600,7869,2.4,23608,50693,8.4,606,9822,-2,1795,289636,13909,21459,41,153868,689.87,30.5,-1.20630699088146
5.6,21.7,13.6,83.1,4.1,5.8,91.7,34.5,17914,19.5,68241,68.5,21.6,160000,61962,2.43,28328,56679,11.4,3017,48685,7.8,8987,2029318,12776,283253,380,3041553,413.73,390.5,8.47109356142425
6.9,25.2,14.8,87.2,1.6,2.7,72.6,8.7,1248,21.9,7298,70.9,10.5,74500,6281,2.64,15165,29268,26.9,330,4031,-9.4,986,129391,7897,11202,19,183392,526.49,32.2,-1.98464264619019
5.8,21.8,16.9,85.3,0.8,1.8,86.6,19.1,8600,19.2,40215,73.4,15.1,102500,36222,2.37,22890,42146,16.4,2130,34000,-8.6,4071,1712248,19847,157906,126,891468,366.26,237.4,-1.18450710704264
9,31.4,10.5,89.3,15.5,34.3,77.6,15.9,296,11.8,2945,73.1,5.3,85500,2723,2.79,25188,55514,11.8,220,2331,1.8,454,66963,8998,7133,5,48562,574.8,13.6,-1.02184186997062
5.6,21.1,19.4,83.9,4.4,6.5,80.3,12.2,5310,29.4,20123,76.3,5.5,112100,15814,2.51,18703,35737,21.6,738,5456,-3,2470,346356,8920,32401,56,309185,1118.21,36.5,15.565794956006
5,21.1,21.3,91.7,6.1,8.6,80.5,24.7,1723,21.3,12313,73,8.8,175700,7148,2.26,22471,34406,18.5,490,4237,-24.7,1626,234433,14153,41073,65,132699,369.99,44,7.53256328336201
5.7,20.4,13.7,83.4,25.4,30.4,93.1,53.2,1964,31.4,8680,72.1,24.7,488900,8524,2.52,44008,97900,5,2320,28629,-16.3,3385,1884013,80800,140285,22,1017265,6.24,3616.8,4.72856193219588
5.5,21.2,14,85.9,1.2,2.5,70.3,10.7,2022,28.6,10851,73.2,6.3,88700,8993,2.62,15838,32539,20,374,5988,-8.6,1369,158797,5711,15636,41,397423,667.77,40.8,-3.126261329028
5.3,20.8,17.6,89.8,0.8,1.9,85.2,12.2,3509,23.5,15918,78,10.4,77900,13997,2.32,21064,34419,18,482,7849,16.7,1196,272442,8199,26294,3,233750,305.43,108.4,-7.28546832996043
5.2,20.4,13,87.5,0.6,3.7,68.8,11.8,669,28.2,5830,75.1,7.2,72700,4433,2.71,17705,30229,23.6,172,1903,-15.9,764,88058,6175,8093,1,157420,381.13,36.5,-0.179559003088415
6.1,22,22.1,88.9,1,8.1,78.7,11.8,2513,27.1,15517,81.7,3.5,114400,8414,2.4,18789,36696,17,498,2818,-17.8,1659,191467,9221,13322,1,162678,597.63,34.4,6.10746413809871
6.1,24.2,13.6,86.2,1.7,2.4,78.3,12.8,1441,27.8,8529,76.6,8.7,117400,6837,2.77,21026,43200,17.7,285,3791,-23,1422,117776,6246,12379,47,222105,314.29,61,7.58635082959407
6.1,23.2,15.9,85.3,2.6,4.2,76.9,13.8,6708,27.4,37054,74.7,8.5,102200,31263,2.51,20284,38567,16.7,1737,22761,4.3,5727,867058,10757,102291,24,624001,734.84,109.4,3.63530084819541
6.2,24.7,16.3,87.9,0.3,0.9,79.7,17.9,1669,21.1,10237,73.5,8.3,79000,8494,2.46,18323,32940,22.7,495,5963,-3.4,1179,197221,9274,16684,32,212401,976.88,21.5,-7.1907547439007
6,22.5,16.3,84,1.8,3.9,84.3,14.9,12370,20.6,54599,71.2,18.9,112200,48557,2.45,21459,42664,12.4,2798,43964,-15.1,6495,1489514,11818,178875,45,917920,495.27,251.3,-3.51636874874473
6.8,24.3,16.1,84.6,1.4,2.3,88,17.9,1767,17.7,9766,75.1,12.6,95200,8988,2.39,21568,45025,14.3,576,7286,15.6,1454,242911,10995,16819,10,182041,570.86,39.2,0.205531477592601
5.3,23.6,15.3,89.3,4.5,6.4,95.1,43.1,6886,22.5,36267,78.3,22.2,255600,33856,2.5,39778,74996,4.5,2786,35836,-4.1,6011,976543,11432,124890,121,418757,233.08,370.7,4.72018056600498
5.9,22.2,16.3,83.9,2.1,7.2,88.5,26.8,1740,14.1,9652,70.2,18.6,115500,8688,2.27,24776,47124,11.2,726,10230,1.5,1494,293043,13498,34531,56,168014,521.16,43.1,3.50298600588288
4.4,19,20.7,90.6,1.8,4.3,91.8,26.8,1779,22.7,12999,81.8,7.2,157300,6990,2.1,24028,43176,12.3,438,2261,-1.7,1531,107608,7164,34175,59,130645,1477.86,10.2,0.00666045024643666
5.3,19.4,20.2,92.5,3.4,5,76.8,17.2,2270,25,17342,79.2,4.4,145700,11848,2.23,20350,34538,17.8,566,5817,-3.3,2400,292410,11474,22621,90,237229,426.14,64,10.6191122026319
5.8,18.9,10.4,68.8,5.6,7.7,89.2,34,4839,17.4,33991,53.9,25.2,116000,28735,2.4,19540,34752,23.4,1722,22398,13.3,4718,818401,10449,117802,108,541758,684.7,113,11.8422753716871
6.6,23.7,21.8,94.4,1.6,10.5,85.2,12.5,343,19.7,1710,81.5,9.6,64500,1387,2.66,23909,43894,13.1,113,524,-24.3,263,21034,6006,1599,24,53766,957.6,3.9,-12.24600379301
7.1,30.2,13.3,83.9,17.9,31.9,74.4,19.1,233,16.4,1252,78.7,4,80800,971,3.09,21587,50069,12.9,56,263,-56.9,217,10079,3486,NA,8,39026,923.04,3.3,-5.00988793671721
5.7,23.8,15,91.6,0.6,1.8,82.6,10.5,1077,39.2,5208,81.6,0,120200,4406,2.66,19893,45682,20.5,134,910,-7.4,523,33978,2895,2348,34,93353,340.45,35.8,13.7820775600558
5.7,21.2,23.7,83.8,0.7,2.3,90.7,18,1091,19.9,5108,79.7,7.4,70700,4316,2.12,23049,41611,10.4,283,2384,3.9,734,103509,10402,NA,8,117038,569.97,17,-14.9431230610134
6.8,23.9,12.7,82.5,9.6,17,81.4,17.8,18373,19,104424,65.2,19.9,88400,90671,2.57,22095,42293,18.8,5721,106468,6,14248,3973125,16453,387509,1111,2240568,876.3,287.9,0.0879999048649677
6,24,16.4,90.5,0.8,2.6,87.1,13.9,1606,32.5,7849,83.1,9.5,162800,6439,2.54,21304,45672,12.5,304,3143,-11.3,1120,150453,9309,9999,11,104174,521.59,31.1,7.65441221750108
6.4,23.3,11.8,85.8,7.5,9.9,90,35.7,56089,28.8,212562,75.7,17.3,370100,195999,2.59,38660,83456,5.3,13729,200856,8.7,36008,9464955,18491,1288086,1711,8107406,414.9,1295.9,8.92764146591873
6.8,25.2,16.2,91.5,0.9,1.1,78.4,13.2,525,42.8,4154,85.8,2.4,70000,2995,2.71,21583,33324,23.2,121,1089,-22.1,448,20884,2507,NA,0,70833,563.78,14.4,-4.0650406504065
5.2,21.3,17.8,90,2,3.6,88.7,15,622,22.3,3074,79.9,8.3,123600,2535,2.36,27004,56458,10.9,135,1297,-19.7,374,21663,3619,2266,15,43752,160.16,37.5,-1.33200133200133
5.6,21.1,17.7,85.1,8.9,13.2,86.3,16.4,7010,27.8,35492,67.1,7.8,265400,25180,2.53,21531,39491,19.1,1092,9280,-2.5,4072,557902,8630,68069,46,601507,1256.46,51.5,9.82911930719864
6.2,24.4,20.2,88.2,3.1,6.1,87.4,10.5,830,25.4,4238,75.5,11.2,85200,3668,2.47,19967,43005,16.3,175,2646,-2.3,640,84344,8919,NA,3,93400,430.59,20.7,-5.88896381209261
6.5,26.2,20.1,90.8,0.4,1.7,89,17.1,810,14,4562,79.1,9.9,85800,3955,2.41,22484,46134,9.3,386,4073,4,645,106838,10528,4229,9,85294,717.43,14.2,-5.29573590096286
6.3,25.1,15.4,86.1,0.2,1,76.1,12.6,1293,23.1,7853,70.7,11.3,75800,6638,2.69,18248,37021,16.7,387,4209,-9.5,1374,185706,9970,12504,8,164284,616.38,29,-9.26692781197538
9.3,33.1,12.9,84.3,9.9,17.9,78.8,15.7,1444,16.1,8372,68.6,8.8,114600,7550,2.89,17782,39866,15.4,641,6787,13.4,1389,318904,15216,33455,37,146656,2565.08,8.9,6.69222725688393
7.4,28.2,17.5,87.3,2,2.3,88.6,17.5,319,19.7,1354,82.9,11.9,108500,1149,2.42,20414,39413,13.8,70,449,22.3,175,18069,6500,NA,1,40410,2231.67,1.3,-0.276720857834659
6.3,23,15.4,88.6,3.5,5.6,83.7,23.5,14548,24.7,72249,73.3,9.6,119000,62072,2.49,24172,44468,16.6,2821,48735,-7.1,9385,1599845,10450,172893,697,4796842,1071.03,149.5,10.9600934421827
5.5,21.7,19.3,87.1,3.1,5.9,89.9,19.3,1007,13.9,5194,74.7,17.3,90900,4711,2.23,22684,41871,10,314,5931,-27.5,840,114958,10672,6386,2,97124,400.49,27.1,-7.8869869317136
7.5,25.3,21.2,89,9.9,22.4,75.5,12.9,318,14.2,2044,67.8,11.9,42900,1625,2.25,20375,32055,16,113,832,16.7,267,34309,9896,1406,0,60259,850.62,4.4,-14.3586985748857
5.1,20.9,19.5,87.8,1.4,4,87.6,15.5,2888,16.1,16053,80.6,10.6,104800,13357,2.21,21140,36695,15.9,852,9778,-12.3,1854,416778,14018,32160,11,316279,571.86,51.8,-5.79768903304277
7.8,27.6,11.8,80.6,7.1,19.7,75,12.9,492,24.8,2575,72.1,4.4,103400,1945,2.78,25287,66525,12.2,95,1337,8.3,241,54981,10812,5362,5,41365,5490.11,1.1,-0.329004329004329
7.7,27.3,10.4,80.4,1.3,2.8,85,11.5,3272,30.3,11762,71.8,19.6,107700,10043,2.88,18823,43800,13.4,322,3270,8.2,1366,170689,6274,NA,216,157307,305.42,93.6,7.8770715334592
5.5,21.9,16.5,86.4,1.2,2.1,85.3,12.4,10153,24,47088,74.7,13.2,97400,42162,2.48,19635,39502,16,2155,25689,-13.5,5874,1064159,9782,87515,19,905673,531.89,202.7,-3.9261505364379
5.6,22.7,14.5,88.1,15,18.2,93.1,47.4,41798,30.4,270359,70.4,36.9,408100,255180,2.52,42371,81027,6.2,19178,309660,-8.3,48592,11241440,17133,1294000,1417,4690227,396.11,1693.6,3.06208541402698
5.1,20.5,16.8,83.8,1.8,4.1,86.5,13.5,2100,17.7,8661,80.4,9.5,70400,7819,2.47,21545,41434,16.9,430,6352,-7.6,1164,164186,8419,15266,7,143534,443.63,44.7,-3.20431952364132
5.5,21.3,24.7,86.2,3.1,7.5,82.6,23.4,818,18.9,4566,80.9,4.1,82900,3064,2.72,22429,40808,11.4,229,2070,13.6,745,78583,9734,6045,0,73602,835.91,10.2,3.38147234941881
3.6,14.9,26.3,85.9,4.2,5.5,94.2,34.8,4854,24.6,17767,73.8,9,308500,14194,2.02,28528,46048,13.5,1071,6753,0.6,2946,210897,7204,48744,97,307227,1803.7,16.6,13.119309051955
7.4,27.2,17.9,87.6,10.2,20.8,80.7,15.9,167,14,1054,80,6.2,76800,856,2.61,20375,44318,10.4,93,461,7.7,141,18489,8528,529,0,41576,718.57,3.1,-13.2945389435989
5.3,18.8,23.2,89.9,1.1,3.9,92.8,21.1,935,16.2,4108,74.7,6.4,183800,3015,2.27,23023,41116,12.9,348,1629,2.3,746,82730,12127,7350,0,72764,3146.19,2.2,-3.11073059360731
6.5,26,14,87.3,0.5,1.9,84.1,10.8,888,21.4,3734,82.8,8.3,85500,3234,2.62,19952,44892,15.5,138,3580,16.7,401,28055,3266,2158,5,61551,187.65,45.6,2.01984821949796
6.5,23.7,16.1,84.4,10.6,15.2,87.7,23.2,12714,25.6,51473,70.1,16.7,278300,45253,2.51,26925,54811,11.7,3485,37356,4.8,7223,2134762,18362,251025,207,819850,1731.2,67.5,11.9092223334274
4.8,16.9,13.8,80,3.9,7.9,80.9,14.3,2110,23,11130,67,13,155900,8327,2.35,16919,42443,18.6,385,3990,25.9,1460,105159,4011,9899,48,294488,319.72,82.8,6.50925576123914
6.9,25.8,12.9,94.6,0.8,4,82.2,12.4,1404,24,8455,83.8,7.6,116600,7455,2.95,22509,51725,13.6,309,6431,12.7,1159,162938,7669,11979,40,174032,241.54,91.5,4.00868699665189
7.1,25,15.6,83.4,1.6,4,92,19,3550,15.2,16583,68.3,14.8,109100,15038,2.37,25319,45181,10.1,1034,11477,13.2,2068,634917,17911,NA,83,301084,2564.07,14.2,4.56349206349206
8.1,29.3,12.2,85.7,0.8,2,74.2,14.3,1405,20.1,10792,57,20.1,53400,9351,2.8,15687,24726,35.5,570,6797,-22.6,1490,260323,9448,120568,8,333683,552.44,47.3,-17.0968605407059
4.3,16.1,12.4,73.4,2.7,7,75.6,10.9,393,16.2,2462,74.6,11.5,80100,2139,2.17,17133,38696,12,124,0,NA,298,30018,4597,NA,0,41330,305.61,22.7,-0.187400893758109
6.7,26.1,11.8,86.3,5.6,9.6,90.5,28.8,15328,19.9,102495,80.8,17.4,161200,92526,2.74,25045,55095,8.7,5748,90843,-15.7,15832,2367832,9149,277197,434,1243575,563.47,468.2,9.66144935007828
6.8,23.5,14.9,79.1,4.2,9.1,89.1,25.4,14641,20.6,62644,72.3,14.8,221000,57123,2.44,27067,52067,12.4,4816,53464,23.3,10854,2389507,17279,268843,408,1008256,3328.97,44.1,20.7656604622316
5.3,18.6,16.5,88.4,3.9,6.5,79.9,14.7,1673,25.7,6632,77.2,4.4,127600,5233,2.66,19647,41359,18.7,262,1789,10.4,977,88713,6403,7035,21,151699,598.1,24.7,12.593997696633
6.2,21.4,22.2,89.3,1.6,2.8,85.8,18.1,592,20.6,3324,78.4,11.9,102700,2663,2.21,23233,41697,12,208,1581,12.1,526,56392,9421,NA,2,81202,548.16,11,-4.50315719508142
6,23.3,14.6,86.1,2,4.1,90.6,19.9,4838,26.7,26137,75.5,17.4,177500,22945,2.38,26993,55910,8.7,1408,19605,7.6,3527,631312,11465,164208,102,466252,765.53,74.2,7.68039695247479
5.5,22.5,20.1,85.3,1.3,3.4,85.3,14.8,1579,22,8883,76.1,9.2,110200,6660,2.19,20573,38352,16.4,312,4075,-7,1049,198374,13756,NA,50,128909,913.59,16.2,-4.01219925449
6.9,24.9,11.6,85.1,5.2,9.5,90,25.6,17974,18.2,104371,66.6,29.6,159100,96937,2.44,26816,52553,10.3,6447,133583,1.3,11347,3538353,14551,464616,988,1413339,529.71,468.2,8.55983903680138
