"song","artist","old","young","solo","key","energy","liveness","tempo","speechiness","acousticness","instrumentalness.","mode","time_signature","duration","loudness","valence","danceability","genre"
"Suit & Tie","Justin Timberlake Featuring Jay-Z",1969,1981,"N",2,0.297756,0.16205,101.999,0.233817,0.05041,0.00014,1,4,218.93179,-16.859,0.357449,0.760302,"RBHipHop"
"Do What U Want","Lady Gaga Featuring R Kelly",1967,1986,"N",6,0.487946,0.115559,100.419,0.055715,0.337875,4.2e-05,0,4,217.25995,-16.39,0.640111,0.768401,"ElectroClub"
"I Love It","Icona Pop Featuring Charli XCX",1986,1992,"N",1,0.973775,0.154679,128.017,0.160359,0.058585,0.667725,1,4,212.59955,-4.564,0.39502,0.776174,"ElectroClub"
"Scream & Shout","will.i.am Featuring Britney Spears",1975,1981,"N",5,0.628568,0.136173,130.025,0.059061,0.041385,0.000113,1,4,283.05288,-7.622,0.487059,0.778856,"ElectroClub"
"Just Give Me A Reason","P!nk Featuring Nate Ruess",1979,1982,"N",2,0.574623,0.133738,95.014,0.050414,0.413799,0.001062,1,4,241.81215,-7.27,0.426815,0.785145,"Pop"
"The Monster","Eminem Featuring Rihanna",1972,1988,"N",9,0.850092,0.109841,110.023,0.076781,0.051672,0,1,4,250.18821,-3.891,0.539891,0.786232,"RBHipHop"
"Cups","Anna Kendrick",1985,1985,"Y",0,0.297808,0.087121,132.584,0.070655,0.041246,0.001186,1,4,115.43465,-20.502,0.607433,0.792939,"Pop"
"Get Lucky","Daft Punk Featuring Pharrell Williams",1973,1975,"N",6,0.77789,0.122146,116.076,0.039892,0.056047,1e-06,0,4,239.90621,-9.334,0.812643,0.805277,"ElectroClub"
"Blurred Lines","Robin Thicke Featuring T.I. & Pharrell",1973,1980,"N",7,0.335597,0.051082,119.985,0.067942,0.009258,6.3e-05,1,4,273.21556,-13.722,0.889898,0.853794,"RBHipHop"
"Don't Stop The Party","Pitbull Featuring TJR",1981,NA,"N",7,0.74847,0.064299,126.996,0.325442,0.002133,0.701887,1,4,226.82621,-6.032,0.668402,0.906266,"ElectroClub"
"#thatPOWER","will.i.am Featuring Justin Bieber",1975,1994,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pop"
