"artist_name","track_id","track_name","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","mode","speechiness","tempo","valence","popularity","time_signature_4"
"03 Greedo","5S7sYmqld8OondnB5b5lSf","Ballin' (feat. Ketchy The Great)",0.00846,0.694,170980,0.487,0,0.668,-9.562,1,0.364,153.003,0.56,27,TRUE
"03 Greedo","0hihLCB6tescIIqSjujfa1","Beat That Thang Down (feat. PNB Rock)",0.489,0.693,231654,0.546,0,0.135,-10.93,0,0.178,97.003,0.493,48,TRUE
"03 Greedo","1dOlBYd9p7MC2BAvWzP4zb","Substance",0.258,0.599,219834,0.32,0,0.106,-13.716,0,0.0787,70.996,0.197,37,TRUE
"100Gang","4qyYHQ64wMT1MeYvwhRiYA","Bravo",0.463,0.708,184110,0.837,0.000179,0.284,-4.676,1,0.306,146.052,0.36,4,TRUE
"1017 Eskimo","5vvywnxnRXLsOtl4u8nPZt","Yeah Yeah (feat. Gucci Mane)",0.108,0.848,210528,0.415,0,0.424,-7.938,1,0.13,131.086,0.28,39,TRUE
"10Digits","1d2wRspRMZyPafFuytdIME","Feeling (feat. ShaqIsDope, Joshua Ledet & Jordan Alexander)",0.17,0.672,220608,0.757,1.72e-06,0.141,-5.704,0,0.094,159.978,0.358,37,TRUE
"12AM","4DWAHr9Oi1y9Mgvc6o2IcF","The Woods",0.0507,0.556,237851,0.497,1.09e-05,0.28,-8.461,1,0.0444,81.649,0.137,37,TRUE
"17 Memphis","08tNRxmbv1WuFN0pH0sWk4","Stay",0.0305,0.606,197647,0.636,0.000383,0.119,-5.471,0,0.0285,119.015,0.428,10,TRUE
"17 Memphis","0ZRNKkm3od27Ok8WW8qhV3","Drink To That",0.392,0.642,177624,0.763,4.27e-06,0.225,-5.329,1,0.0419,100.953,0.657,25,TRUE
"17 Memphis","3Wd8BltiiKvHNOdVxNkL1W","Millionaire",0.418,0.624,156667,0.63,0,0.112,-5.129,1,0.0312,107.953,0.388,14,TRUE
"1788-L","6xpBvLjxIKYY35Mws966OW","Replica",0.000709,0.454,196415,0.813,0.469,0.207,-3.313,1,0.0898,198.048,0.083,31,TRUE
"1Kilo","7uSH5eusNiDd3WMMjDbf3C","Quando Me Chama",0.0139,0.685,180689,0.619,0,0.0931,-8.233,0,0.0384,114.871,0.502,45,TRUE
"1st Lady","0adkJ5UfJzwd3zD1LS7bE2","Missing You",0.452,0.845,259605,0.16,2.06e-05,0.0535,-15.06,1,0.133,74.159,0.253,39,TRUE
"2 Eleven","2UVqKpulpO9VgCzGhVfbrW","Tricky (feat. Sean Mackk & Rucci)",0.191,0.804,183120,0.746,0,0.196,-5.304,1,0.265,105.021,0.318,7,TRUE
"2 Mello","373Gvk4FxOWOiNUh6sHtut","Say Somethin'",0.401,0.758,205714,0.641,3.93e-05,0.0989,-7.965,1,0.225,97.966,0.714,28,TRUE
"2 Mello","0IGYG2hEkMOq7TfJaqf0YB","Getaway",0.0127,0.752,191674,0.688,0.584,0.26,-7.513,0,0.0391,143.01,0.67,19,TRUE
"22/7","44hSoEQrMnzCXX7TzsfvD0","Shampoo No Nioigashita",0.343,0.462,268880,0.934,0,0.0607,-3.567,1,0.0798,76.507,0.535,25,TRUE
"23:59","77cEYqADl51xvjnxexgHAO","Overseas",0.406,0.854,186387,0.59,1.44e-05,0.11,-10.871,0,0.231,159.994,0.812,4,TRUE
"2BiC","2q3nY6VeD4R3ZwXDa8KjbA","I have something to do",0.334,0.475,319240,0.616,0,0.102,-4.667,1,0.0396,135.736,0.147,28,TRUE
"3LAU","77u5roni7RXL2A73HJR1HO","Ultraviolet",0.00028,0.486,92500,0.812,0.0224,0.22,-5.329,1,0.0284,129.942,0.0396,41,TRUE
"3TEETH","0QVR1JB0Qmn3ACQlO4jmxH","Lights Out",0.00143,0.477,255773,0.988,0.123,0.773,-3.539,1,0.172,135.935,0.147,33,TRUE
"3zer Eban","6EEpBL7o4TLn9KOgB84Sg7","Before Starting",0.0574,0.561,284917,0.363,0.00162,0.258,-19.048,1,0.0365,177.805,0.762,23,TRUE
"4 eYe","53ZNDrvspeBcB3lTtJNnmQ","Midiscape (GDJB Mar 29 2018)",0.0227,0.492,203063,0.676,5.94e-05,0.809,-10.014,0,0.0724,128.425,0.334,2,TRUE
"4 x 4","2FkqtnxW80VPzpSvXxbfgY","Me & You",0.252,0.696,144065,0.764,0.784,0.139,-9.246,0,0.0657,120.048,0.77,27,TRUE
"4ternity","7ldfgGY5B9ghujxJmVr7e8","Bag Alert",0.00141,0.704,167300,0.642,0,0.101,-7.896,1,0.073,150.084,0.866,54,TRUE
"5 Seconds of Summer","22E7Q49XIMotIXsxgsHBBD","Want You Back - Acoustic",0.0332,0.611,159776,0.663,0,0.133,-5.573,1,0.0316,97.084,0.89,53,TRUE
"5 Seconds of Summer","2vIzH4NfFGoJHA5rn1dFWT","Youngblood - R3HAB Remix",0.0312,0.425,150528,0.771,0,0.165,-4.293,0,0.0629,142.034,0.213,63,TRUE
"5 Seconds of Summer","55S2PQgSMYAhgoTCcGCDfw","Youngblood",0.0169,0.596,203418,0.854,0,0.124,-5.114,0,0.463,120.274,0.152,85,TRUE
"51","6JxO2BzE1MzD4PiQrP37Kr","Vibes",0.345,0.484,209986,0.575,0,0.111,-7.126,0,0.0717,79.283,0.242,13,TRUE
"550","0WHlxwjFBiSppAuJZOHUxg","No Radar (feat. 21 Savage)",0.00119,0.883,180924,0.41,0.0176,0.11,-9.175,1,0.328,139.927,0.215,11,TRUE
"582 Music","7kjao9CWS9oWY78W6PWH3r","Luvin'",0.265,0.817,231706,0.452,0,0.107,-6.327,0,0.124,93.051,0.722,44,TRUE
"5Lan","4JZ6SfkL4oHfB52Usjm53Z","Hold Me Tight",0.396,0.569,313913,0.765,0.000273,0.172,-5.926,1,0.0358,171.915,0.509,25,TRUE
"6ix9ine","27oFpFktCq9JIXjJQRuv7a","GOTTI",0.0524,0.728,166852,0.584,0,0.0658,-7.255,0,0.176,161.9,0.365,79,TRUE
"6ix9ine","2E124GmJRnBJuXbTb4cPUB","FEFE (feat. Nicki Minaj & Murda Beatz)",0.088,0.931,179405,0.387,0,0.136,-9.127,1,0.412,125.978,0.376,90,TRUE
"6LACK","6rJmWa5DvQ3Nby3tdcX2L0","East Atlanta Love Letter (feat. Future)",0.367,0.6,246088,0.304,5.93e-06,0.0864,-11.969,0,0.0915,61.579,0.17,74,TRUE
"6LACK","0CIGZEXjZ8L52lOrqUljJt","Let Her Go",0.586,0.758,177172,0.62,7.8e-05,0.187,-7.079,0,0.0846,156.017,0.404,71,TRUE
"6LACK","2TRAOLPQMvFM7kq8MHyizc","Switch - DEVAULT Remix",0.0253,0.347,229481,0.836,5.7e-05,0.305,-6.144,0,0.363,86.397,0.137,62,TRUE
"7 Hills Worship","2MFZRcU5V6RdMJ0DuQQNth","Universe in Unison (Live)",0.12,0.423,317547,0.621,0,0.701,-7.913,1,0.0415,139.728,0.151,7,TRUE
"70niggeh","25Zzq784mfAZ7EaoeCXsys","The Color Green",0.898,0.498,162194,0.693,0.00329,0.0806,-12.794,1,0.583,75.989,0.295,16,FALSE
"7ARI","2sndxjRzHHek6quRIgVF52","Opla",0.258,0.742,188287,0.668,0,0.104,-5.982,1,0.434,135.089,0.593,36,TRUE
"7j2music","4JZkJVBZH2PE0typUqzN9F","Welcome to Loud City",0.262,0.825,230191,0.51,0.000651,0.0575,-5.838,1,0.0557,117.074,0.318,1,TRUE
"7j2music","59JeX6N0kfnzKi016LC9LW","So Easy",0.116,0.843,191060,0.217,0.0109,0.0854,-10.062,0,0.2,93.031,0.0396,1,TRUE
"7liwa","40kCuwvYw5SCX7njHnKfhe","Nari",0.306,0.798,202710,0.565,0,0.0641,-9.814,0,0.359,148.953,0.612,1,TRUE
"7waves","3qrjfRUGLwGmacHDzDN8jW","Soul Wo",0.81,0.513,110424,0.178,0.87,0.111,-19.985,0,0.0968,133.992,0.408,17,TRUE
"8.0.Ace","7sZ6RLNOns9oShNlw00yyr","Apocalypse (feat. Demetree & Endo)",0.0157,0.65,222842,0.846,1.09e-05,0.174,-4.28,1,0.298,73.505,0.494,8,TRUE
"88GLAM","5sYVMe8UqJnZ0q1bPwAMQH","Ice On My Leash",0.411,0.762,184110,0.656,0,0.104,-6.453,0,0.269,145.918,0.703,51,TRUE
"88GLAM","0gug4OpbNYLVXrFvtDWnxv","Blue Faces",0.36,0.77,169640,0.455,0,0.0794,-6.246,1,0.0651,146.907,0.444,58,TRUE
"88GLAM","2Rkhxx8afqkb93AwIAMbJN","Snow Globe",0.131,0.682,171773,0.595,0,0.178,-5.91,1,0.0664,73.017,0.408,56,TRUE
"88rising","3CPVEod8rIrAxE9EfqDS5P","Midsummer Madness (feat. Joji, Rich Brian, Higher Brothers & AUGUST 08) - KRANE Remix",0.499,0.637,238889,0.644,0,0.0772,-6.543,0,0.0407,107.865,0.207,45,TRUE
"88rising","5qZIrB9CjgKdMspTFkUbNt","Beam (feat. Playboi Carti)",0.0123,0.802,151073,0.659,0.0095,0.136,-5.927,0,0.127,152.969,0.471,55,TRUE
"90sFlav","1X3TaGYYFskN1Lpi7ERf76","Wish You Still Felt This Way",0.0991,0.771,146553,0.307,0.778,0.0984,-14.322,1,0.042,147.607,0.459,48,TRUE
"93FEETOFSMOKE","7wlioCEsgbxsZ0MFSQQoDJ","stfugafm",0.0341,0.491,90122,0.571,0,0.371,-8.262,1,0.0386,96.001,0.187,28,TRUE
"93FEETOFSMOKE","0Yzo6icKU2JqO7Gezpf76a","Fucked",0.515,0.788,160366,0.653,0,0.167,-5.443,1,0.225,120.141,0.367,23,TRUE
"94stones","08d8Mjs4VR0TERF835XN0r","Ginyu Force Theme",0.00026,0.53,153125,0.796,0.79,0.108,-9.214,0,0.0404,94.986,0.554,25,TRUE
"A Boogie Wit da Hoodie","4N2LDS9zl0352gF1R73fBR","Nonchalant (feat. Alkaline)",0.716,0.546,188752,0.608,0,0.112,-4.542,0,0.333,182.104,0.493,54,TRUE
"A Ghost Named Nico","62yH2HYTSjDscVXcdcbZIT","Stone Cold",0.457,0.788,266000,0.428,1.42e-05,0.149,-9.295,1,0.0727,112.014,0.167,8,TRUE
"A Hawk And A Hacksaw","2KidQxwjXJBzRZGyI8XAeB","Night Sneaker",0.287,0.561,98293,0.592,0.000418,0.21,-7.282,1,0.0401,109.779,0.659,11,TRUE
"A Lot Like Birds","1enuBcFCI6x9hn1mxJ4vB1","For Shelley (Unheard) [Cadence Remix]",0.0304,0.664,219000,0.688,1.37e-05,0.126,-6.528,1,0.0623,95.045,0.241,29,TRUE
"A One","0BKy8au3ojKNpxpOqssThc","A One",0.511,0.547,132000,0.697,0,0.206,-12.011,0,0.385,176.308,0.914,26,TRUE
"A Perfect Circle","5R4Ab6YztgNL2rECssnwwQ","DLB",0.887,0.533,126747,0.183,0.843,0.11,-17.144,1,0.0369,88.121,0.117,48,TRUE
"A Perfect Circle","1gv7dUAsupITkccwEqkJqM","By And Down The River",0.0012,0.212,304907,0.641,0.104,0.119,-5.453,0,0.036,91.569,0.049,53,FALSE
"A Place To Bury Strangers","1RRxy0zTQyCsTsOTfFL2lN","Too Tough to Kill",0.000509,0.41,127819,0.981,0.334,0.287,-4.128,0,0.156,107.453,0.183,23,TRUE
"A Place To Bury Strangers","3KTHQ6iUv9rQ8zs3j7xJN4","Act Your Age",2.59e-05,0.231,118471,0.929,0.0102,0.46,-5.204,1,0.0519,150.07,0.293,21,TRUE
"A Place To Bury Strangers","5LXH3Vqkjn7potW7fazIEH","Delusion of Time",0.000651,0.518,204968,0.919,0.874,0.0952,-9.395,1,0.0713,94.568,0.15,9,TRUE
"A Scent Like Wolves","5IKC3hmV4J9fkiMzc7pzQH","Rain Dancer",0.00162,0.466,246273,0.866,0.000134,0.088,-6.52,0,0.0547,110.087,0.133,13,TRUE
"a-ha","1TpXVpO0K5JGfr31gBGcfh","Stay On These Roads",0.0329,0.572,284053,0.51,0.103,0.163,-9.99,1,0.0308,103.973,0.188,7,TRUE
"A-P-M Productions","5KpSh7iXnp1K26MSLbT2pR","Prelude No. 15 - Original mix",0.989,0.484,304637,0.231,0.944,0.109,-13.54,1,0.0366,71.6,0.0713,6,TRUE
"A.M. Clinthorne","6i5hk8MpUjphcx6whnx1XY","You Are Made from an Extraordinary Assemblage of Appendages",0.97,0.188,180004,0.532,0.941,0.429,-19.595,1,0.0376,75.418,0.202,16,TRUE
"a.mond","6TDynqnky5jXgOEchsWGUT","Good Boy Syndrome",0.515,0.462,234531,0.724,1.07e-06,0.121,-4.682,1,0.323,82.739,0.36,18,TRUE
"A$AP ANT","5SUmeOfkzaL3LAlUeNNtbC","Finances Remix",0.361,0.771,227901,0.505,0,0.33,-12.059,1,0.276,144.958,0.607,26,TRUE
"A$AP ANT","5ENqGAYKikPVvjVIDma9rs","High Definition",0.0697,0.896,138069,0.325,0.000182,0.0808,-14.896,0,0.169,125.011,0.297,26,TRUE
"A$AP ANT","46kH9HQ8bqHLgZtKta2GdX","Bake a Cake",0.123,0.815,139086,0.171,0.000334,0.0989,-16.77,1,0.379,144.919,0.231,27,TRUE
"A$AP ANT","2ls8dJpxbjCQghyAwfWCnl","3ninja$",0.515,0.791,97698,0.515,0,0.108,-9.935,1,0.335,72.369,0.698,29,TRUE
"A$AP Rocky","57q6BgYP4gN6hPQViCB3um","Distorted Records",0.137,0.655,140133,0.869,2.36e-05,0.312,-4.344,0,0.212,135.763,0.0815,62,TRUE
"A$AP Rocky","5TX0mfUkpGlU6j2xa00ERx","OG Beeper",0.121,0.91,155893,0.477,0,0.305,-5.259,1,0.418,145.994,0.313,62,TRUE
"A$AP Rocky","7ycWLEP1GsNjVvcjawXz3z","Praise The Lord (Da Shine)",0.0609,0.85,205040,0.569,0.0816,0.1,-8.152,0,0.136,80.02,0.294,86,TRUE
"A1ne da General","23Gq0GewFyxvgaAExFBjpm","Old Skool Now",0.441,0.417,135420,0.525,0,0.372,-8.926,1,0.19,142.558,0.629,28,TRUE
"A3rebeatz","51J0Gp8DM1CY6QXK2ou01c","Shirin David",0.0033,0.689,61571,0.558,0.94,0.118,-7.669,0,0.0582,164.003,0.651,11,TRUE
"Aair","2Cl57cd1XuO9DW1ByR3jyD","My One and Only",0.746,0.716,75234,0.434,0.0111,0.134,-10.18,0,0.383,61.116,0.56,37,TRUE
"Aair","2rdf8I7UJxvDmFh7RWYDON","Brave Enough",0.885,0.419,83553,0.107,0.000605,0.15,-19.87,0,0.0811,82.113,0.0524,15,TRUE
"Aamir","51rOCbKhhjoYnJ5qX3Wzsa","Open",0.67,0.762,188397,0.417,0.0072,0.107,-9.666,0,0.0328,121.964,0.133,15,TRUE
"Aaron Copland","0rnoulhD1UvQsEUzWbaICN","Symphony No. 1: II. Scherzo. Molto allegro",0.948,0.377,443320,0.0528,0.816,0.025,-24.571,0,0.0571,106.732,0.0396,10,TRUE
"Aaron Copland","3izRJ7nvHjCFBjI3ZuozOx","Symphony No. 1: I. Prelude. Andante",0.958,0.0757,299520,0.00651,0.394,0.0926,-33.264,0,0.0451,80.006,0.0301,10,TRUE
"Abdi","2PkqKJNQ6UaiJwzydej6Pu","Copy Paste 1991",0.0334,0.849,218125,0.818,0.0638,0.0361,-7.25,0,0.0498,98.011,0.621,22,TRUE
"Abhi The Nomad","1caLffCBOYy7xJFvt8LBkm","Headcase",0.205,0.746,264750,0.836,2.11e-05,0.184,-5.178,0,0.0455,126.966,0.651,33,TRUE
"Abigail Barlow","08DmNHnggg2KNrJUG8yEvP","Fade",0.262,0.542,186000,0.376,0,0.0665,-8.842,1,0.208,71.08,0.216,9,FALSE
"Abir","24jrwTJSlYOCguuLa4j28A","Tango",0.2,0.53,186056,0.519,0,0.112,-5.998,0,0.224,144.993,0.462,51,TRUE
"Above & Beyond","2rIN6VKGpMT4puezCGLcKH","Group Therapy (Messages Pt. 3) [ABGT277]",0.0302,0.502,66979,0.813,0,0.264,-8.593,0,0.436,126.264,0.74,5,FALSE
"Above & Beyond","2ASxDnkmgEQr5taGuqi44N","Group Therapy (Messages Pt. 4) [ABGT272]",0.0123,0.578,61617,0.832,0,0.143,-8.217,1,0.257,121.512,0.531,4,FALSE
"Above & Beyond","6IAdt4Q1dhRFYn0pQNpdGy","Group Therapy Intro (ABGT273)",0.198,0.417,30937,0.683,0.000889,0.515,-10.68,0,0.37,120.191,0.547,3,FALSE
"Above & Beyond","7c7D19p7q47YWpc3U5Ja8x","Group Therapy (Messages Pt. 1) [ABGT269]",0.47,0.633,38667,0.857,0,0.362,-9.168,0,0.386,128.619,0.96,3,TRUE
"Above & Beyond","1UStlxlnVwVRaPinLcjftX","Group Therapy (Messages Pt. 4) [ABGT277]",0.137,0.619,54000,0.741,0,0.414,-8.581,0,0.382,128.485,0.847,4,FALSE
"Above & Beyond","61xPOa7Zu1Xi0MitaHFoH6","Group Therapy (Messages Pt. 7) [ABGT275]",0.00337,0.495,37125,0.855,1.93e-06,0.881,-9.178,1,0.232,124.799,0.632,3,TRUE
"Above & Beyond","5NRYZLbGxOeNLYldbqhVX4","Group Therapy (Messages Pt. 4) [ABGT276]",0.0311,0.664,46184,0.785,0,0.299,-8.212,1,0.228,125.544,0.596,3,TRUE
"Above & Beyond","0ZVYdNceelP9i8ZPtGaUER","Happiness Amplified (ABGT269)",0.0163,0.496,261878,0.587,4.37e-05,0.119,-10.066,1,0.0451,125.974,0.0761,10,TRUE
"Above & Beyond","0X2sc95uuQRPbMLbPZ2aOv","Naked",0.0645,0.639,323600,0.647,0.00296,0.152,-9.547,1,0.0328,126.011,0.163,46,TRUE
"Above & Beyond","5QYgFjJXKw6VLH8lEVA2nu","Group Therapy (Messages Pt. 5) [ABGT278]",0.0449,0.598,56066,0.694,0,0.186,-10.516,0,0.326,121.482,0.892,7,FALSE
"Above & Beyond","2KRZPVTAjgpC7ZgGFNl7qH","My Own Hymn - ALPHA 9 Remix",0.0077,0.534,249375,0.906,0.029,0.184,-3.659,1,0.0814,127.988,0.155,28,TRUE
"Above & Beyond","3hAI5Rjs3oiqO1bqEjq1d8","Long Way From Home (ABGT300)",0.000368,0.654,286802,0.794,0.876,0.0777,-10.627,0,0.0631,126.954,0.177,47,TRUE
"Above & Beyond","4BrhhtCJDH5YJRv250xuFB","Group Therapy (Messages Pt. 3) [ABGT278]",0.038,0.729,60692,0.697,0,0.0542,-9.894,1,0.363,124.133,0.616,7,FALSE
"Above & Beyond","7LF0rE3DJVxXQwTRnARPpV","Is It Love (1001)",0.403,0.599,120000,0.688,0.918,0.137,-9.698,0,0.0302,124.01,0.498,23,TRUE
"Above & Beyond","7AltbIfr8IHTv4wUBc1CI8","On My Way To Heaven - Live At The Hollywood Bowl",0.567,0.378,319693,0.482,0.00153,0.94,-9.578,0,0.0311,133.844,0.112,30,TRUE
"Abtlastnite","4AfOTII9m2fZbJYrgv4V8i","BaeGod",0.00606,0.881,176666,0.416,0,0.237,-12.148,1,0.328,120.125,0.271,22,TRUE
"AC Slater","2WvjC21t02150lqjukJieT","Another You - Jack Beats Remix",0.248,0.707,347000,0.569,0.306,0.111,-9.349,0,0.0441,124.972,0.425,17,TRUE
"AC.jR & BradyJames","6UYxRyW5wi0azUqUMHGizS","Perfect People",0.594,0.634,238500,0.648,0,0.0415,-4.083,1,0.0417,79.939,0.456,24,TRUE
"ACADEMY","3s5NngNavqGS5Tki3Iogje","Jordan Jump",0.0309,0.689,182769,0.812,8.52e-05,0.31,-3.902,0,0.0738,130.112,0.721,18,TRUE
"Acapulco Tropical","2WaSEptn8D7e3JjHwwpupZ","Candela Verde",0.558,0.819,171893,0.757,0.0022,0.0344,-5.164,1,0.0392,140.961,0.984,18,TRUE
"Acapulco Tropical","0YDFYuB78w90KVR27038Hi","Copitas De Mezcal",0.591,0.783,191320,0.566,0.000123,0.0799,-7.406,1,0.0398,97.46,0.969,19,TRUE
"ACC Worship","1naixt4khBrqTb0oyh2KuK","Desperate Soul",0.147,0.537,259250,0.358,2.81e-05,0.084,-8.056,1,0.0256,135.934,0.139,19,FALSE
"Accacia","67swwcoGPHtQs4HHE0kF8c","Love and Light",0.668,0.61,179657,0.543,0.247,0.217,-12.867,1,0.064,60.001,0.644,15,TRUE
"Ace Amin","71k1FxiK1PmzCsRd8bV7Nk","Punctuation",0.0295,0.708,311458,0.678,0,0.0974,-7.459,0,0.211,119.835,0.186,1,TRUE
"Ace Boogy","1RXUlKoto2FqopDdacadW1","In the Air",0.67,0.642,319634,0.463,0,0.0964,-8.862,1,0.0841,94.027,0.046,13,TRUE
"Ace da Long-Way","6xM9oyxkO6risgEj9jg6Pi","Bad Dreams",0.073,0.674,279041,0.67,0,0.227,-9.187,0,0.28,136.107,0.66,10,TRUE
"Ace Hood","6wIPz8pe0HOacDSoML8Dvm","Uber",0.398,0.828,208875,0.392,0,0.115,-7.903,0,0.331,130.972,0.206,35,TRUE
"Ace Hood","2X9NGlMqRdYFxNTARAXWd7","Element",0.538,0.724,187373,0.505,0,0.0782,-6.008,0,0.229,102.567,0.224,35,TRUE
"Acid Dad","6n7sjekLeemlF15XK3yiRo","Dissin'",0.0313,0.49,269858,0.663,0.881,0.132,-5.858,1,0.028,146.112,0.343,17,TRUE
"Acid Dad","1OxOLJxEwkwn8ITvdeanfP","Bada Bing",0.0694,0.644,211765,0.755,0.126,0.248,-6.284,1,0.0301,119.129,0.898,17,TRUE
"ACOT","7ogw16se7hyM8VgdSAPAEn","FUCKSHIT",0.681,0.746,109636,0.124,0.00814,0.15,-17.283,1,0.515,125.063,0.225,25,TRUE
"Acres","7A3DQJUoQSAPzgqn3dcwpD","You",0.926,0.295,104816,0.087,0.00682,0.126,-21.165,1,0.0433,45.378,0.243,5,TRUE
"Action Bronson","4u2GWPNC7mu01Qg5i8FwSU","Ring Ring (feat. Big Body Bes)",0.367,0.789,141516,0.912,0,0.0977,-4.256,0,0.357,139.676,0.809,52,TRUE
"Action Bronson","6OF2k6azWK2P5mEZx5ML1O","Picasso's Ear",0.572,0.506,113023,0.759,0,0.494,-5.527,0,0.277,136.549,0.891,53,TRUE
"ACTORS","0USzpwZZIeqWC4cQUf18ck","We Don't Have to Dance",3.53e-05,0.561,243500,0.765,0.874,0.088,-6.424,1,0.029,137.986,0.561,28,TRUE
"Adad","5DlPJMIn8kqD4lyeIeEwSo","Danger Us (feat. Yaw)",0.409,0.726,229746,0.588,0.00579,0.0836,-10.418,0,0.137,124.965,0.775,7,TRUE
"Adam Calhoun","314PLuaOXh1zoqLrox9jmp","Life Goes On",0.154,0.698,191241,0.587,0,0.0962,-7.837,0,0.107,145.985,0.215,49,TRUE
"Adam Calhoun","6Z1yspGrZohZd6zdNcpnkx","Huck Fosier",0.0172,0.705,161656,0.777,0,0.382,-6.899,0,0.204,130.023,0.44,52,TRUE
"Adam Christopher","0LgeaAeHfkaxn59nF9jGdG","Candy Paint - Acoustic",0.497,0.623,225000,0.524,0,0.0874,-6.881,1,0.0329,90.009,0.792,35,TRUE
"Adam Elara","4cr8gdfMhLL6JrKdoJ0HRc","How It Feels to Love",0.0183,0.505,233143,0.88,4.12e-05,0.503,-4.027,0,0.0585,140.026,0.455,12,TRUE
"Adam Elara","2FCbURDrs991kKqsrDynAe","Lullaby",0.00366,0.497,194681,0.592,0,0.197,-10.316,1,0.0316,89.922,0.241,12,TRUE
"Adam Hawley","5S6EHC45If9NSN5jIHVzP1","Just Dance (feat. Dave Koz)",0.149,0.763,263493,0.701,0.584,0.0935,-6.324,1,0.0283,99.037,0.737,27,TRUE
"Adam Jones","4HfJTAR2lu5k15W6DOfe7t","Forever",0.00137,0.726,183432,0.307,0.476,0.119,-12.301,1,0.162,130.964,0.323,1,TRUE
"Adam Lamb","4OcCWntH4ndBax3fh66JJW","Find My Way",0.14,0.656,178252,0.855,0,0.238,-1.634,1,0.129,102.891,0.729,14,TRUE
"Adam Martin","07FzL9SRRCJtGgSBJn02Po","Smile",0.296,0.689,186521,0.656,0,0.292,-5.678,0,0.0451,90.021,0.756,10,TRUE
"Adam Shulman Sextet","5XVNR4vepSud78jNlh3xSr","Yeah...So",0.861,0.624,324840,0.48,0.752,0.126,-9.087,1,0.0337,96.67,0.604,15,TRUE
"Adamn Killa","0tPQOrG4bqL9mnvlZudWj1","Nunya",0.332,0.744,160833,0.906,5.17e-06,0.124,-7.21,1,0.116,143.962,0.772,10,TRUE
"Adan Jodorowsky","03rNUiHq6XTkJjVkKN90eO","Amor De Día Y Noche",0.735,0.797,207293,0.668,0,0.109,-7.243,1,0.0429,135.985,0.883,29,TRUE
