"expedition_id","member_id","peak_id","peak_name","year","season","sex","age","citizenship","expedition_role","hired","highpoint_metres","success","solo","oxygen_used","died","death_cause","death_height_metres","injured","injury_type","injury_height_metres","count","height_metres","first_ascent_year"
"AMAD84401","AMAD84401-05","AMAD","Ama Dablam",1984,"Winter","M",28,"Japan","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD84401","AMAD84401-02","AMAD","Ama Dablam",1984,"Winter","M",33,"Japan","Deputy Leader",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD84401","AMAD84401-06","AMAD","Ama Dablam",1984,"Winter","M",27,"Japan","Climber",FALSE,6600,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD89102","AMAD89102-02","AMAD","Ama Dablam",1989,"Spring","M",41,"USA","Climber",FALSE,6460,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD89102","AMAD89102-01","AMAD","Ama Dablam",1989,"Spring","F",38,"USA","Leader",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD89102","AMAD89102-03","AMAD","Ama Dablam",1989,"Spring","M",42,"USA","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD89102","AMAD89102-05","AMAD","Ama Dablam",1989,"Spring","M",42,"UK","Climber",FALSE,6460,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD89102","AMAD89102-04","AMAD","Ama Dablam",1989,"Spring","M",29,"USA","Climber",FALSE,6460,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD89102","AMAD89102-06","AMAD","Ama Dablam",1989,"Spring","M",25,"USA","Climber",FALSE,6460,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD93304","AMAD93304-03","AMAD","Ama Dablam",1993,"Autumn","M",35,"Germany","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD93304","AMAD93304-04","AMAD","Ama Dablam",1993,"Autumn","M",33,"Germany","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD93304","AMAD93304-05","AMAD","Ama Dablam",1993,"Autumn","M",52,"Germany","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD93304","AMAD93304-01","AMAD","Ama Dablam",1993,"Autumn","M",36,"Italy","Leader",FALSE,6814,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD93304","AMAD93304-06","AMAD","Ama Dablam",1993,"Autumn","M",27,"Germany","Climber",FALSE,6814,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"AMAD93304","AMAD93304-02","AMAD","Ama Dablam",1993,"Autumn","M",42,"Italy","Deputy Leader",FALSE,6814,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,6814,1961
"ANN179301","ANN179301-03","ANN1","Annapurna I",1979,"Autumn","M",41,"USA","Climber",FALSE,NA,FALSE,FALSE,FALSE,TRUE,"Avalanche",6500,FALSE,NA,NA,8,8091,1950
"ANN179301","ANN179301-04","ANN1","Annapurna I",1979,"Autumn","M",34,"USA","Exp Doctor",FALSE,7100,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,8,8091,1950
"ANN179301","ANN179301-02","ANN1","Annapurna I",1979,"Autumn","M",34,"USA","Deputy Leader",FALSE,NA,FALSE,FALSE,FALSE,TRUE,"Avalanche",6500,FALSE,NA,NA,8,8091,1950
"ANN179301","ANN179301-05","ANN1","Annapurna I",1979,"Autumn","M",40,"USA","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,8,8091,1950
"ANN179301","ANN179301-06","ANN1","Annapurna I",1979,"Autumn","M",25,"USA","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,8,8091,1950
"ANN179301","ANN179301-07","ANN1","Annapurna I",1979,"Autumn","M",33,"UK","Climber",FALSE,NA,FALSE,FALSE,FALSE,TRUE,"Avalanche",6500,FALSE,NA,NA,8,8091,1950
"ANN179301","ANN179301-08","ANN1","Annapurna I",1979,"Autumn","M",24,"USA","Climber",FALSE,7100,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,8,8091,1950
"ANN179301","ANN179301-01","ANN1","Annapurna I",1979,"Autumn","M",39,"USA","Leader",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,8,8091,1950
"ANN185401","ANN185401-03","ANN1","Annapurna I",1985,"Winter","M",47,"Bulgaria","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-04","ANN1","Annapurna I",1985,"Winter","M",34,"Bulgaria","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-01","ANN1","Annapurna I",1985,"Winter","M",34,"Bulgaria","Leader",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-05","ANN1","Annapurna I",1985,"Winter","M",24,"Bulgaria","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-07","ANN1","Annapurna I",1985,"Winter","M",30,"Bulgaria","Climber",FALSE,7300,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-06","ANN1","Annapurna I",1985,"Winter","M",28,"Bulgaria","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-08","ANN1","Annapurna I",1985,"Winter","M",51,"Bulgaria","Exp Doctor",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-09","ANN1","Annapurna I",1985,"Winter","M",28,"Bulgaria","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-10","ANN1","Annapurna I",1985,"Winter","M",29,"Bulgaria","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-11","ANN1","Annapurna I",1985,"Winter","M",36,"Bulgaria","Exp Doctor",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-12","ANN1","Annapurna I",1985,"Winter","M",43,"Bulgaria","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-13","ANN1","Annapurna I",1985,"Winter","M",32,"Bulgaria","Climber",FALSE,7300,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-16","ANN1","Annapurna I",1985,"Winter","M",34,"Bulgaria","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-14","ANN1","Annapurna I",1985,"Winter","M",26,"Bulgaria","Climber",FALSE,7300,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-15","ANN1","Annapurna I",1985,"Winter","M",26,"Bulgaria","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN185401","ANN185401-02","ANN1","Annapurna I",1985,"Winter","M",38,"Bulgaria","Deputy Leader",FALSE,7300,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,16,8091,1950
"ANN190101","ANN190101-03","ANN1","Annapurna I",1990,"Spring","M",28,"UK","Climber",FALSE,6500,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,8,8091,1950
"ANN190101","ANN190101-01","ANN1","Annapurna I",1990,"Spring","M",36,"UK","Leader",FALSE,6502,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,8,8091,1950
"ANN190101","ANN190101-02","ANN1","Annapurna I",1990,"Spring","M",36,"UK","Deputy Leader",FALSE,6500,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,8,8091,1950
"ANN190101","ANN190101-04","ANN1","Annapurna I",1990,"Spring","M",28,"New Zealand","Climber",FALSE,6502,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,8,8091,1950
"ANN190101","ANN190101-05","ANN1","Annapurna I",1990,"Spring","M",49,"USA","Climber",FALSE,6502,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,8,8091,1950
"ANN190101","ANN190101-06","ANN1","Annapurna I",1990,"Spring","M",35,"UK","Climber",FALSE,6500,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,8,8091,1950
"ANN190101","ANN190101-07","ANN1","Annapurna I",1990,"Spring","M",28,"UK","Climber",FALSE,6500,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,8,8091,1950
"ANN190101","ANN190101-08","ANN1","Annapurna I",1990,"Spring","M",33,"UK","Climber",FALSE,6502,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,8,8091,1950
"ANN193302","ANN193302-03","ANN1","Annapurna I",1993,"Autumn","M",30,"Spain","Climber",FALSE,6200,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,8091,1950
"ANN193302","ANN193302-04","ANN1","Annapurna I",1993,"Autumn","M",25,"Spain","Climber",FALSE,6200,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,8091,1950
"ANN193302","ANN193302-05","ANN1","Annapurna I",1993,"Autumn","M",28,"Spain","Climber",FALSE,6200,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,8091,1950
"ANN193302","ANN193302-06","ANN1","Annapurna I",1993,"Autumn","M",29,"Spain","Climber",FALSE,6200,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,8091,1950
"ANN193302","ANN193302-07","ANN1","Annapurna I",1993,"Autumn","M",32,"Spain","Exp Doctor",FALSE,6200,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,8091,1950
"ANN193302","ANN193302-08","ANN1","Annapurna I",1993,"Autumn","M",35,"Spain","Climber",FALSE,6200,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,8091,1950
"ANN193302","ANN193302-02","ANN1","Annapurna I",1993,"Autumn","M",33,"Spain","Deputy Leader",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,8091,1950
"ANN193302","ANN193302-09","ANN1","Annapurna I",1993,"Autumn","M",27,"Spain","Climber",FALSE,6200,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,8091,1950
"ANN193302","ANN193302-01","ANN1","Annapurna I",1993,"Autumn","M",26,"Spain","Leader",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,8091,1950
"ANN281302","ANN281302-01","ANN2","Annapurna II",1981,"Autumn","M",52,"Italy","Leader",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-03","ANN2","Annapurna II",1981,"Autumn","M",52,"Italy","Exp Doctor",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-04","ANN2","Annapurna II",1981,"Autumn","M",54,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-05","ANN2","Annapurna II",1981,"Autumn","M",32,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-06","ANN2","Annapurna II",1981,"Autumn","M",27,"Italy","Exp Doctor",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-02","ANN2","Annapurna II",1981,"Autumn","M",42,"Italy","Climbing Leader",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-07","ANN2","Annapurna II",1981,"Autumn","M",58,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-08","ANN2","Annapurna II",1981,"Autumn","M",54,"Italy","Radio Operator",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-09","ANN2","Annapurna II",1981,"Autumn","M",21,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-10","ANN2","Annapurna II",1981,"Autumn","M",35,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-11","ANN2","Annapurna II",1981,"Autumn","M",21,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-12","ANN2","Annapurna II",1981,"Autumn","M",30,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-13","ANN2","Annapurna II",1981,"Autumn","M",31,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-14","ANN2","Annapurna II",1981,"Autumn","M",40,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-15","ANN2","Annapurna II",1981,"Autumn","M",24,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-16","ANN2","Annapurna II",1981,"Autumn","M",38,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-17","ANN2","Annapurna II",1981,"Autumn","M",37,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-18","ANN2","Annapurna II",1981,"Autumn","M",31,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN281302","ANN281302-19","ANN2","Annapurna II",1981,"Autumn","M",38,"Italy","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,19,7937,1960
"ANN283302","ANN283302-04","ANN2","Annapurna II",1983,"Autumn","M",26,"S Korea","Climber",FALSE,7300,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,7937,1960
"ANN283302","ANN283302-03","ANN2","Annapurna II",1983,"Autumn","M",29,"S Korea","Photographer",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,7937,1960
"ANN283302","ANN283302-01","ANN2","Annapurna II",1983,"Autumn","M",29,"S Korea","Leader",FALSE,7300,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,"Exposure / frostbite",6800,6,7937,1960
"ANN283302","ANN283302-05","ANN2","Annapurna II",1983,"Autumn","M",24,"S Korea","Climber",FALSE,7300,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,7937,1960
"ANN283302","ANN283302-06","ANN2","Annapurna II",1983,"Autumn","M",30,"S Korea","Journalist",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,7937,1960
"ANN283302","ANN283302-02","ANN2","Annapurna II",1983,"Autumn","M",29,"S Korea","Deputy Leader",FALSE,7300,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,6,7937,1960
"ANN378301","ANN378301-03","ANN3","Annapurna III",1978,"Autumn","M",30,"USA","Exp Doctor",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,"Other",3960,14,7555,1961
"ANN378301","ANN378301-04","ANN3","Annapurna III",1978,"Autumn","M",36,"USA","Climber",FALSE,7200,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,14,7555,1961
"ANN378301","ANN378301-09","ANN3","Annapurna III",1978,"Autumn","M",31,"USA","Climber",FALSE,7200,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,14,7555,1961
"ANN378301","ANN378301-10","ANN3","Annapurna III",1978,"Autumn","M",29,"USA","Exp Photographer",FALSE,6035,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,14,7555,1961
"ANN378301","ANN378301-12","ANN3","Annapurna III",1978,"Autumn","M",31,"USA","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,14,7555,1961
"ANN378301","ANN378301-14","ANN3","Annapurna III",1978,"Autumn","M",22,"USA","Climber",FALSE,7200,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,14,7555,1961
"ANN378301","ANN378301-01","ANN3","Annapurna III",1978,"Autumn","M",23,"USA","Leader",FALSE,6035,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,14,7555,1961
"ANN378301","ANN378301-02","ANN3","Annapurna III",1978,"Autumn","M",18,"USA","Climber",FALSE,6035,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,14,7555,1961
"ANN378301","ANN378301-05","ANN3","Annapurna III",1978,"Autumn","F",28,"USA","Member",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,14,7555,1961
"ANN378301","ANN378301-06","ANN3","Annapurna III",1978,"Autumn","M",23,"USA","Member",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,14,7555,1961
"ANN378301","ANN378301-07","ANN3","Annapurna III",1978,"Autumn","M",19,"USA","Member",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,14,7555,1961
"ANN378301","ANN378301-08","ANN3","Annapurna III",1978,"Autumn","M",39,"UK","Member",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,14,7555,1961
"ANN378301","ANN378301-11","ANN3","Annapurna III",1978,"Autumn","F",37,"USA","Member",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,14,7555,1961
"ANN378301","ANN378301-13","ANN3","Annapurna III",1978,"Autumn","F",32,"USA","Member",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,14,7555,1961
"BARU92301","BARU92301-03","BARU","Baruntse",1992,"Autumn","M",44,"France","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU92301","BARU92301-04","BARU","Baruntse",1992,"Autumn","F",30,"France","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU92301","BARU92301-05","BARU","Baruntse",1992,"Autumn","M",41,"France","Exp Doctor",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU92301","BARU92301-06","BARU","Baruntse",1992,"Autumn","F",39,"France","Climber",FALSE,7152,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU92301","BARU92301-02","BARU","Baruntse",1992,"Autumn","M",28,"France","Deputy Leader",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU92301","BARU92301-07","BARU","Baruntse",1992,"Autumn","M",54,"France","Climber",FALSE,7152,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU92301","BARU92301-08","BARU","Baruntse",1992,"Autumn","M",38,"France","Climber",FALSE,7152,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU92301","BARU92301-09","BARU","Baruntse",1992,"Autumn","F",26,"France","Climber",FALSE,7152,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU92301","BARU92301-01","BARU","Baruntse",1992,"Autumn","M",41,"France","Leader",FALSE,7152,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU94301","BARU94301-02","BARU","Baruntse",1994,"Autumn","F",29,"USA","Climber",FALSE,6600,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,5,7152,1954
"BARU94301","BARU94301-03","BARU","Baruntse",1994,"Autumn","F",32,"USA","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,5,7152,1954
"BARU94301","BARU94301-04","BARU","Baruntse",1994,"Autumn","F",33,"USA","Climber",FALSE,5800,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,5,7152,1954
"BARU94301","BARU94301-01","BARU","Baruntse",1994,"Autumn","F",27,"USA","Leader",FALSE,6600,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,5,7152,1954
"BARU94301","BARU94301-05","BARU","Baruntse",1994,"Autumn","F",33,"USA","Climber",FALSE,6600,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,5,7152,1954
"BARU94307","BARU94307-02","BARU","Baruntse",1994,"Autumn","F",25,"France","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU94307","BARU94307-03","BARU","Baruntse",1994,"Autumn","M",41,"France","Climber",FALSE,6800,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU94307","BARU94307-04","BARU","Baruntse",1994,"Autumn","M",26,"France","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU94307","BARU94307-05","BARU","Baruntse",1994,"Autumn","M",42,"France","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU94307","BARU94307-06","BARU","Baruntse",1994,"Autumn","F",26,"France","Climber",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU94307","BARU94307-07","BARU","Baruntse",1994,"Autumn","M",34,"France","Climber",FALSE,6800,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU94307","BARU94307-08","BARU","Baruntse",1994,"Autumn","M",29,"France","Climber",FALSE,6800,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU94307","BARU94307-09","BARU","Baruntse",1994,"Autumn","F",29,"France","Climber",FALSE,6800,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BARU94307","BARU94307-01","BARU","Baruntse",1994,"Autumn","M",34,"France","Leader",FALSE,6800,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,9,7152,1954
"BHRI86101","BHRI86101-02","BHRI","Bhrikuti",1986,"Spring","M",38,"France","Exp Doctor",FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,12,6476,1982
