CapShape,CapSurface,CapColor,Bruised,Odor,GillSpace,GillSize,GillColor,StalkShape,StalkAboveRing,StalkBelowRing,Status,ColorAboveRing,ColorBelowRing,RingNumber,RingType,SporeColor,Population,Habitat
x,f,g,f,n,w,b,k,t,f,f,e,w,w,o,e,k,s,g
f,f,w,f,n,w,b,k,t,s,f,e,w,w,o,e,n,a,g
x,y,y,t,l,c,b,w,e,s,s,e,w,w,o,p,n,n,m
b,s,y,t,l,c,b,k,e,s,s,e,w,w,o,p,k,n,g
b,y,w,t,a,c,b,g,e,s,s,e,w,w,o,p,k,n,m
x,y,w,t,a,c,b,w,e,s,s,e,w,w,o,p,n,s,g
x,s,n,f,n,w,b,p,t,f,s,e,w,w,o,e,n,a,g
x,y,w,t,l,c,b,g,e,s,s,e,w,w,o,p,n,s,g
x,y,n,t,l,c,b,w,e,s,y,e,w,w,o,p,k,s,g
b,y,y,t,a,c,b,k,e,s,s,e,w,w,o,p,n,n,g
x,y,w,t,a,c,b,k,e,s,s,e,w,w,o,p,n,n,g
b,y,w,t,a,c,b,n,e,s,s,e,w,w,o,p,k,s,m
b,s,y,t,a,c,b,g,e,s,s,e,w,w,o,p,k,s,g
b,s,y,t,l,c,b,g,e,s,s,e,w,w,o,p,k,s,m
b,y,y,t,a,c,b,n,e,s,s,e,w,w,o,p,k,n,g
x,f,n,f,n,c,n,k,e,s,s,e,w,w,o,p,n,y,u
f,y,n,t,l,c,b,n,e,s,y,e,w,w,o,p,n,y,g
x,y,w,t,a,c,b,k,e,s,s,e,w,w,o,p,n,s,g
f,y,y,t,l,c,b,w,e,s,y,e,w,w,o,p,n,y,p
b,s,w,t,a,c,b,w,e,s,s,e,w,w,o,p,n,s,g
b,s,w,t,a,c,b,w,e,s,s,e,w,w,o,p,k,s,m
x,y,n,t,l,c,b,w,e,s,y,e,w,w,o,p,k,y,g
b,s,w,t,a,c,b,k,e,s,s,e,w,w,o,p,k,s,g
x,f,g,f,n,c,n,g,e,s,s,e,w,w,o,p,n,y,u
b,s,y,t,l,c,b,k,e,s,s,e,w,w,o,p,n,s,g
b,y,y,t,a,c,b,w,e,s,s,e,w,w,o,p,k,s,g
f,y,y,t,l,c,b,p,e,s,y,e,w,w,o,p,n,s,g
b,y,w,t,l,c,b,w,e,s,s,e,w,w,o,p,k,n,m
b,y,w,t,a,c,b,k,e,s,s,e,w,w,o,p,k,n,m
b,y,y,t,a,c,b,g,e,s,s,e,w,w,o,p,n,s,g
x,y,y,t,l,c,b,g,e,s,s,e,w,w,o,p,n,n,m
b,s,y,t,l,c,b,g,e,s,s,e,w,w,o,p,n,n,g
x,y,w,t,p,c,n,p,e,s,s,p,w,w,o,p,n,v,u
f,f,n,f,n,c,n,g,e,s,s,e,w,w,o,p,k,v,u
x,s,y,t,a,c,b,g,e,s,s,e,w,w,o,p,n,s,m
f,y,n,t,a,c,b,p,e,s,y,e,w,w,o,p,k,s,p
x,y,w,t,p,c,n,k,e,s,s,p,w,w,o,p,k,s,g
b,s,w,t,l,c,b,g,e,s,s,e,w,w,o,p,n,s,m
f,f,g,f,n,c,n,p,e,s,s,e,w,w,o,p,k,v,u
b,y,y,t,l,c,b,g,e,s,s,e,w,w,o,p,n,n,g
x,y,n,t,a,c,b,w,e,s,y,e,w,w,o,p,n,y,p
x,f,w,f,n,w,b,p,t,s,f,e,w,w,o,e,k,s,g
x,s,w,t,l,w,n,w,t,s,s,e,w,w,o,p,n,v,d
b,s,w,t,l,c,b,w,e,s,s,e,w,w,o,p,n,s,m
f,s,y,t,a,w,n,w,t,s,s,e,w,w,o,p,n,v,d
x,s,y,t,a,c,b,k,e,s,s,e,w,w,o,p,n,n,m
f,f,g,f,n,c,n,g,e,s,s,e,w,w,o,p,n,y,u
b,s,y,t,a,c,b,n,e,s,s,e,w,w,o,p,k,s,g
x,s,w,t,l,c,b,g,e,s,s,e,w,w,o,p,n,n,m
x,y,w,t,l,c,b,n,e,s,s,e,w,w,o,p,n,s,m
f,s,w,t,a,w,n,n,t,s,s,e,w,w,o,p,n,v,d
x,y,y,t,l,c,b,w,e,s,s,e,w,w,o,p,n,s,g
b,s,w,t,l,c,b,w,e,s,s,e,w,w,o,p,k,s,g
x,s,w,t,a,c,b,g,e,s,s,e,w,w,o,p,k,n,g
x,f,w,f,n,w,b,h,t,f,s,e,w,w,o,e,k,s,g
f,y,n,t,l,c,b,n,e,s,y,e,w,w,o,p,k,y,p
x,s,w,t,p,c,n,k,e,s,s,p,w,w,o,p,n,v,u
b,s,w,t,a,c,b,n,e,s,s,e,w,w,o,p,n,n,g
b,s,w,t,a,c,b,k,e,s,s,e,w,w,o,p,k,s,m
b,y,w,t,l,c,b,n,e,s,s,e,w,w,o,p,n,n,g
b,y,w,t,a,c,b,w,e,s,s,e,w,w,o,p,k,n,g
x,s,y,t,a,c,b,w,e,s,s,e,w,w,o,p,k,s,g
b,s,w,t,l,c,b,w,e,s,s,e,w,w,o,p,k,n,m
x,f,y,t,a,w,n,n,t,s,s,e,w,w,o,p,n,v,d
x,f,g,f,n,c,n,n,e,s,s,e,w,w,o,p,n,y,u
f,y,y,t,a,c,b,n,e,s,y,e,w,w,o,p,n,s,g
b,s,w,t,l,c,b,n,e,s,s,e,w,w,o,p,k,n,m
x,s,y,t,a,c,b,g,e,s,s,e,w,w,o,p,k,s,g
x,y,y,t,a,c,b,k,e,s,s,e,w,w,o,p,k,s,g
x,y,w,t,l,c,b,w,e,s,s,e,w,w,o,p,n,s,g
x,s,w,t,a,c,b,n,e,s,s,e,w,w,o,p,n,n,m
x,s,w,t,p,c,n,k,e,s,s,p,w,w,o,p,k,s,g
x,y,y,t,a,c,b,n,e,s,y,e,w,w,o,p,n,s,g
f,f,w,t,a,w,n,p,t,s,s,e,w,w,o,p,n,v,d
x,y,w,t,l,c,b,g,e,s,s,e,w,w,o,p,k,n,m
b,y,w,t,l,c,b,n,e,s,s,e,w,w,o,p,k,s,g
x,s,w,t,a,c,b,g,e,s,s,e,w,w,o,p,n,n,g
x,s,y,t,a,c,b,g,e,s,s,e,w,w,o,p,n,s,g
x,y,n,t,p,c,n,p,e,s,s,p,w,w,o,p,k,v,u
b,s,y,t,a,c,b,n,e,s,s,e,w,w,o,p,n,n,g
x,f,g,f,n,c,n,n,e,s,s,e,w,w,o,p,k,y,u
x,y,w,t,p,c,n,k,e,s,s,p,w,w,o,p,k,s,u
x,y,y,t,l,c,b,n,e,s,y,e,w,w,o,p,n,y,p
f,f,n,f,n,c,n,k,e,s,s,e,w,w,o,p,k,v,u
b,s,w,t,l,c,b,k,e,s,s,e,w,w,o,p,n,n,g
x,f,w,t,l,w,n,w,t,s,s,e,w,w,o,p,n,v,d
x,y,w,t,l,c,b,w,e,s,s,e,w,w,o,p,k,s,g
b,y,y,t,l,c,b,n,e,s,s,e,w,w,o,p,n,s,g
x,y,y,t,l,c,b,n,e,s,y,e,w,w,o,p,k,s,g
f,y,y,t,a,c,b,p,e,s,y,e,w,w,o,p,k,s,p
f,y,y,t,a,c,b,w,e,s,y,e,w,w,o,p,k,y,p
x,s,w,t,l,c,b,w,e,s,s,e,w,w,o,p,k,s,g
x,s,w,t,a,c,b,w,e,s,s,e,w,w,o,p,n,n,m
x,s,w,t,p,c,n,n,e,s,s,p,w,w,o,p,k,v,u
x,s,w,t,l,c,b,w,e,s,s,e,w,w,o,p,n,s,g
x,y,w,t,a,c,b,n,e,s,s,e,w,w,o,p,k,s,m
f,y,y,t,l,c,b,w,e,s,y,e,w,w,o,p,k,y,p
x,s,n,f,n,w,b,p,t,f,s,e,w,w,o,e,k,s,g
f,y,y,t,a,c,b,w,e,s,y,e,w,w,o,p,n,y,g
x,s,n,t,p,c,n,p,e,s,s,p,w,w,o,p,n,s,g
b,y,y,t,l,c,b,w,e,s,s,e,w,w,o,p,n,s,m
b,s,w,t,l,c,b,n,e,s,s,e,w,w,o,p,n,s,g
b,y,w,t,l,c,b,k,e,s,s,e,w,w,o,p,n,n,m
f,f,n,f,n,c,n,k,e,s,s,e,w,w,o,p,n,v,u
x,s,w,t,a,c,b,w,e,s,s,e,w,w,o,p,k,n,m
b,y,w,t,l,c,b,g,e,s,s,e,w,w,o,p,k,n,g
b,y,w,t,a,c,b,g,e,s,s,e,w,w,o,p,n,n,m
f,y,n,t,l,c,b,w,e,s,y,e,w,w,o,p,n,s,g
x,y,w,t,p,c,n,k,e,s,s,p,w,w,o,p,k,v,g
x,s,w,t,a,c,b,n,e,s,s,e,w,w,o,p,n,n,g
x,y,w,t,a,c,b,n,e,s,s,e,w,w,o,p,n,s,m
f,f,g,f,n,c,n,g,e,s,s,e,w,w,o,p,k,v,u
f,s,g,f,n,w,b,p,t,s,s,e,w,w,o,e,k,a,g
x,y,y,t,a,c,b,g,e,s,s,e,w,w,o,p,n,s,m
b,s,w,t,a,c,b,k,e,s,s,e,w,w,o,p,n,s,m
f,y,n,t,p,c,n,w,e,s,s,p,w,w,o,p,k,s,u
x,s,w,t,l,c,b,n,e,s,s,e,w,w,o,p,k,n,m
f,s,n,t,p,c,n,w,e,s,s,p,w,w,o,p,k,v,u
x,y,w,t,l,c,b,k,e,s,s,e,w,w,o,p,n,s,g
x,y,y,t,a,c,b,k,e,s,s,e,w,w,o,p,n,n,m
f,y,y,t,a,c,b,n,e,s,y,e,w,w,o,p,n,s,p
x,y,n,t,a,c,b,w,e,s,y,e,w,w,o,p,n,s,p
f,y,n,t,a,c,b,w,e,s,y,e,w,w,o,p,n,y,g
x,y,w,t,a,c,b,w,e,s,s,e,w,w,o,p,n,n,m
f,f,n,f,n,w,b,h,t,s,s,e,w,w,o,e,k,s,g
x,s,y,t,l,c,b,k,e,s,s,e,w,w,o,p,n,n,m
x,y,w,t,p,c,n,w,e,s,s,p,w,w,o,p,n,s,g
b,y,y,t,a,c,b,n,e,s,s,e,w,w,o,p,n,n,m
x,s,y,t,l,c,b,k,e,s,s,e,w,w,o,p,k,s,m
b,y,w,t,l,c,b,n,e,s,s,e,w,w,o,p,k,n,m
f,y,n,t,a,c,b,n,e,s,y,e,w,w,o,p,k,s,g
b,y,y,t,a,c,b,g,e,s,s,e,w,w,o,p,k,s,m
b,y,w,t,a,c,b,g,e,s,s,e,w,w,o,p,k,s,g
x,y,n,t,l,c,b,n,e,s,y,e,w,w,o,p,n,y,p
f,f,g,f,n,c,n,p,e,s,s,e,w,w,o,p,n,y,u
x,f,g,f,n,c,n,g,e,s,s,e,w,w,o,p,k,y,u
b,y,y,t,l,c,b,n,e,s,s,e,w,w,o,p,k,s,g
x,s,y,t,l,c,b,n,e,s,s,e,w,w,o,p,k,s,m
b,y,w,t,l,c,b,k,e,s,s,e,w,w,o,p,n,s,g
x,s,w,t,a,c,b,g,e,s,s,e,w,w,o,p,k,s,m
b,s,y,t,a,c,b,g,e,s,s,e,w,w,o,p,n,n,m
x,s,y,t,a,c,b,k,e,s,s,e,w,w,o,p,k,s,m
x,f,g,f,n,w,b,p,t,f,f,e,w,w,o,e,k,s,g
f,s,y,t,a,w,n,p,t,s,s,e,w,w,o,p,n,v,d
x,y,w,t,p,c,n,p,e,s,s,p,w,w,o,p,k,s,g
x,f,w,f,n,w,b,k,t,f,s,e,w,w,o,e,k,a,g
b,y,w,t,a,c,b,w,e,s,s,e,w,w,o,p,k,s,g
x,s,y,t,l,w,n,w,t,s,s,e,w,w,o,p,n,v,d
b,y,w,t,a,c,b,n,e,s,s,e,w,w,o,p,k,s,g
x,y,w,t,l,c,b,g,e,s,s,e,w,w,o,p,k,s,g
x,f,n,t,n,c,b,p,t,s,s,e,g,p,o,p,n,y,d
b,y,w,t,l,c,b,k,e,s,s,e,w,w,o,p,n,s,m
x,s,y,t,l,c,b,g,e,s,s,e,w,w,o,p,n,n,m
f,y,n,t,a,c,b,p,e,s,y,e,w,w,o,p,k,y,g
x,f,w,f,n,w,b,n,t,s,s,e,w,w,o,e,n,s,g
x,s,y,t,l,c,b,w,e,s,s,e,w,w,o,p,k,s,g
x,y,w,t,p,c,n,n,e,s,s,p,w,w,o,p,n,v,g
x,y,y,t,l,c,b,n,e,s,s,e,w,w,o,p,k,s,g
x,f,w,t,a,w,n,p,t,s,s,e,w,w,o,p,n,v,d
b,s,y,t,a,c,b,g,e,s,s,e,w,w,o,p,n,n,g
x,y,w,t,p,c,n,k,e,s,s,p,w,w,o,p,k,v,u
x,s,y,t,a,w,n,w,t,s,s,e,w,w,o,p,n,v,d
x,y,w,t,a,c,b,k,e,s,s,e,w,w,o,p,k,n,m
x,f,w,t,l,w,n,n,t,s,s,e,w,w,o,p,n,v,d
f,s,w,t,l,w,n,w,t,s,s,e,w,w,o,p,n,v,d
x,y,y,t,l,c,b,k,e,s,s,e,w,w,o,p,n,s,m
x,s,w,t,a,c,b,w,e,s,s,e,w,w,o,p,k,s,g
b,y,y,t,a,c,b,n,e,s,s,e,w,w,o,p,k,s,m
x,y,n,t,l,c,b,p,e,s,y,e,w,w,o,p,n,s,p
b,y,w,t,l,c,b,k,e,s,s,e,w,w,o,p,k,n,g
x,s,y,t,a,c,b,n,e,s,s,e,w,w,o,p,n,s,m
x,y,n,t,p,c,n,n,e,s,s,p,w,w,o,p,n,v,u
b,s,y,t,l,c,b,w,e,s,s,e,w,w,o,p,k,n,g
b,y,w,t,a,c,b,g,e,s,s,e,w,w,o,p,k,n,g
x,y,n,t,p,c,n,w,e,s,s,p,w,w,o,p,k,v,u
b,s,w,t,l,c,b,n,e,s,s,e,w,w,o,p,k,s,m
b,y,y,t,l,c,b,w,e,s,s,e,w,w,o,p,n,n,m
b,y,y,t,a,c,b,n,e,s,s,e,w,w,o,p,k,s,g
x,y,w,t,l,c,b,g,e,s,s,e,w,w,o,p,n,n,g
x,f,n,t,n,c,b,p,t,s,s,e,p,w,o,p,k,y,d
x,y,n,t,a,c,b,w,e,s,y,e,w,w,o,p,k,y,g
b,s,y,t,l,c,b,n,e,s,s,e,w,w,o,p,n,s,g
x,f,g,f,n,c,n,g,e,s,s,e,w,w,o,p,n,v,u
x,y,n,t,l,c,b,n,e,s,y,e,w,w,o,p,k,y,g
x,s,w,t,a,c,b,k,e,s,s,e,w,w,o,p,n,s,g
b,y,w,t,a,c,b,n,e,s,s,e,w,w,o,p,k,n,g
x,s,y,t,a,c,b,g,e,s,s,e,w,w,o,p,k,s,m
f,f,y,t,a,w,n,p,t,s,s,e,w,w,o,p,n,v,d
b,y,y,t,l,c,b,g,e,s,s,e,w,w,o,p,n,s,g
x,f,n,f,n,w,b,n,t,s,f,e,w,w,o,e,n,a,g
x,f,y,t,l,w,n,n,t,s,s,e,w,w,o,p,n,v,d
x,s,y,t,a,c,b,n,e,s,s,e,w,w,o,p,n,n,m
f,s,g,f,n,w,b,n,t,s,f,e,w,w,o,e,k,s,g
x,f,n,f,n,c,n,g,e,s,s,e,w,w,o,p,n,y,u
f,s,g,f,n,w,b,h,t,f,f,e,w,w,o,e,n,a,g
f,y,n,t,a,c,b,p,e,s,y,e,w,w,o,p,n,s,p
b,y,w,t,a,c,b,k,e,s,s,e,w,w,o,p,n,s,g
b,s,y,t,a,c,b,k,e,s,s,e,w,w,o,p,k,s,m
x,y,y,t,l,c,b,w,e,s,y,e,w,w,o,p,k,s,p
f,y,n,t,a,c,b,p,e,s,y,e,w,w,o,p,n,y,p
x,y,n,t,p,c,n,k,e,s,s,p,w,w,o,p,k,s,u
x,y,y,t,a,c,b,p,e,s,y,e,w,w,o,p,n,y,p
x,y,y,t,a,c,b,w,e,s,s,e,w,w,o,p,n,s,g
x,f,n,f,n,w,b,h,t,s,f,e,w,w,o,e,n,s,g
x,f,n,f,n,w,b,p,t,f,f,e,w,w,o,e,k,a,g
f,s,n,f,n,w,b,k,t,f,s,e,w,w,o,e,k,a,g
f,y,n,t,a,c,b,n,e,s,y,e,w,w,o,p,n,s,p
x,s,y,t,a,c,b,w,e,s,s,e,w,w,o,p,k,n,g
f,f,n,f,n,c,n,p,e,s,s,e,w,w,o,p,k,v,u
x,y,y,t,a,c,b,w,e,s,y,e,w,w,o,p,n,s,p
b,y,y,t,a,c,b,g,e,s,s,e,w,w,o,p,n,n,g
x,f,g,f,n,w,b,n,t,s,s,e,w,w,o,e,k,s,g
x,y,y,t,a,c,b,w,e,s,y,e,w,w,o,p,n,s,g
f,y,n,t,l,c,b,n,e,s,y,e,w,w,o,p,k,y,g
x,s,y,t,a,c,b,w,e,s,s,e,w,w,o,p,k,s,m
x,s,w,t,a,c,b,k,e,s,s,e,w,w,o,p,k,s,m
b,s,w,t,l,c,b,n,e,s,s,e,w,w,o,p,k,n,g
b,y,y,t,l,c,b,n,e,s,s,e,w,w,o,p,n,n,m
x,y,y,t,l,c,b,k,e,s,s,e,w,w,o,p,n,n,g
b,y,y,t,a,c,b,k,e,s,s,e,w,w,o,p,n,s,g
x,y,n,t,p,c,n,p,e,s,s,p,w,w,o,p,k,s,u
x,s,w,f,n,w,b,k,t,f,s,e,w,w,o,e,n,s,g
x,y,w,t,a,c,b,w,e,s,s,e,w,w,o,p,k,s,m
b,s,w,t,a,c,b,g,e,s,s,e,w,w,o,p,n,n,g
x,f,n,t,n,c,b,n,t,s,s,e,g,w,o,p,n,y,d
x,s,n,t,p,c,n,w,e,s,s,p,w,w,o,p,n,s,u
x,y,n,t,l,c,b,w,e,s,y,e,w,w,o,p,k,y,p
x,s,n,f,n,w,b,n,t,s,s,e,w,w,o,e,k,a,g
b,y,y,t,l,c,b,n,e,s,s,e,w,w,o,p,k,n,m
x,s,y,t,a,c,b,w,e,s,s,e,w,w,o,p,n,n,m
b,s,y,t,a,c,b,n,e,s,s,e,w,w,o,p,n,s,m
x,s,y,t,l,c,b,g,e,s,s,e,w,w,o,p,k,n,m
b,y,w,t,a,c,b,n,e,s,s,e,w,w,o,p,n,n,g
