Student,GPA
NWH,3.7183
IAP,3.6089
TEQ,3.6027
IEB,3.5623
HNJ,3.898
KFN,3.5862
LTA,2.9307
EZL,3.1912
ENP,3.7183
KAX,3.8867
QVP,3.3073
WWJ,3.2357
ANS,3.642
SGJ,3.74
XUA,3.898
QKQ,3.7178
LRC,3.6027
KAM,3.1219
JRS,3.2193
HIH,3.205
PJV,3.4323
GXT,3.3592
XGD,3.497
UYR,3.4085
ALQ,3.5859
LKG,3.308
JOV,3.7183
CMT,3.3808
IDC,3.3286
RDV,3.5533
CUC,2.7492
HXG,3.6629
HZY,2.932
FEM,3.9369
OAB,3.888
REU,3.3779
JCO,3.2906
NVS,3.7087
DXC,3.732
ZHD,3.4209
OIN,3.2121
YND,3.1633
FNJ,3.4425
HQM,3.5671
WMN,3.264
THT,2.4125
XHI,3.5693
LAM,3.4836
RND,3.2633
SVG,2.9982
WFV,3.8867
TPS,2.7162
RYJ,3.83
AVI,3.3808
QUM,3.6027
SUF,2.7492
MNB,3.8782
KTJ,3.7245
HTS,3.22
NEV,3.4714
GIJ,3.4827
WXB,3.4417
PVB,2.6131
PBH,3.6647
WZC,3.5193
DJG,3.5679
EWX,3.7114
MIY,2.8786
XDS,3.5727
SSG,3.463
LWP,3.5427
ZMS,2.6036
RPE,3.4743
EVW,3.915
OVV,3.2189
NEM,4
WXB,3.7408
WRZ,3.2523
RLI,4
MIC,3.4407
KTV,3.5127
YNA,3.4117
ACY,3.831
WLX,3.1967
TCP,2.955
TTR,3.6143
DGB,3.1206
ZKP,3.2742
CEI,3.2192
DFN,3.763
TKX,3.2373
SPR,3.3071
QJJ,3.4729
JPU,3.2906
NRY,3.1535
DLO,2.9982
PFV,3.363
PTJ,3.8224
ADB,3.8412
WUN,3.0864
GWR,3.4958
LDC,2.7146
UWO,3.7987
PMR,3.9391
TDV,3.4729
HBX,3.3779
RJC,3.363
RKW,3.3909
KRX,3.6631
JJD,3.2633
YDV,3.2031
TBQ,3.2523
MKA,3.497
BQY,3.9738
YKE,3.7987
IIT,3.26
VZU,2.4125
WCF,3.4323
OWY,3.7114
LUA,3.4729
LHE,3.0469
YEQ,3.6839
IJP,3.7483
PHD,2.8294
PKU,3.6058
TJN,3.1631
MEV,3.6171
BDA,3.5118
SBB,3.7162
MXQ,3.0469
STQ,3.62
ASN,3.1967
AGC,2.6892
KIS,3.8164
AIJ,3.1407
WSH,3.498
INL,3.3073
OBD,3.74
OUL,3.1219
MJG,3.6639
KDS,3.2378
ZEM,3.8177
XWW,4
NOK,3.5093
SXI,3.53
FWM,3.462
CJS,3.7758
XFL,2.4125
RTA,3.0264
HOK,2.9673
QWN,2.76
HQG,3.4714
NQE,3.888
ACN,3.4818
GIZ,3.8177
PLI,3.8064
DDU,3.732
JRT,2.964
WZC,3.73
ZUQ,3.4846
MYI,3.5847
TPN,3.5693
RDQ,3.4846
TBW,3.4069
TSQ,3.33
YRP,3.7836
PHL,3.9369
OFT,3.2691
DYK,3.6131
YZY,2.8308
RVM,3.3038
WHV,4
KWK,3.4417
XMF,3.4714
JYE,3.4838
HTE,3.5307
ZNX,3.13
FYG,3.7073
ECE,3.205
YPV,3.7758
IZR,3.5859
TPO,3.3741
BED,3.229
RUZ,3.6647
IMA,3.0754
ZRT,3.7255
WFZ,3.5293
TSD,2.9973
CRS,3.2413
WOM,3.2357
SVE,3.7255
IEI,3.229
NRO,3.5233
CMY,3.33
POL,3.2121
BBU,3.3678
JTV,3.396
HMT,3.9391
IBI,3.5118
KUE,3.4218
VCK,3.262
ITB,3.642
KFA,3.3038
GHM,3.297
KHV,3.3311
EWB,3.1533
VES,3.3071
JRQ,3.7227
EYP,3.4407
JTI,3.2906
QSD,3.6171
PQE,3.8627
NWZ,3.8042
YOJ,3.363
ECC,3.22
SJR,3.1083
FAL,3.6623
DSR,3.5859
FOY,3.4417
PNX,3.932
YUI,3.9738
WZO,3.2467
XUQ,3.5427
WUS,2.9971
WYO,2.76
FAX,2.6131
SQC,3.7836
XKY,3.429
XGK,3.4675
CLE,3.7408
EKL,3.5671
WBG,3.6256
KLK,3.4818
WMS,3.205
RCT,3.4021
WYT,3.26
ISE,3.297
MKH,3.6318
EKC,3.44
ZUN,3.308
BZB,3.2031
HDW,3.8325
FNJ,3.3286
ONZ,3.6629
QLJ,3.7356
AEF,3.7307
CFL,3.5862
PRZ,3.6171
UEF,3.3858
AKJ,3.4021
VDX,3.231
UQU,3.1254
KVP,3.915
TLA,3.8875
ZMN,3.6625
GTN,3.0517
YKC,3.4729
GJU,3.1083
ROV,3.2523
QOZ,3.6027
JQV,3.915
WRX,3.5427
SBU,3.4218
HYH,3.43
ALS,3.7744
ZPQ,3.2121
FUV,3.3038
DSS,3.33
FAF,3.6318
AUE,3.3308
QBM,3.6058
XPY,2.6036
ZAI,3.2269
GYL,3.4407
ZBP,3.4846
TFR,3.6625
YLV,3.9391
FZA,3.564
RIN,2.7146
RBJ,3.462
QBV,3.5727
YAP,3.5427
SIM,3.1912
CNS,3.3054
MPN,3.4675
LTV,2.615
XOK,3.7183
ALN,3.27
BRL,3.2413
NHB,3.5859
GLO,3.7183
SSS,3.0469
SJC,3.73
SYZ,3.86
KLG,3.6018
EDS,2.4971
OAJ,3.684
WLI,3.4323
ZCX,3.5859
FOW,3.497
RFA,3.2523
TZV,3.4486
GHH,3.165
MKC,3.463
KBR,3.5118
TXO,3.5193
NEU,3.775
JVB,3.6367
LRJ,3.6367
GLQ,3.4021
RDX,3.898
ZNL,3.497
CMQ,3.1925
FKK,3.8042
ZNT,3.4714
QLY,3.0706
ZBR,3.7162
AHY,3.6623
MCB,3.4417
ZQX,3.4209
DCL,3.5623
CKO,3.4417
OUQ,3.462
REX,2.4971
RGI,3.754
KXA,3.22
DZN,3.63
GTL,3.4527
LDV,3.915
UIF,3.3779
AOL,3.4077
ZDY,2.7662
KDN,2.235
ZVT,3.08
IMJ,3.5293
XJD,3.6237
WFN,3.4218
XHN,3.2567
CZU,2.7146
RZE,3.763
KQK,3.4323
BRV,3.73
GPJ,3.1762
OYX,3.7618
IUY,4
UQI,3.4846
WBW,3.44
RRI,3.4867
UII,3.2742
JGQ,3.1225
CTU,3.888
CCR,3.888
XNL,3.8312
CBW,3.7931
EQV,3.6089
IKK,3.4683
KLI,3.22
HTZ,3.4683
UGK,3.5533
WEV,3.82
TZW,3.8455
SCV,3.6058
IBI,3.8042
TZC,3.205
XJO,3.1631
AFC,3.74
GAE,3.5436
UPQ,3.2189
DWV,3.2189
HRE,2.8506
VTA,3.8592
JJZ,3.1206
ZGP,3.8725
MTO,3.966
NVV,3.932
YWT,3.6075
WLG,3.4527
VOM,3.3808
PMA,3.8592
DSA,2.4476
GUC,3.2785
COA,3.4007
SGV,3.5623
PDO,2.4585
OQG,3.1637
TXO,3.3808
YNP,3.5679
UGE,3.8627
KCE,3.684
LNS,3.3592
LJR,3.4714
UKM,2.6892
ZWP,3.4846
WCM,3.7227
ZDV,3.5693
NXE,3.35
JAS,3.5727
ZZZ,3.1631
JRW,3.1537
WQD,3.888
KEQ,3.4331
UGE,3.4736
YZR,3.4846
SKY,3.2467
OYC,3.1912
UHE,3.0469
LXP,3.6362
FZT,3.932
XXU,3.52
TAS,3.73
IGG,3.22
RAV,2.9985
JAK,2.235
MJG,3.27
BZW,3.6633
IRW,3.462
NWQ,3.6237
BAO,3.63
TBG,3.82
AGR,3.3786
PSW,3.4417
JBK,3.6171
RSF,3.7931
BFB,3.4007
QTG,3.6647
WFX,3.4846
TXP,3.6623
JBH,3.1475
MAF,3.6342
AJX,3.229
MKQ,3.6936
VIF,3.5233
WAS,3.498
SXJ,3.1533
HQW,3.7987
DYG,3.2523
OBX,3.6839
FFE,3.8592
NTK,3.6157
KER,3.7931
JQX,3.1967
XDY,3.6058
TUY,3.13
YBP,3.82
ZQH,3.3064
BQG,3.3808
DVN,2.5533
GHM,3.13
NFH,3.4736
FZZ,3.4846
PVY,3.6164
FMN,3.9757
ZUC,3.3808
ELG,3.7364
EQW,3.5544
LJH,3.1912
GOJ,3.4592
ZGR,2.615
XCO,3.3833
HBY,3.1225
YJP,3.2912
BYG,3.2192
ILC,3.3309
YNO,3.7227
BEI,3.463
XVO,3.915
TWH,3.1935
YSP,3.3073
FAC,3.8455
VAB,3.2269
WJE,3.1225
QAS,3.5544
FUR,3.5307
KNH,2.9014
YKW,3.4714
SQM,2.6045
LPT,3.463
NZC,3.5118
USA,3.932
JNX,3.63
JKU,3.2192
BTQ,3.5859
DQK,3.0517
JDZ,3.684
ZUJ,2.4125
CDD,3.3494
UKW,2.4585
IHM,3.5847
ZRS,3.5709
FGW,3.2853
BWL,3.4417
TIP,3.6631
EHC,2.6108
ROW,3.5671
SLR,3.5736
OSM,3.2912
QSV,3.3286
YYL,3.8725
XTZ,3.4675
XIN,3.33
ALN,3.6419
ZLH,3.7183
STT,3.7183
QEK,3.1
NHZ,3.6327
RRU,3.4836
CRV,3.1762
ZFJ,3.363
GFK,3.4209
SLO,3.31
UOV,3.1
VWE,3.4958
JJH,3.4425
IWK,3.6367
LMR,3.8224
BRB,3.8192
WOB,3.8592
UQI,3.2853
QZM,3.4323
EDX,3.4062
IDR,3.4675
UFR,3.5727
LWF,3.4827
EKF,3.3833
XDI,3.3009
DKU,3.932
ADP,2.9973
WFC,3.8042
OTK,3.6143
NRE,2.886
ZYU,3.2378
JZP,3.3073
SKI,3.52
YEM,3.3038
SIE,3.308
VZA,2.7586
PSJ,3.2647
NMU,3.6358
WHA,3.6864
PEL,3.7408
ANF,3.165
SDK,3.6089
JVV,3.429
UNQ,3.2192
ZLF,2.8685
JEG,3.33
FMI,3.5127
UIF,3.7836
DUG,3.3073
PNX,3.7383
LDL,3.4969
HSZ,3.3741
IIB,3.2192
VIT,3.1475
YSX,3.02
YPH,2.6036
DCU,3.7987
LUR,3.264
AGO,3.6362
KWS,2.8445
DUA,3.4827
LGV,3.5693
FVY,3.1219
YQW,3.915
NLF,3.85
XRP,3.3733
VLV,3.3747
MPY,3.4
QXI,3.9391
NQX,3.7931
LOO,3.462
VQJ,3.2114
ODT,3.932
LPY,3.1219
GIS,2.6108
TZA,3.7073
LVS,3.355
IPV,3.4692
EPG,3.5709
MMF,3.564
EYM,3.4675
AJC,3.4846
KVD,3.2873
MTB,3.52
XRT,3.5727
PCQ,3.6336
ZSJ,3.684
CMK,3.3311
CRI,2.6045
YFH,3.631
LBB,3.1831
EKZ,3.5859
SPM,2.6108
HXM,3.2192
BES,3.5346
NMC,3.2633
ZDC,3.308
OUI,3.5859
IKM,3.4077
VOM,3.9391
OHS,3.4871
EXN,3.4425
GPI,3.3306
ELV,3.74
KDE,3.5671
FSV,3.2031
FEC,4
DYZ,3.4077
RWD,3.5233
GXP,3.0864
GWT,3.4331
GYK,2.9971
ESG,3.1782
FBM,3.1925
PSF,3.2378
FNW,3.3306
VRY,3.7183
XJN,3.6075
XZB,3.0525
PPH,3.7593
WIH,4
IDT,3.1639
VPW,3.4592
SMO,3.4069
TOT,3.2523
ZRK,3.9433
NBU,3.262
BCP,3.6936
CPR,3.2189
EMJ,3.4743
BLO,3.564
EQM,3.8042
TEO,3.6631
WGC,3.7114
BCU,3.9738
CCN,3.2853
NYX,3.1475
MVS,3.6437
XXO,3.631
YYO,3.0469
ACH,3.6639
DSC,3.4407
LCM,3.264
DTT,3.932
IJT,3.831
EQO,3.5718
FXA,3.308
XAP,3.3286
XGU,3.6864
FYO,3.0264
CQP,3.6143
GDE,3.13
WXJ,3.5727
XIR,3.73
FGJ,3.4007
TUB,2.9576
MUD,3.5427
XEY,3.3779
NWD,3.1219
PJO,3.3808
UHJ,2.9307
QRC,3.3554
LAK,3.2031
DHW,3.2873
JOO,3.4117
NZZ,3.2785
DMY,3.2192
RSH,2.9971
JWB,2.8321
UGI,3.915
ZSF,3.7408
EEX,3.33
QKO,3.2382
DKN,3.497
RQX,3.6639
RCR,3.297
GHF,3.5967
KNC,3.3909
SXV,3.2192
HIX,3.6318
TMO,3.2382
OOZ,3.3678
DNB,3.44
VUQ,3.2189
IYD,2.76
PWV,3.8592
VDH,3.1935
YJK,3.8412
GQY,3.4527
WTB,3.83
LYM,3.6631
DNP,3.1637
GBQ,3.7192
ELV,3.4592
RHN,3.6256
FGS,3.0806
FQB,3.1925
LVJ,3.7114
QVU,2.7492
EYW,3.554
NKO,2.8786
GMF,3.6036
KRB,3.754
TFG,3.463
GTM,4
KSG,3.3306
CNA,3.5718
JMP,3.4836
HBB,3.4683
NZX,2.8685
XHN,3.4465
XHQ,3.3494
YWJ,2.8155
ZLY,3.3909
MYM,3.684
MUY,2.9208
UFA,3.2114
IDQ,3.9433
NGG,3.4675
PQH,3.6157
RUW,2.7586
RUE,3.1219
UJX,3.7931
TBQ,3.4085
UMV,3.3306
PAJ,3.6089
TYM,3.0181
JGK,3.4425
ELJ,3.915
ZXE,3.6131
FNF,3.7845
NNR,3.3308
VUV,2.932
TBZ,3.73
YAV,3.33
LZM,3.8954
AKJ,2.9973
FPX,3.8455
ZXA,3.308
KQM,3.3519
NXL,3.4425
KLZ,3.6639
XCS,3.3741
NXG,3.932
CSY,3.2114
YPD,2.615
WSC,3.9738
SOX,3.2192
MZY,3.6318
DYH,3.2456
RBJ,3.0469
PYG,3.6036
OZS,3.2633
UTN,3.6342
LFM,3.4838
XFL,3.7183
VMD,3.1925
WFK,3.4838
AGS,3.0806
RTF,3.2853
KBB,3.7343
IKU,2.1864
POY,2.955
CPL,3.5436
CLF,3.6256
BPJ,3.6362
WOE,3.0525
BVA,3.4827
MLF,3.35
PSY,2.7162
PNT,3.7025
UQX,2.9576
DJP,3.7845
AVC,3.4117
WUN,3.4789
UBT,3.684
ZYP,3.5693
YNB,3.4331
IES,3.8954
DAF,2.76
KVQ,2.8308
ABK,3.6638
ERO,2.8685
RQW,3.7227
BQN,3.6143
YIP,3.1425
PES,3.3741
OXN,3.4417
MQW,3.6318
XUV,3.6638
UVH,3.2906
NLZ,3.497
IOI,2.8764
PAR,3.7483
BSF,3.4846
MLT,3.5293
BHU,3.0469
NDG,3.932
NIR,3.3054
DAB,3.7114
OXF,3.3309
KYP,3.2567
YLL,3.3909
SJZ,3.4971
BXT,2.9014
HOH,3.6647
HAA,3.6089
QRC,3.6362
HAQ,3.264
SXL,3.564
QQQ,3.3291
ANB,3.297
CEW,3.5093
XOV,3.205
ILQ,2.7492
SHD,3.4117
UKX,2.9462
UCU,3.4818
QWU,3.4069
ZBZ,3.8412
THG,3.73
YUO,2.7162
LYS,3.4417
CDS,3.4425
VUK,3.363
MJO,3.6345
JHM,3.3311
VRV,3.2192
MVS,3.2633
LYG,3.888
YMY,3.5258
RIP,2.4476
PHO,3.2456
SEU,3.684
PGZ,3.5293
OUQ,3.3308
JLB,3.4417
WDI,3.2467
KYG,3.205
PNE,3.7931
FDV,3.6336
DNL,2.45
VRE,3.7025
LYH,3.1925
OOR,3.9757
UAK,3.3311
GZN,3.5747
QRD,3.698
ZKC,3.2456
NFY,3.8782
BEC,3.5671
IHG,3.7073
HLI,3.4969
RWX,3.684
MLN,3.2785
QQG,3.2189
QZQ,3.363
WRN,3.53
QWO,3.02
HKL,3.0914
XUU,3.3311
HVX,3.7483
ARS,3.297
LLL,3.83
LXI,3.363
VGC,3.4062
QRH,3.4846
KHL,3.4069
XSZ,3.7087
BSV,3.7162
MFP,3.1753
VEA,3.3592
VQM,3.3009
DUS,3.2647
IOB,3.0706
IIP,3.231
NUA,3.0806
FMA,3.8782
YYK,3.3286
VIS,3.684
PZJ,3.6638
OJB,3.6631
OJV,3.4827
CJE,3.497
BAF,3.4958
ZBP,3.6342
CMN,3.554
JJV,3.6925
MNR,3.0469
WAJ,3.8312
NRU,3.4971
YVJ,3.6318
YLX,2.6131
KNX,3.1639
MHK,3.6625
NTH,3.6342
NVW,3.6639
TSL,3.7343
ERM,3.7087
QZX,3.4836
PPJ,3.5736
ZXM,3.7178
UPW,2.7662
UDD,3.6654
OQK,3.0921
XPF,2.9971
CKK,3.497
KZR,3.5967
JOJ,3.2567
DQC,2.7492
MGZ,3.3858
FFI,3.27
CCC,3.3307
VKQ,3.6639
FCX,3.496
ZGV,3.3071
ICG,3.7114
DZO,3.4433
PQL,3.6358
XLU,3.5859
ILA,3.6058
OCY,3.7343
ENT,3.3554
VMV,3.5193
UVT,2.9462
PCJ,2.5533
FWL,3.4683
EJV,3.7192
JKJ,3.8627
MRC,3.7356
WCJ,2.9673
GRX,3.2785
ZYX,3.3733
QIR,2.7492
ESW,3.932
XLX,3.2881
YEQ,3.4675
PKW,3.9244
RXQ,3.7744
WSM,3.498
WLV,3.7595
ECJ,3.6636
QOB,2.4125
EEY,3.1639
EQF,3.463
ANU,3.3733
HHR,3.6362
AAH,3.7383
GUM,3.13
BSQ,3.5517
UDT,3.7178
YEE,3.498
JRW,2.22
NPE,3.53
NKZ,2.932
SEQ,2.9576
JLK,3.5709
ZQH,3.396
MJK,3.4969
TNM,3.3747
SRE,3.1206
CSL,2.7146
ZWO,3.22
VJT,3.8592
MAR,3.7483
BGP,3.165
IUT,3.2378
MWV,3.4827
QJZ,3.3747
VTQ,3.9433
AKZ,3.6342
WFK,2.8321
KKO,3.0469
YSQ,3.463
ZKV,3.4486
TQG,3.1533
AUU,3.2382
FFC,3.2912
PQJ,3.2906
HTF,3.2382
SPW,3.2647
FZL,3.3038
ZKE,3.2523
HEQ,3.308
APC,3.4218
ZBJ,3.2192
UVV,3.33
BGQ,2.8294
ARR,2.6036
ZTR,3.2382
XCE,3.8543
PWR,2.7492
LSA,2.6036
JTC,3.8042
EQC,3.6336
YPF,3.3779
IPO,3.888
DMP,3.13
KLW,3.7931
DTO,3.7255
SYT,3.1475
OQX,3.2189
LRV,3.8325
EYJ,3.43
BVF,3.1537
EMF,3.1637
TGE,3.53
KYR,3.1912
FDO,3.363
PRI,3.3909
BHA,3.4209
WBH,3.0754
OHO,3.396
JTH,3.4692
AOM,3.5118
AKV,3.4846
MBU,2.7146
ABB,3.6083
QTE,3.86
VKO,3.7758
BZR,3.7227
KBV,3.1633
ZTA,3.6318
BKT,3.262
CPP,3.8725
CWC,3.3307
UNI,3.33
XCP,3.3519
OUC,3.7162
FHK,3.5709
KGD,3.4743
ALY,3.5727
QVW,3.8725
DUL,3.44
SSU,3.5293
IPQ,3.6362
CFH,3.5517
PCQ,3.4789
WUQ,3.1083
DRE,3.1535
STP,3.6327
BRU,3.3779
FNC,3.1753
RPH,2.9576
NPG,3.9433
FMN,3.0156
GWO,3.0517
JWD,3.3009
IVE,2.9776
VST,3.8312
LJQ,3.3786
ALV,3.7178
FBB,3.5127
AHN,3.2192
LVT,3.4069
OIY,3.1753
EAI,2.4971
NHV,2.9971
PIK,3.4527
AEZ,2.9014
TLF,3.2523
WMU,3.1254
UGN,3.5127
JET,3.8592
VUQ,3.1225
XVO,3.2691
FCU,3.8312
DJY,3.4417
CXI,2.8786
CVC,3.0525
FBB,3.5533
QWS,3.9244
ZLE,3.7162
LSC,3.1831
IER,3.3073
LEN,3.3309
MNM,3.6631
HYK,3.4486
CXD,3.4407
IFU,3.4714
NBS,3.2269
UCK,2.4476
VXL,3.3038
GTS,3.6171
GHT,3.2467
NOV,3.9433
ETC,3.2691
GNT,3.4062
EBI,2.4315
XLR,3.6629
WIS,3.2647
KLD,3.2373
CDP,3.966
EUF,3.7356
XJZ,3.4846
VQT,3.5671
YLP,3.6237
DTM,3.429
OUS,3.4433
XTU,3.5127
SDE,3.6157
IIT,4
KDY,3.4407
HOJ,3.8177
RCF,3.73
TWK,3.83
GMP,3.3009
KRH,3.8325
MQG,3.7192
CMM,3.2373
FLH,3.888
SCR,2.8308
NFZ,3.6629
FZY,3.7192
CFL,3.5118
JJV,3.4743
PLH,3.3306
COD,3.6654
TKM,3.2192
CCW,3.2881
WGU,3.7931
BBP,3.3286
JSL,3.763
GRL,3.7593
YPC,3.3291
YLK,3.2373
AWR,3.763
XZD,3.9369
KFP,3.21
JED,3.7931
LBC,3.6358
BKA,3.4527
HFI,3.262
SQI,3.5727
PBJ,3.8325
TVN,3.6336
KTT,2.6036
FIC,3.5671
VUK,3.308
ILW,3.7744
TEQ,2.955
OPT,3.22
MXG,2.7146
PGV,3.33
CRM,2.7662
LIW,3.1537
RRJ,3.3009
NAT,3.0706
RXD,3.9369
XHW,3.3308
GMI,3.297
BEC,3.0525
YJU,3.3309
VIZ,3.4417
EDO,3.7383
ZUC,3.2906
VZY,3.4846
PNC,2.7492
JJB,3.4736
EEE,3.33
ZMH,3.9757
HMB,3.6367
DGG,2.22
TWM,3.1083
RLE,3.6131
HEK,3.3071
YZW,3.4729
YNI,3.3311
TBN,3.6075
TZA,3.4592
DTW,3.2523
LDF,3.6018
ZFU,3.3291
FMJ,3.0914
ECY,3.5967
WZQ,3.7162
QKN,3.5717
UAU,3.8455
HOM,3.5118
BWZ,3.83
HBH,3.4062
RVR,3.2192
PRQ,3.5671
ARU,2.9014
WZN,3.7383
WOG,2.7586
SSS,3.3308
GTA,3.3592
PGK,3.44
XFI,3.4062
TNV,3.597
QFX,3.7845
YCW,3.3038
HGG,3.7364
WGM,3.9433
IWM,3.63
ZWE,3.3054
YAO,2.964
ZRI,3.3309
EYQ,3.165
XTB,3.1475
QKB,3.5193
NGP,3.7343
VRH,3.9391
DPT,3.27
UON,3.2189
RFU,3.231
UFW,3.5718
DAQ,3.5727
BHG,3.0181
BYB,3.4
SRA,3.308
RBC,3.9433
JNT,3.6058
SZA,3.525
VBH,3.6342
AEP,3.5533
EIR,3.1537
URX,3.8325
HFG,3.308
DUZ,3.4062
CTH,3.6936
ZJZ,3.7753
HPW,2.76
DDK,3.631
DAM,3.3858
ELO,3.5869
OOF,3.1537
XAG,3.698
CET,3.497
ISQ,3.7183
TEP,3.9757
GCI,3.0914
LYM,3.205
OGM,3.597
AYO,3.6633
VDP,2.4476
WYF,2.8155
WYL,3.8875
XHV,3.3494
UGE,3.53
POW,4
GWR,2.8786
XKO,3.2114
KYR,3.3779
GDO,3.4417
VAO,3.1912
PUT,3.63
RCD,3.7343
TZW,3.4736
PPW,3.1083
WDI,3.0921
GWW,3.262
PWO,3.308
PMA,3.2853
EOB,3.1925
HCN,3.1475
MYX,3.5671
ANE,2.4021
JTH,3.3309
XBV,3.6157
JWW,3.6083
HXE,2.6036
OLZ,3.462
KCP,3.463
JPV,3.1425
DXA,3.7146
WUG,3.1633
JRS,3.308
XCT,2.6036
ZOP,3.6342
ABD,2.9985
CCK,3.932
KNE,3.0806
IPW,2.9462
IFG,3.1225
CYU,3.498
ZDJ,3.5623
JPK,3.5847
TJB,3.9433
OMW,3.554
WSY,3.932
FXI,3.33
PIQ,3.1935
WFX,3.2413
CSS,3.7192
WHN,2.6108
MJB,2.9982
NYC,3.5293
XRJ,2.4125
IJX,3.5727
OTM,3.763
RDU,3.3054
COH,3.4331
XQX,3.966
ZJR,3.2378
IWB,3.698
XQR,3.7025
VLC,3.4827
MRD,3.5258
HKL,2.886
PPK,3.4407
ACV,3.2523
XBF,3.429
AWI,2.7146
SVV,3.463
JRQ,3.1425
HPS,3.5258
IWP,3.6437
HEX,3.5127
OML,3.5127
KFS,3.0525
YNU,3.3054
CCJ,3.33
GZZ,3.3071
VEY,3.4827
KUU,4
YEW,3.888
WJC,3.21
NXM,3.4077
HQS,3.497
YMU,3.8455
ATE,3.5127
JSA,3.1425
ZJD,2.8308
RDP,3.27
MGO,3.6018
UPA,3.3786
KVV,3.6157
KAX,2.4476
PHB,3.1935
PQL,3.8412
PNC,3.5118
LAK,3.462
SAT,4
SQA,3.7758
HWY,3.4085
RAN,3.9738
EAD,3.4417
SZK,3.3494
CGO,3.5727
RPN,3.7162
LKY,3.6089
IIW,3.9382
BZS,3.297
NSO,3.7383
BCZ,3.7987
PND,3.1425
ZGX,3.6936
