"","X","wage","educ","race","sex","hispanic","south","married","exper","union","age","sector"
"326",326,15,12,"W","M","NH","NS","Married",33,"Union",51,"const"
"329",329,10.62,16,"W","F","NH","NS","Married",6,"Not",28,"manag"
"334",334,10.62,12,"W","M","NH","S","Married",34,"Not",52,"manag"
"337",337,5.87,17,"NW","F","NH","S","Single",6,"Not",29,"clerical"
"341",341,14,5,"W","M","NH","S","Married",44,"Not",55,"const"
"343",343,4.3,13,"W","M","NH","S","Single",8,"Not",27,"const"
"345",345,6,12,"W","M","NH","NS","Single",8,"Not",26,"const"
"347",347,21.25,13,"W","M","NH","NS","Single",32,"Not",51,"manag"
"348",348,14.53,16,"W","M","NH","NS","Married",18,"Not",40,"manag"
"349",349,6.85,12,"NW","M","NH","NS","Single",8,"Not",26,"clerical"
"351",351,10,16,"W","F","NH","NS","Married",7,"Not",29,"clerical"
"355",355,5,12,"W","M","NH","S","Single",4,"Not",22,"clerical"
"362",362,4.1,12,"W","F","NH","NS","Married",15,"Not",33,"clerical"
"375",375,7.5,12,"W","F","NH","S","Married",16,"Not",34,"clerical"
"376",376,8.5,12,"NW","M","NH","S","Single",2,"Not",20,"clerical"
"381",381,5.25,16,"W","F","NH","S","Single",2,"Not",24,"clerical"
"382",382,5,12,"W","M","NH","S","Single",6,"Not",24,"const"
"387",387,12.5,12,"W","M","NH","NS","Single",11,"Not",29,"const"
"388",388,10.75,12,"W","M","NH","NS","Married",24,"Union",42,"const"
"389",389,12.5,12,"W","F","NH","NS","Married",14,"Union",32,"clerical"
"398",398,3.35,12,"W","F","NH","NS","Married",7,"Not",25,"clerical"
"399",399,9,12,"W","M","NH","NS","Married",20,"Union",38,"clerical"
"401",401,5,12,"W","F","NH","NS","Married",39,"Not",57,"clerical"
"403",403,17.25,15,"W","M","NH","NS","Married",31,"Not",52,"manag"
"404",404,9.5,12,"W","F","NH","NS","Single",25,"Not",43,"clerical"
"408",408,5.8,16,"W","M","NH","NS","Married",14,"Not",36,"manag"
"414",414,4.85,12,"W","F","NH","S","Married",14,"Not",32,"clerical"
"415",415,4.75,12,"W","F","NH","S","Married",2,"Not",20,"clerical"
"417",417,9.5,11,"W","M","NH","S","Married",29,"Not",46,"const"
"418",418,9.6,12,"W","F","NH","S","Married",14,"Not",32,"clerical"
"422",422,10,14,"W","F","NH","NS","Single",24,"Not",44,"clerical"
"424",424,7.53,14,"W","M","NH","S","Single",1,"Not",21,"clerical"
"435",435,12.5,13,"W","F","NH","NS","Married",16,"Not",35,"clerical"
"436",436,10,10,"W","M","NH","NS","Married",20,"Not",36,"manag"
"437",437,10,10,"W","M","NH","NS","Married",12,"Not",28,"const"
"439",439,9.37,16,"W","F","NH","NS","Married",26,"Not",48,"manag"
"440",440,11.11,13,"W","M","NH","NS","Married",13,"Not",32,"clerical"
"444",444,4.5,12,"W","F","NH","NS","Married",3,"Not",21,"manag"
"453",453,4.5,12,"W","F","NH","NS","Married",7,"Not",25,"manag"
"456",456,7.69,12,"W","M","NH","NS","Married",19,"Not",37,"clerical"
"457",457,9.33,12,"W","F","NH","NS","Single",15,"Not",33,"clerical"
"461",461,3.5,12,"NW","F","NH","NS","Single",25,"Not",43,"clerical"
"462",462,10,12,"NW","M","NH","NS","Married",35,"Union",53,"const"
"464",464,7.5,12,"NW","F","NH","S","Married",23,"Not",41,"clerical"
"466",466,8.5,17,"W","M","NH","S","Single",3,"Not",26,"clerical"
"467",467,4,12,"NW","M","NH","S","Married",8,"Not",26,"clerical"
"475",475,5.25,12,"W","F","NH","NS","Married",45,"Not",63,"clerical"
"476",476,10.25,14,"W","F","NH","NS","Married",26,"Not",46,"manag"
"479",479,17.86,13,"W","M","NH","NS","Single",36,"Not",55,"manag"
"483",483,6.4,12,"W","F","NH","NS","Single",6,"Not",24,"clerical"
"484",484,4.84,15,"W","M","NH","NS","Married",1,"Union",22,"manag"
"492",492,7.5,12,"W","M","NH","NS","Single",17,"Not",35,"manag"
"497",497,5.5,12,"W","F","NH","NS","Married",33,"Not",51,"clerical"
"506",506,26.29,17,"W","M","NH","S","Married",32,"Not",55,"manag"
"508",508,5,12,"W","F","NH","S","Single",26,"Not",44,"clerical"
"515",515,6.88,17,"W","F","NH","NS","Married",15,"Not",38,"manag"
"518",518,1,12,"W","M","NH","NS","Married",24,"Not",42,"manag"
"520",520,8.85,14,"NW","F","NH","NS","Married",19,"Union",39,"clerical"
"530",530,8.63,12,"NW","F","NH","NS","Married",18,"Not",36,"clerical"
