"","location","mintemp","maxtemp","rainfall","windgustdir","windgustspeed","winddir9am","winddir3pm","windspeed9am","windspeed3pm","humidity9am","humidity3pm","pressure9am","pressure3pm","temp9am","temp3pm","raintoday","risk_mm","raintomorrow","year","month","day_of_year"
"19","Uluru",20.7,28.8,5.4,"ESE",44,"ESE","SE",13,17,87,61,1012.6,1010.3,22,26.7,"Yes",0,"No",2014,1,25
"20","Uluru",12.3,30.1,0,"ENE",39,"E","ENE",20,13,23,10,1023.3,1018.5,20.9,29.7,"No",0,"No",2014,9,255
"21","Wollongong",11.1,16.8,0,"SSW",50,"SW","SSW",26,35,54,56,1027.3,1026.4,14,15.9,"No",0,"No",2014,6,159
"22","Uluru",13.7,17.3,8,"SSE",22,"SSW","SE",9,11,92,67,1022.1,1020.5,14.1,16.9,"Yes",1.2,"Yes",2015,7,205
"23","Uluru",19.1,28.8,3,"E",41,"SE","ESE",17,19,87,49,1017.4,1014.2,20.2,27.4,"Yes",0,"No",2014,4,93
"24","Wollongong",11.8,19.9,1.2,NA,NA,"WNW","N",2,11,86,77,1016.3,1013.4,15.6,17.9,"Yes",NA,NA,2010,7,211
"25","Wollongong",18.5,23.1,0,"SSW",39,"SSW","S",28,30,75,74,1023.8,1023.1,21.4,22.3,"No",0,"No",2019,2,58
"26","Wollongong",12.7,17.5,0,"S",35,"SW","SSE",22,28,65,74,1030.7,1028.6,15.5,17,"No",0,"No",2017,6,170
"27","Uluru",15.8,30.5,0,"E",41,"ESE","NE",24,13,67,36,1017.3,1013.1,20.8,29,"No",0,"No",2017,4,113
"28","Uluru",10.3,24.8,0,"E",41,"ESE","E",17,13,47,28,1022.8,1018.8,16.5,23.7,"No",0,"No",2019,5,146
"29","Uluru",8,24.6,0,"E",33,"SE","ESE",11,13,46,25,1021.7,1018.8,13.8,23.5,"No",0,"No",2017,5,148
"30","Wollongong",10.4,14.8,0,"NNW",33,"W","NNW",11,13,62,69,1018.4,1013.3,12.2,13.6,"No",3.6,"Yes",2009,7,207
"31","Wollongong",18,27.7,0,"ENE",41,"NNE","NNE",22,19,79,75,1014.3,1009.2,20.1,23.4,"No",0.2,"No",2008,12,340
"32","Uluru",18.3,29.3,1,"S",41,"S","SE",19,17,84,37,1011.4,1007.5,19.8,27.5,"No",0.4,"No",2013,11,325
"33","Wollongong",15.2,20.3,1.4,"ENE",46,"ENE","ENE",31,28,77,70,1027.4,1025.5,17.8,19.9,"Yes",4.8,"Yes",2018,10,287
"34","Wollongong",18.5,21.6,36.2,"SSE",70,"S","S",37,33,58,62,1020.3,1019.5,20.3,20.3,"Yes",0,"No",2018,2,51
"35","Wollongong",16.9,25.1,0,"SW",43,"WSW","NW",9,26,63,59,1003.4,1001.2,19.4,20.9,"No",0.4,"No",2017,12,340
"36","Wollongong",10.7,16.3,0,"WNW",113,"NW","NW",22,57,46,41,1005.2,1000.9,11.7,15.8,"No",0,"No",2014,6,175
"37","Wollongong",12,18.2,0,"WNW",76,"WSW","W",20,19,44,31,1012.1,1012.3,13.9,17.3,"No",0,"No",2009,4,117
"38","Wollongong",13.9,22.4,0,"SSE",28,"SE","ESE",7,11,76,76,1018.8,1017.6,18.9,22,"No",0,"No",2018,10,304
"39","Uluru",7.4,25.2,0,"ENE",41,"E","E",22,13,43,26,1025.7,1021.3,14.9,24,"No",0,"No",2019,5,135
"40","Uluru",16.3,29.9,0,"ENE",39,"E","NE",22,15,47,28,1017.4,1014.4,21.7,29.3,"No",0,"No",2013,4,113
"41","Wollongong",16.4,24.6,0,"NW",30,"SE","NNE",9,11,84,88,1010.4,1008.8,19.5,19.6,"No",0,"No",2018,11,309
"42","Uluru",27.3,36.1,0,"E",41,"SE","ESE",24,26,26,20,1008.4,1005.6,30.9,35,"No",0,"No",2015,1,4
"43","Wollongong",9.5,14.3,0,"SW",52,"SW","SSW",20,31,68,57,1026.3,1023.6,10.7,13.2,"No",0,"No",2012,7,213
"44","Wollongong",13.1,22.5,0,"NE",43,"N","NE",15,33,56,78,1018.6,1015,19.5,19.3,"No",0,"No",2015,9,272
"45","Uluru",21.4,24.8,0.4,"SSW",50,"NE","SE",11,26,72,97,1010.6,1010.4,23.8,17.7,"No",6.6,"Yes",2013,12,356
"46","Uluru",24,42.2,0,"ENE",57,"ENE","ENE",20,30,18,10,1017.4,1012.7,33.8,40.5,"No",0,"No",2015,2,40
"47","Wollongong",17.4,23.1,1.4,"NNW",41,"W","SSE",7,15,75,76,1019.1,1017.2,20.6,21.6,"Yes",0,"No",2012,3,89
"48","Wollongong",15.6,17,15,"SSW",56,"SSW","SSW",22,26,94,96,1014.8,1014.7,16.1,16.5,"Yes",61.8,"Yes",2010,11,333
"49","Wollongong",10.2,18.2,0,"WSW",35,"NW","WSW",7,17,54,38,1019.5,1015.8,13.6,18,"No",0,"No",2012,7,200
"50","Wollongong",12.4,21.3,0,"NE",44,"NW","NE",19,28,48,69,1024.4,1019.6,18.9,18.4,"No",0,"No",2012,9,254
